Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,17.1958,51.5642,28.6519,0.0,0.0,0.0,-7.0064,31.1946,13.2364,-77.3587,-17.1052,4.02598224,57.4778,-13.079217759999999,44.39858224
1,10.8952,44.0515,28.2735,0.0,0.0,0.0,-3.5605,29.4841,13.3552,-77.0314,-16.2264,4.031462879999999,45.46759999999999,-12.194937120000002,33.272662879999984
2,15.3226,43.4567,27.7099,0.0,0.0,0.0,-1.1334,29.2358,16.5788,-76.7432,-15.2897,3.99864384,54.4272,-11.29105616,43.13614384
3,13.6231,43.1393,27.2718,0.0,0.0,0.0,-3.7268,29.2997,13.9142,-77.1068,-16.2383,4.05606168,46.41449999999999,-12.18223832,34.23226167999999
4,8.5875,39.7136,31.2185,0.0,0.0,0.0,-3.9437,27.8004,15.2678,-77.5676,-15.3196,4.126716,41.07649999999998,-11.192884,29.883615999999982
5,10.3295,48.4512,32.5905,0.0,0.0,0.0,-6.3294,31.6058,15.5776,-79.5973,-15.9432,4.128043679999999,52.6279,-11.81515632,40.81274368
6,8.1709,34.5371,35.3603,0.0,0.0,0.0,2.8996,27.3537,17.1487,-76.948,-14.5145,4.11245208,48.522300000000016,-10.402047920000001,38.120252080000014
7,11.3537,41.3674,29.4068,0.0,0.0,0.0,-1.928,28.3658,13.3755,-75.9035,-15.909,4.11717888,46.03770000000003,-11.791821120000002,34.24587888000003
8,11.157,41.3592,28.9977,0.0,0.0,0.0,-3.4874,27.5575,12.7378,-76.1838,-15.5152,4.08373416,42.13799999999999,-11.431465840000001,30.70653415999999
9,12.0078,48.01,31.9628,0.0,0.0,0.0,-6.1813,29.9383,13.1725,-76.3496,-17.0647,4.12792776,52.560500000000005,-12.936772239999998,39.62372776
10,11.0851,41.9922,37.9786,0.0,0.0,0.0,-3.0175,28.0979,13.5381,-75.3697,-16.2463,4.14704952,54.3047,-12.099250480000002,42.205449519999995
11,10.8514,39.1126,25.043,0.0,0.0,0.0,-4.8407,30.6383,13.8198,-77.822,-15.9486,4.06203552,36.802400000000006,-11.88656448,24.91583552000001
12,14.7062,46.2597,29.1891,0.0,0.0,0.0,-4.2392,30.3181,14.8291,-77.5621,-16.3031,3.9780936000000002,53.500900000000016,-12.3250064,41.175893600000016
13,13.3149,47.7424,27.1451,0.0,0.0,0.0,-5.5907,29.6836,14.1305,-76.1301,-16.8261,4.169248560000001,50.29570000000001,-12.65685144,37.638848560000014
14,11.7069,36.1755,33.2339,0.0,0.0,0.0,-3.6335,29.7527,15.7205,-75.5851,-16.7645,4.1412455999999995,47.370900000000006,-12.623254400000002,34.747645600000006
15,9.5597,45.554,30.2152,0.0,0.0,0.0,-4.8027,32.108,14.5916,-79.0325,-16.0134,4.13537184,48.193299999999994,-11.87802816,36.31527183999999
16,12.6191,42.6579,27.19,0.0,0.0,0.0,-4.8599,30.058,13.5508,-77.2889,-16.0776,4.16614464,43.92699999999999,-11.911455360000001,32.015544639999995
17,13.1582,32.05,31.5557,0.0,0.0,0.0,-3.9682,28.1409,15.6699,-76.2708,-15.7286,4.1713588800000005,40.33570000000002,-11.55724112,28.778458880000017
18,9.9401,46.1852,24.6035,0.0,0.0,0.0,-3.7501,26.8564,15.0855,-74.5219,-15.722,4.1291157599999995,44.398700000000005,-11.59288424,32.80581576
19,8.6895,43.4497,28.6793,0.0,0.0,0.0,-5.3163,31.2738,14.5682,-79.9172,-15.8487,4.02650424,41.42700000000002,-11.82219576,29.60480424000002
20,8.5355,43.5337,25.8958,0.0,0.0,0.0,-1.4346,28.7193,15.6822,-77.276,-15.8133,4.11852096,43.6559,-11.69477904,31.961120960000002
21,10.1365,44.9672,30.0955,0.0,0.0,0.0,-2.8035,29.8486,14.0623,-78.1486,-16.124,4.1622429599999995,48.158,-11.961757039999998,36.196242960000006
22,13.3355,45.1228,27.5516,0.0,0.0,0.0,-3.5818,31.225,13.6433,-77.6656,-16.5336,4.0779273599999994,49.630799999999994,-12.45567264,37.17512735999999
23,14.5571,35.8402,30.9105,0.0,0.0,0.0,-2.3242,28.002,14.8277,-76.0548,-16.6365,4.16043144,45.7585,-12.476068560000002,33.282431439999996
24,17.334,43.7581,32.2008,0.0,0.0,0.0,-6.1641,32.03,14.4578,-80.3804,-16.1637,4.08631896,53.23620000000001,-12.077381039999999,41.15881896000001
25,8.7484,39.7295,28.5643,0.0,0.0,0.0,-2.7674,27.6263,14.5583,-75.8923,-16.1082,4.15813176,40.56710000000001,-11.95006824,28.61703176000001
26,19.4017,43.0101,29.746,0.0,0.0,0.0,-4.268,29.364,11.5923,-77.3839,-16.4295,4.09837176,51.46220000000001,-12.331128240000002,39.131071760000005
27,13.3855,43.4095,26.1899,0.0,0.0,0.0,-4.0797,27.8403,12.5153,-75.5718,-16.0865,4.094867519999999,43.68900000000001,-11.991632480000002,31.697367520000007
