,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,386.1008,1011.8056,1668.6374,0.0,0.0,0.0,-971.8925,-10174.1285,481.7564,5362.1877,-8291.8781,57.42496512,-2235.5331,-8234.45313488,-10469.986234879998
1,375.9084,997.9794,1696.5301,0.0,0.0,0.0,-975.5568,-10461.8306,484.1937,5384.0215,-8056.4737,57.75282072,-2498.7543,-7998.720879279998,-10497.47517928
2,390.579,1015.2934,1701.8076,0.0,0.0,0.0,-996.7386,-10469.6145,459.8281,5419.3696,-8045.0732,56.5057044,-2479.4754000000007,-7988.5674956,-10468.0428956
3,387.2316,987.872,1680.4266,0.0,0.0,0.0,-972.1292,-9830.5624,469.4514,5388.0063,-8673.6308,57.51648864,-1889.703700000001,-8616.114311360001,-10505.81801136
4,399.5685,1003.8643,1696.4533,0.0,0.0,0.0,-970.4742,-9728.0314,470.4226,5364.5166,-8743.5182,56.39982408,-1763.680300000001,-8687.118375920001,-10450.798675920003
5,384.4435,1049.1217,1693.0179999999998,0.0,0.0,0.0,-970.3997,-9906.382,467.2006,5350.2408,-8575.9458,55.12229567999999,-1932.7571,-8520.82350432,-10453.58060432
6,401.4361,1007.4271,1670.0856,0.0,0.0,0.0,-978.9612,-9981.6923,467.6402,5369.2473,-8512.7196,54.65320704,-2044.8172000000006,-8458.06639296,-10502.88359296
7,388.6751,1041.8384,1697.0148,0.0,0.0,0.0,-990.4878,-9885.2241,474.1795,5341.5167,-8565.2394,56.03278968,-1932.487399999999,-8509.20661032,-10441.69401032
8,361.2382,1050.8984,1701.6142,0.0,0.0,0.0,-947.1415,-10056.0854,463.2292,5369.6526,-8465.0617,56.50737696,-2056.5943,-8408.55432304,-10465.14862304
9,384.61800000000005,1034.5181,1686.4209,0.0,0.0,0.0,-968.7777,-10054.6153,475.4282,5368.0537,-8438.4959,58.57340184,-2074.3540999999987,-8379.92249816,-10454.27659816
10,368.9202,1032.2187,1670.2128,0.0,0.0,0.0,-973.7693,-10036.0415,461.1575,5399.1915,-8467.2994,56.33186616,-2078.110099999999,-8410.96753384,-10489.077633839996
11,376.5249,1020.4138,1688.1088,0.0,0.0,0.0,-956.3713,-9974.4133,478.3675,5426.2296,-8574.8989,58.317789600000005,-1941.1400000000006,-8516.5811104,-10457.7211104
12,365.2252,987.5902,1670.1989999999998,0.0,0.0,0.0,-945.1706,-10167.624,473.8526,5382.2313,-8316.9569,59.14801512,-2233.6962999999987,-8257.80888488,-10491.505184879998
