,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,393.1699,1034.8747,1703.7431,0.0,0.0,0.0,-762.4525,-11228.648000000001,486.2943,5381.2519999999995,-2127.2708,86.02489008,-2991.7665,-2041.24590992,-5033.01240992
1,370.0368,1016.0039999999999,1720.9129999999998,0.0,0.0,0.0,-688.7275,-11335.0667,487.3928,5367.8018,-2160.6929,86.55725591999997,-3061.6457999999993,-2074.13564408,-5135.781444079998
2,387.7569,999.2787,1701.5981,0.0,0.0,0.0,-701.0466,-11471.237,472.3877,5332.1931,-2100.1563,87.70035312,-3279.069100000001,-2012.45594688,-5291.525046880001
3,392.7869,1082.9851,1697.5126,0.0,0.0,0.0,-721.9684,-11335.5494,476.17199999999997,5369.3031,-2271.3531,88.824438,-3038.758099999998,-2182.528662,-5221.286761999998
4,376.1031,1026.1217,1713.9282,0.0,0.0,0.0,-721.2449,-11321.3431,481.1349,5359.7419,-2083.681,86.3993376,-3085.5582000000004,-1997.2816624000002,-5082.8398624
5,371.2431,1036.6966,1708.9418,0.0,0.0,0.0,-733.6855,-11224.9665,480.2289,5393.5134,-2289.0471,89.32094495999998,-2968.028200000001,-2199.72615504,-5167.754355040001
6,393.1422,1002.1437,1677.5911,0.0,0.0,0.0,-732.7515,-11228.6635,475.7286,5366.4372,-2252.0003,91.64802168,-3046.3722,-2160.35227832,-5206.7244783199985
7,400.7515,1020.8136,1691.1202,0.0,0.0,0.0,-675.5452,-11303.7381,493.9078,5368.0369,-2249.634,88.71315192,-3004.6532999999986,-2160.92084808,-5165.574148079999
8,387.1126,1014.7124,1684.3667,0.0,0.0,0.0,-731.6123,-11299.141000000001,471.5123,5387.6882,-2196.7431,88.30458216,-3085.3610999999987,-2108.4385178400007,-5193.79961784
9,408.9421,1021.475,1713.0019,0.0,0.0,0.0,-752.6593,-11255.8196,467.476,5389.4055,-2382.3488,94.5949608,-3008.1784,-2287.7538391999997,-5295.9322391999995
10,384.7195,995.0029,1691.6897,0.0,0.0,0.0,-716.1724,-11479.6545,476.4527,5398.8381,-2262.2245,94.54609512,-3249.124000000001,-2167.67840488,-5416.80240488
11,373.3171,1057.7562,1704.6883,0.0,0.0,0.0,-710.4316,-11447.6324,464.2281,5364.2879,-2228.106,91.31595264,-3193.7864,-2136.79004736,-5330.57644736
12,391.7241,1052.8374,1687.3945,0.0,0.0,0.0,-739.8858,-11393.0862,462.4311,5425.1157,-2111.0796,88.67754719999998,-3113.4691999999995,-2022.4020528,-5135.871252800001
13,395.528,1019.7283,1684.8481,0.0,0.0,0.0,-618.8253,-11652.7261,471.3646,5368.7709,-2133.9106,93.07278216,-3331.311499999999,-2040.83781784,-5372.149317839999
14,372.9328,1013.1593,1697.7832,0.0,0.0,0.0,-728.0854,-11402.2245,476.2801,5412.9712,-2204.8015,88.91983943999998,-3157.183300000001,-2115.88166056,-5273.06496056
15,374.8866,1048.5683,1687.4559,0.0,0.0,0.0,-728.7511,-11546.0538,473.1312,5370.4313,-2076.0821,88.4549268,-3320.3315999999995,-1987.6271732,-5307.958773199999
16,404.2462,997.2206,1688.3585,0.0,0.0,0.0,-691.4607,-11361.5222,460.0083,5401.3276,-2280.4059,93.70970568,-3101.8216999999995,-2186.696194320001,-5288.51789432
17,381.2528,1029.5102,1712.047,0.0,0.0,0.0,-699.2401,-11315.0158,473.2836,5399.6861,-2308.7019,94.2785712,-3018.4761999999987,-2214.4233288,-5232.899528799999
18,385.5226,1069.3238,1703.1802,0.0,0.0,0.0,-658.7925,-11605.8343,467.6987,5381.2162,-2117.2759,92.19310056,-3257.6853,-2025.08279944,-5282.76809944
19,382.4355,1083.8671,1704.7726,0.0,0.0,0.0,-770.2065,-11414.9267,480.0022,5390.3264,-2074.9401,88.40131488,-3143.7294,-1986.53878512,-5130.26818512
