,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-0.00010000000000065512,-9.99999999891088e-05,-1.2256862191861728e-13,0.0,0.0,0.0,-35.800700000000006,-37.79230000000045,0.0001000000000423995,2.273736754432321e-13,63.72079999999907,-6.915162960000004,-73.59309999999988,56.80563703999839,-16.787462960001506
1,5.3290705182007514e-14,6.394884621840903e-14,-9.99999999393708e-05,0.0,0.0,0.0,-30.547800000000038,-35.299999999999976,-2.8421709430404014e-14,0.0,64.03870000000087,-6.8619563999999915,-65.84789999999839,57.176743600000194,-8.671156399997301
2,0.00010000000002996501,0.00010000000002108321,1.4921397450962106e-13,0.0,0.0,0.0,-34.71879999999999,-36.03760000000058,0.00010000000001042508,1.7053025658242404e-13,65.64300000000027,-6.886817999999995,-70.7561000000007,58.756182000000884,-11.999918000001655
3,2.6645352591003757e-14,-9.237055564881302e-14,-3.907985046680551e-14,0.0,0.0,0.0,-29.444500000000037,-46.854100000001075,3.552713678800501e-15,-9.999999997489796e-05,69.2905999999999,-6.846200640000001,-76.29870000000125,62.44439935999876,-13.854300640000673
4,-1.5987211554602254e-14,-1.1013412404281553e-13,-5.3290705182007514e-14,0.0,0.0,0.0,-36.451299999999925,-44.16609999999945,7.105427357601002e-15,3.9790393202565615e-13,68.91839999999989,-7.027410960000004,-80.61739999999936,61.890989039999475,-18.726410959999896
5,9.999999999976694e-05,1.0302869668521453e-13,-0.00010000000001042508,0.0,0.0,0.0,-29.274100000000033,-42.819200000000095,4.618527782440651e-14,2.273736754432321e-13,71.8783,-6.936941520000005,-72.09330000000014,64.94135848000073,-7.151941519999411
6,-1.0658141036401504e-14,0.00010000000007792663,1.3855583347321954e-13,0.0,0.0,0.0,-35.2929,-47.241899999999724,1.4210854715202004e-14,-2.273736754432321e-13,75.48980000000088,-7.183478879999999,-82.5347000000001,68.3063211200006,-14.228378879999482
7,-9.999999998733243e-05,2.131628207280301e-14,2.486899575160351e-14,0.0,0.0,0.0,-35.63460000000003,-39.55140000000007,-2.8421709430404014e-14,3.9790393202565615e-13,72.68479999999948,-7.458719039999997,-75.18609999999944,65.22608095999888,-9.960019040001471
8,2.486899575160351e-14,-5.684341886080803e-14,1.2079226507921706e-13,0.0,0.0,0.0,-39.889300000000034,-31.24409999999891,2.486899575160351e-14,-0.00010000000048648872,53.65349999999997,-6.643867679999996,-71.13349999999944,47.00963232000032,-24.123867680000917
9,2.131628207280301e-14,0.00010000000004595222,9.237055564881302e-14,0.0,0.0,0.0,-32.658800000000035,-48.28840000000048,1.9539925233402755e-14,4.547473508864641e-13,72.50240000000032,-6.461899199999998,-80.94710000000063,66.04050079999925,-14.906599200002274
