,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,410.3151,1086.4389,1732.395,0.0,0.0,0.0,-1006.2475,-9334.158000000001,499.5306,5303.8933,-1779.5414,56.15545967999999,-1307.8325999999995,-1723.38594032,-3031.21854032
1,380.8807,1060.0555,1749.1865,0.0,0.0,0.0,-996.7152,-9315.4981,500.7479,5290.7704,-1876.7826,58.03220376,-1330.5723000000007,-1818.75039624,-3149.3226962400013
2,403.0245,1042.7354,1729.308,0.0,0.0,0.0,-985.7528,-9422.9184,488.9665,5255.4499,-1774.0005,57.83318784,-1489.1869000000006,-1716.1673121600004,-3205.354212160001
3,406.3513,1126.1244,1724.7844,0.0,0.0,0.0,-978.7073,-9413.5934,490.0861,5292.1963,-1844.737,57.25137456,-1352.7582000000002,-1787.48562544,-3140.243825440001
4,384.6351,1065.8354,1745.1467,0.0,0.0,0.0,-978.7046,-9465.4406,496.4027,5282.1743,-1810.4876,59.20771968,-1469.951000000001,-1751.2798803199996,-3221.2308803200012
5,381.5187,1085.1478,1741.5323,0.0,0.0,0.0,-987.9599,-9438.739,495.8065,5313.9161,-1841.4057,60.06675384,-1408.7774999999995,-1781.33894616,-3190.11644616
6,401.2633,1036.6808,1712.9515,0.0,0.0,0.0,-966.6110000000001,-9344.8232,492.8773,5289.4891,-1870.9823,59.69442024,-1378.1722000000007,-1811.28787976,-3189.460079760001
7,412.0512,1062.181,1720.527,0.0,0.0,0.0,-965.9383,-9373.2804,507.2832,5292.1334,-1907.1823,60.70942295999999,-1345.0429000000004,-1846.47287704,-3191.51577704
8,398.2133,1056.0716,1713.3643,0.0,0.0,0.0,-997.5816,-9414.4538,484.2501,5311.5044,-1864.271,59.45002992,-1448.631699999999,-1804.82097008,-3253.452670079999
9,420.8954,1069.485,1744.9646,0.0,0.0,0.0,-984.76,-9419.0567,480.6485,5313.0559,-1914.3171,62.35090704,-1374.7672999999984,-1851.96619296,-3226.733492959999
10,395.7473,1036.9951,1729.6684,0.0,0.0,0.0,-988.4667,-9483.8064,489.9908,5323.4684,-1808.7165,59.98547088,-1496.4030999999993,-1748.73102912,-3245.13412912
11,384.1094,1096.8688,1729.7313,0.0,0.0,0.0,-991.4337,-9449.5552,478.0478,5286.4659,-1828.3726,59.52102839999999,-1465.7657000000006,-1768.8515715999997,-3234.6172716000005
12,406.3792,1099.0971,1716.5835,0.0,0.0,0.0,-985.5818,-9561.5104,477.2601,5347.5536,-1743.3843,59.13221688,-1500.2186999999985,-1684.25208312,-3184.470783119998
13,408.7831,1067.4707,1711.9931,0.0,0.0,0.0,-937.2354,-9580.7146,485.4951,5292.6407,-1807.6770000000001,62.58226824,-1551.5672999999988,-1745.0947317599996,-3296.6620317599986
14,384.5886,1049.3348,1731.0171,0.0,0.0,0.0,-990.5149,-9557.3494,492.0006,5337.3861,-1745.5114,59.53558391999999,-1553.5370999999984,-1685.9758160800004,-3239.512916079999
15,384.3944,1094.1224,1717.6711,0.0,0.0,0.0,-985.783,-9540.5755,487.7228,5291.3988,-1706.0410000000002,58.48039656,-1551.0490000000018,-1647.56060344,-3198.609603440002
16,416.8133,1039.8786,1715.5485,0.0,0.0,0.0,-964.5985,-9455.8011,473.5591,5324.0386,-1882.5905,63.06600168,-1450.5614999999998,-1819.52449832,-3270.08599832
17,394.3612,1061.5603,1743.6028,0.0,0.0,0.0,-972.6757,-9323.9511,488.9535,5323.4153,-1982.5526,62.86722984,-1284.7337000000007,-1919.68537016,-3204.4190701600005
18,395.4064,1115.509,1727.7837,0.0,0.0,0.0,-909.5321,-9619.2469,482.7842,5306.6943,-1822.8195,63.65698848,-1500.6014000000007,-1759.16251152,-3259.7639115200004
