,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,398.03,1050.1585,1728.7075,0.0,0.0,0.0,-1018.9969,-9161.0827,475.9917,5244.3603,-1559.349,49.209602399999994,-1282.8316000000011,-1510.1393976,-2792.9709976000013
1,409.4053,1009.7857,1695.9508,0.0,0.0,0.0,-1007.0168,-9139.5739,495.4206,5330.6544,-1675.5164,51.34783824,-1205.3738999999987,-1624.16856176,-2829.542461759999
2,393.5883,1079.8541,1714.2244,0.0,0.0,0.0,-1019.9311,-9090.8996,474.139,5277.3172,-1625.9194,49.57623504,-1171.7077,-1576.34316496,-2748.05086496
3,381.4151,1027.621,1717.1341,0.0,0.0,0.0,-1007.7798,-9155.2017,474.4963,5246.1623,-1670.2609,52.96995072,-1316.1526999999996,-1617.29094928,-2933.44364928
4,408.6281,1033.3957,1667.3478,0.0,0.0,0.0,-1001.2533,-9271.0034,478.7699,5313.8847,-1620.1021,54.22015079999999,-1370.2304999999994,-1565.8819492,-2936.1124492
5,414.4412,1018.4444,1703.1559,0.0,0.0,0.0,-970.5034,-9155.635,482.4973,5275.1524,-1652.8099,52.38911088,-1232.4472000000005,-1600.42078912,-2832.8679891200013
6,386.9854,1013.5239,1691.6028,0.0,0.0,0.0,-1005.9111,-9067.0277,484.5607,5304.4292,-1759.3653,54.1258308,-1191.8368000000012,-1705.2394692000003,-2897.076269200001
7,389.4203,1044.7692,1694.0677,0.0,0.0,0.0,-1003.168,-9162.1198,482.6592,5306.7204,-1638.7395,52.08358464,-1247.6509999999996,-1586.65591536,-2834.3069153599995
8,387.6192,1037.6933,1693.7598,0.0,0.0,0.0,-971.796,-9144.4509,488.9399,5295.2589,-1678.1209,54.76273488,-1212.9758000000004,-1623.35816512,-2836.33396512
9,389.2322,1005.3645,1680.604,0.0,0.0,0.0,-1014.1603,-9160.1888,484.87800000000004,5279.6547,-1651.0517,50.75269776,-1334.6157000000005,-1600.29900224,-2934.91470224
