,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,3.9999,6.1235,9.4954,0.0,0.0,0.0,-1.3406,6.8578,7.0488,-83.3902,-12.9417,1.91739384,-51.20539999999999,-11.02430616,-62.22970615999999
1,7.3917,6.524,11.5998,0.0,0.0,0.0,-1.7666,8.1635,7.4164,-84.3145,-13.0247,1.91736072,-44.98569999999999,-11.10733928,-56.09303927999999
2,5.1459,7.9505,7.2054,0.0,0.0,0.0,-1.5408,7.7173,6.9965,-85.0447,-12.850999999999999,1.92243456,-51.56990000000001,-10.928565440000002,-62.49846544000002
3,4.4019,6.1217,11.3535,0.0,0.0,0.0,-1.7871,6.695,8.1686,-82.4182,-13.6991,1.917558,-47.4646,-11.781542,-59.246142000000006
4,5.3633,10.7939,7.9502,0.0,0.0,0.0,-1.7609,6.5729,7.9654,-84.5129,-12.5469,1.91645352,-47.6281,-10.630446480000002,-58.25854648000001
5,9.7129,9.4632,8.2471,0.0,0.0,0.0,-1.5315,7.8576,7.122000000000001,-85.4072,-13.2329,1.93085856,-44.53590000000001,-11.30204144,-55.83794144000001
6,4.3184,6.6241,9.3573,0.0,0.0,0.0,-1.8545,7.711,8.0521,-86.277,-12.8233,1.91291472,-52.0686,-10.91038528,-62.97898528
7,5.9632,10.2395,10.1277,0.0,0.0,0.0,-1.5968,7.6527,8.2048,-85.1735,-12.2297,1.9100952000000002,-44.5824,-10.3196048,-54.90200479999999
8,5.7989,12.0239,7.1838,0.0,0.0,0.0,-1.1073,6.2321,7.5445,-83.8416,-12.0558,1.91676528,-46.1657,-10.13903472,-56.30473472
9,3.5886,5.7306,7.8155,0.0,0.0,0.0,-1.4843,7.8859,7.5528,-84.4431,-12.8192,1.91155032,-53.354,-10.90764968,-64.26164967999999
10,4.1197,4.8485,9.3218,0.0,0.0,0.0,-1.4699,6.0255,7.0611,-81.6696,-13.0187,1.92568464,-51.7629,-11.09301536,-62.85591536
11,2.0754,7.7297,9.6832,0.0,0.0,0.0,-1.5934,7.1347,8.4959,-85.219,-12.4312,1.91536056,-51.69349999999999,-10.51583944,-62.20933944
12,3.0966,6.9817,9.1687,0.0,0.0,0.0,-1.6219,6.6445,8.3264,-83.1176,-12.3725,1.90636056,-50.52159999999999,-10.46613944,-60.98773943999999
13,5.5095,5.1019,9.0941,0.0,0.0,0.0,-1.7407,8.1043,7.419,-83.98,-13.32,1.91651544,-50.49190000000001,-11.40348456,-61.89538456000001
14,2.5736,6.0547,8.0514,0.0,0.0,0.0,-1.7614,7.1858,7.1895,-84.2527,-12.8492,1.91474208,-54.95910000000001,-10.93445792,-65.89355792
15,2.6566,8.1248,8.8094,0.0,0.0,0.0,-1.6069,6.5573,8.3181,-84.1934,-12.550999999999998,1.90328112,-51.33409999999999,-10.64771888,-61.98181887999999
16,4.7927,12.0694,8.0524,0.0,0.0,0.0,-0.7889,7.2757,7.7705,-85.4554,-12.2527,1.92494376,-46.2836,-10.32775624,-56.61135624
17,3.2223,6.9214,7.8515,0.0,0.0,0.0,-1.6301,7.7174,8.3831,-86.4759,-12.4387,1.90566864,-54.0103,-10.53303136,-64.54333136
18,3.7334,8.7369,8.3874,0.0,0.0,0.0,-1.6207,7.0078,7.6123,-85.3121,-12.5126,1.91190744,-51.455,-10.60069256,-62.05569256
19,5.2881,6.6669,12.9826,0.0,0.0,0.0,-1.3402,7.4026,8.5689,-82.9393,-13.142999999999999,1.90926864,-43.3704,-11.23373136,-54.60413136
20,5.9255,6.9068,7.9521,0.0,0.0,0.0,-1.3501,6.8136,7.6363,-84.3141,-12.0429,1.91033568,-50.4299,-10.13256432,-60.56246431999999
21,7.2628,5.0844,5.7575,0.0,0.0,0.0,-1.6323,7.4946,6.4104,-83.2739,-13.1681,1.9229076,-52.8965,-11.2451924,-64.1416924
22,5.6546,9.0351,6.6873,0.0,0.0,0.0,-1.7355,6.7504,7.3859,-83.87100000000001,-13.1694,1.92383208,-50.0932,-11.24556792,-61.33876792
23,7.8612,7.1343,8.6361,0.0,0.0,0.0,-1.6789,7.0788,10.2282,-84.8121,-12.7092,1.9084896,-45.5524,-10.8007104,-56.35311039999999
24,3.0361,9.1582,7.6833,0.0,0.0,0.0,-1.7034,6.949,7.2125,-82.8331,-13.2773,1.9235016,-50.4974,-11.3537984,-61.8511984
25,2.9671,7.3457,10.5615,0.0,0.0,0.0,-1.5741,7.0564,7.2234,-83.9126,-12.6867,1.9191312,-50.3326,-10.767568800000001,-61.1001688
26,2.3056,9.5159,7.8877,0.0,0.0,0.0,-1.6218,7.681,8.5551,-84.7452,-12.6355,1.90035576,-50.4217,-10.73514424,-61.15684424
27,4.0061,10.987,8.5434,0.0,0.0,0.0,-1.7317,8.0051,7.2545,-86.6565,-12.5758,1.92051792,-49.5921,-10.65528208,-60.24738208
28,2.5551,8.4913,7.6689,0.0,0.0,0.0,-1.6131,7.6157,7.5641,-84.7652,-12.634,1.91452392,-52.4832,-10.71947608,-63.20267608
29,6.3673,4.8565,7.9024,0.0,0.0,0.0,-1.2711,7.1564,6.2079,-82.545,-13.559000000000001,1.93111632,-51.3256,-11.62788368,-62.95348368000001
30,2.9711,6.5271,6.1188,0.0,0.0,0.0,-1.6851,7.2197,6.2806,-83.9296,-12.8103,1.92724056,-56.49739999999999,-10.88305944,-67.38045944
31,8.5416,9.8953,6.6625,0.0,0.0,0.0,-1.6173,8.1607,7.4802,-86.1546,-12.623,1.91546784,-47.0316,-10.70753216,-57.73913216
32,2.8846,9.5769,10.1521,0.0,0.0,0.0,-1.5503,7.3218,8.1823,-85.6979,-12.2695,1.90053072,-49.13050000000001,-10.36896928,-59.49946928000001
33,5.9492,6.0201,8.6406,0.0,0.0,0.0,-1.4879,6.5235,8.2575,-83.4216,-13.2822,1.91212704,-49.5186,-11.37007296,-60.88867296
34,5.3046,8.9736,7.4505,0.0,0.0,0.0,-1.4108,6.9879999999999995,7.4324,-84.6467,-12.4448,1.92365208,-49.9084,-10.52114792,-60.42954792000001
35,2.4917,8.4898,11.5935,0.0,0.0,0.0,-1.7341,7.624,7.6911,-85.8054,-12.6895,1.91578896,-49.64940000000001,-10.77371104,-60.42311104000001
36,2.0856,5.8301,7.6797,0.0,0.0,0.0,-1.7457,7.6433,7.9087,-84.01100000000001,-13.047,1.91173608,-54.60929999999999,-11.13526392,-65.74456391999999
37,5.5897,5.8676,10.0106,0.0,0.0,0.0,-1.2777,6.7455,6.2941,-84.3935,-12.5206,1.91502864,-51.16370000000001,-10.60557136,-61.76927136000001
38,2.3541,7.0854,9.1885,0.0,0.0,0.0,-1.5142,7.2484,7.2223,-85.5,-12.2585,1.91524896,-53.9155,-10.34325104,-64.25875103999999
39,7.2278,8.8965,7.774,0.0,0.0,0.0,-1.6280000000000001,6.9572,8.4402,-84.85,-12.392000000000001,1.91050272,-47.1823,-10.48149728,-57.66379728
40,6.1547,4.6973,8.4341,0.0,0.0,0.0,-1.3112,7.1105,6.1466,-83.9583,-13.4537,1.92856968,-52.7263,-11.52513032,-64.25143032
41,3.2002,8.9776,6.4413,0.0,0.0,0.0,-1.7195,7.5872,6.5266,-82.7825,-13.429,1.92227112,-51.7691,-11.50672888,-63.27582888
42,5.9992,6.5986,7.3366,0.0,0.0,0.0,-1.6258,7.6929,7.3739,-84.0773,-13.0451,1.91955672,-50.7019,-11.12554328,-61.82744327999999
43,3.4512,10.0195,7.8765,0.0,0.0,0.0,-1.7381,8.0331,6.3988,-85.0695,-12.8706,1.91763576,-51.0285,-10.95296424,-61.98146424
44,4.2075,7.9019,6.651,0.0,0.0,0.0,-1.3331,8.1896,7.5124,-85.4647,-12.4476,1.9168092,-52.33539999999999,-10.530790800000002,-62.866190799999984
45,9.498,7.3001,6.9542,0.0,0.0,0.0,-1.3877,7.9392,6.4535,-84.5086,-12.7135,1.9100376,-47.7513,-10.8034624,-58.5547624
46,2.4463,6.3498,10.089,0.0,0.0,0.0,-1.4825,6.2713,8.5138,-83.5667,-12.3809,1.909584,-51.379,-10.471316,-61.85031600000001
47,1.2797,4.6613,7.3186,0.0,0.0,0.0,-1.5081,7.3185,8.649,-85.5867,-12.3187,1.90989792,-57.86769999999999,-10.40880208,-68.27650207999999
48,2.8724,3.8459,6.6404,0.0,0.0,0.0,-1.7392,7.9112,7.7463,-83.8,-13.0473,1.91008296,-56.523,-11.13721704,-67.66021704
49,6.0099,8.1575,8.4234,0.0,0.0,0.0,-1.7348,7.8942,6.1466,-83.6136,-13.1886,1.91704248,-48.716800000000006,-11.27155752,-59.98835752000001
50,2.0555,8.8598,6.5957,0.0,0.0,0.0,-1.6591,8.3684,7.9349,-84.1451,-13.4474,1.910322,-51.9899,-11.537078,-63.52697799999999
51,4.7526,7.7745,8.2662,0.0,0.0,0.0,-1.5753,6.8474,7.9884,-84.3247,-12.827,1.91015928,-50.27090000000001,-10.91684072,-61.18774072
52,3.0199,7.9298,11.7949,0.0,0.0,0.0,-1.6412,7.1411,7.777,-84.4673,-12.5467,1.90696752,-48.4458,-10.63973248,-59.08553248
53,2.7672,5.855,6.9228,0.0,0.0,0.0,-1.4537,6.3851,7.0129,-82.4636,-13.1316,1.91635488,-54.9743,-11.21524512,-66.18954512
54,5.5534,5.4696,8.5001,0.0,0.0,0.0,-1.5959999999999999,7.0885,7.5149,-83.6701,-12.7064,1.91929608,-51.13960000000001,-10.78710392,-61.92670392000001
55,2.9388,9.328,6.6407,0.0,0.0,0.0,-1.7447,6.9168,7.1238,-85.8888,-12.0125,1.90586736,-54.6854,-10.10663264,-64.79203264
56,4.512,9.2547,7.1141,0.0,0.0,0.0,-1.6142,7.5904,6.8753,-85.5379,-12.6227,1.92579408,-51.80559999999999,-10.69690592,-62.50250591999999
57,3.3149,7.3857,8.3887,0.0,0.0,0.0,-1.7411,7.0761,6.9171,-84.3451,-12.7613,1.9217592000000001,-53.0037,-10.839540800000002,-63.8432408
58,1.1076,11.8681,8.8825,0.0,0.0,0.0,-1.1624,6.3837,8.0235,-82.9992,-12.4014,1.91974896,-47.8962,-10.48165104,-58.37785104
59,3.4811,6.3641,7.9614,0.0,0.0,0.0,-1.7364,6.1535,6.7373,-84.0544,-12.421,1.91725848,-55.0934,-10.503741519999998,-65.59714152
60,4.7084,7.0312,7.1165,0.0,0.0,0.0,-1.7212,8.0108,8.2015,-86.1245,-12.5931,1.91186928,-52.7773,-10.68123072,-63.45853071999999
61,2.1656,10.0013,6.6462,0.0,0.0,0.0,-1.4276,7.4987,7.82,-83.9398,-12.892999999999999,1.91624184,-51.23560000000001,-10.97675816,-62.21235816000001
62,7.1542,8.1277,8.6756,0.0,0.0,0.0,-1.841,7.6772,7.0668,-83.67399999999999,-12.8788,1.91805408,-46.81350000000001,-10.96074592,-57.77424592000001
63,4.1819,9.9132,9.03,0.0,0.0,0.0,-1.6719,7.6987,7.7209,-83.1998,-13.5975,1.92943728,-46.327,-11.66806272,-57.99506271999999
