Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-1.5987211554602254e-14,-2.1316282072803006e-14,-8.526512829121202e-14,0.0,0.0,0.0,-31.11229999999995,-11.47790000000031,-0.0001000000000139778,3.339550858072471e-13,19.65469999999994,-4.4275788,-42.590300000000354,15.227121199999843,-27.36317880000074
1,-5.329070518200751e-15,9.99999999358181e-05,-5.5067062021407764e-14,0.0,0.0,0.0,-34.05050000000002,-9.295499999999272,-1.9539925233402755e-14,-4.476419235288631e-13,16.05050000000007,-4.2634152,-43.345900000000114,11.787084800000056,-31.558815200000282
2,-1.4210854715202004e-14,1.2789769243681803e-13,-9.999999995358166e-05,0.0,0.0,0.0,-27.158500000000036,-19.02259999999938,-0.00010000000001042508,-4.831690603168681e-13,22.09709999999994,-4.210907759999999,-46.18129999999883,17.886192240000085,-28.295107759999198
3,0.0,1.2079226507921703e-13,-3.907985046680551e-14,0.0,0.0,0.0,-31.411600000000025,-10.529500000000063,-3.197442310920451e-14,4.263256414560601e-14,17.649700000000024,-4.536361439999996,-41.941099999999764,13.11333856000002,-28.827761439999513
4,2.842170943040401e-14,0.00010000000001753051,-8.881784197001252e-15,0.0,0.0,0.0,-31.55529999999998,-8.167500000000757,1.5987211554602254e-14,-3.339550858072471e-13,14.512799999999956,-4.568389920000003,-39.722700000002035,9.944410079999889,-29.778289920001917
5,-1.5987211554602254e-14,-0.00010000000010990107,-5.684341886080802e-14,0.0,0.0,0.0,-35.47340000000002,-5.550600000000408,9.999999999799059e-05,1.7763568394002505e-13,15.504799999999856,-4.336709759999998,-41.0240000000002,11.168090239999772,-29.85590975999952
6,-1.7763568394002505e-14,6.039613253960852e-14,-1.0658141036401503e-14,0.0,0.0,0.0,-31.987799999999904,-7.412699999998544,3.552713678800501e-14,-5.471179065352771e-13,14.843199999999964,-4.226939280000006,-39.40049999999904,10.616260719999914,-28.784239279999802
7,-9.99999999766743e-05,4.973799150320701e-14,1.4210854715202004e-14,0.0,0.0,0.0,-33.41050000000005,-14.814500000001019,1.0658141036401503e-14,-4.263256414560601e-14,22.856299999999884,-4.640573520000002,-48.225100000001405,18.215726479999773,-30.00937352000095
8,1.4210854715202004e-14,-1.6342482922482304e-13,-4.263256414560601e-14,0.0,0.0,0.0,-33.55670000000003,-8.057700000000395,-3.108624468950438e-14,9.999999999621423e-05,17.943699999999957,-4.455171360000002,-41.614299999999915,13.488528639999863,-28.12577136000005
9,2.1316282072803006e-14,3.197442310920451e-14,-7.460698725481052e-14,0.0,0.0,0.0,-32.55999999999997,-11.688000000000898,-2.6645352591003757e-14,-5.044853423896711e-13,18.468800000000005,-4.382426880000001,-44.24800000000175,14.086373119999962,-30.161626880001116
10,-9.99999999686807e-05,7.105427357601002e-15,-1.7763568394002505e-15,0.0,0.0,0.0,-34.651400000000024,-11.915199999999516,-1.0658141036401503e-14,2.2737367544323206e-13,19.505999999999993,-4.698718559999998,-46.56669999999974,14.80728143999998,-31.759418559999986
11,1.2434497875801753e-14,-9.999999994647624e-05,-7.105427357601002e-15,0.0,0.0,0.0,-32.17589999999995,-12.60720000000002,-9.999999997134523e-05,9.999999996068709e-05,20.198599999999985,-4.455806399999997,-44.78320000000032,15.742793599999874,-29.040406400000222
12,1.9539925233402755e-14,-1.4210854715202004e-14,1.9539925233402755e-14,0.0,0.0,0.0,-28.704499999999957,-1.5562000000001674,0.00010000000003707044,-2.7711166694643907e-13,9.48880000000017,-3.9374042399999998,-30.260599999999997,5.5513957600000925,-24.70920423999945
13,3.019806626980426e-14,9.99999999109491e-05,7.460698725481052e-14,0.0,0.0,0.0,-34.31190000000004,-10.112199999999206,3.375077994860476e-14,-4.902744876744691e-13,17.169,-4.623879599999997,-44.42399999999917,12.54512040000006,-31.878879599998655
14,0.0001000000000015433,-1.3500311979441904e-13,0.00010000000000509601,0.0,0.0,0.0,-29.005000000000052,-8.64189999999963,1.7763568394002505e-15,3.552713678800501e-14,19.20820000000009,-4.496858639999994,-37.64670000000017,14.71134136000016,-22.93535864000024
15,2.3092638912203256e-14,-1.8829382497642655e-13,0.00010000000008325571,0.0,0.0,0.0,-28.249800000000008,-4.490599999999141,0.00010000000002285958,4.902744876744691e-13,12.948900000000153,-3.844799999999993,-32.74019999999781,9.104100000000152,-23.636099999997434
16,-8.881784197001252e-15,6.394884621840902e-14,-0.00010000000002108322,0.0,0.0,0.0,-31.32920000000001,-8.725600000000519,0.00010000000000864873,-9.99999998327894e-05,18.200400000000037,-4.277401199999993,-40.054900000000146,13.922998800000078,-26.131901200000065
17,-1.1102230246251565e-14,-9.237055564881302e-14,6.039613253960852e-14,0.0,0.0,0.0,-31.037000000000013,-7.313499999999387,-9.999999996068709e-05,-1.4210854715202004e-14,14.356699999999854,-4.285600559999997,-38.350600000000156,10.07109944000002,-28.27950056000082
18,1.2434497875801753e-14,4.973799150320701e-14,-0.00010000000002108322,0.0,0.0,0.0,-23.2207,-13.245100000000456,-0.00010000000000864873,0.00010000000031595846,16.41770000000008,-4.05498744,-36.46589999999999,12.36271256000019,-24.1031874399998
19,-1.2434497875801753e-14,1.3500311979441904e-13,2.1316282072803006e-14,0.0,0.0,0.0,-31.307700000000043,-14.384700000000649,-1.4210854715202004e-14,3.268496584496461e-13,20.3031999999998,-4.364978400000005,-45.692400000000816,15.938221599999945,-29.754178400000868
20,1.7763568394002505e-14,6.394884621840902e-14,9.99999999891088e-05,0.0,0.0,0.0,-29.85060000000013,-8.038799999999505,-9.999999995891073e-05,2.1316282072803006e-14,18.070400000000078,-4.159774080000001,-37.88940000000052,13.910625920000033,-23.978774080000484
21,-0.00010000000002996501,-6.750155989720952e-14,5.5067062021407764e-14,0.0,0.0,0.0,-31.730099999999975,-7.324100000000868,-4.440892098500626e-14,5.897504706808832e-13,14.80750000000022,-4.17676895999999,-39.054300000000794,10.63073104000023,-28.42356896000011
22,0.0,0.00010000000002463594,3.907985046680551e-14,0.0,0.0,0.0,-28.576,-5.444500000000232,3.907985046680551e-14,-6.963318810448982e-13,14.018399999999824,-4.483432079999998,-34.02040000000038,9.534967919999975,-24.485432080000407
23,-2.842170943040401e-14,-9.99999999358181e-05,6.927791673660977e-14,0.0,0.0,0.0,-34.566200000000066,-12.799200000001257,0.00010000000000331966,2.1316282072803006e-14,21.18820000000016,-4.608997200000002,-47.365400000001415,16.57920280000017,-30.786197200001475
24,8.881784197001252e-16,-9.999999996779252e-05,2.1316282072803006e-14,0.0,0.0,0.0,-31.09149999999995,-17.32669999999994,0.0001000000000139778,-0.00010000000012411192,20.75339999999997,-4.560548399999995,-48.41829999999983,16.192851600000076,-32.22544840000044
25,1.5987211554602254e-14,1.3145040611561853e-13,6.750155989720952e-14,0.0,0.0,0.0,-34.186399999999914,-16.42980000000081,2.3092638912203256e-14,-2.5579538487363607e-13,21.78779999999994,-4.603224240000007,-50.61620000000114,17.18457575999989,-33.43162424000148
26,-3.907985046680551e-14,1.3855583347321954e-13,-5.684341886080802e-14,0.0,0.0,0.0,-35.744200000000006,-8.647600000001056,-9.999999998555609e-05,-1.8474111129762605e-13,17.190900000000145,-4.6033308,-44.39190000000107,12.587569200000308,-31.804330800000997
27,1.4210854715202004e-14,-4.618527782440651e-14,-0.00010000000007259757,0.0,0.0,0.0,-33.83000000000001,-18.707199999999915,1.9539925233402755e-14,-2.6290081223123707e-13,22.581100000000056,-4.760452079999997,-52.537300000001466,17.820647920000237,-34.716652080001005
28,3.907985046680551e-14,-1.0658141036401503e-14,9.999999993937081e-05,0.0,0.0,0.0,-31.795100000000062,-7.414800000000795,3.552713678800501e-15,-1.0658141036401503e-13,17.696300000000022,-4.3796685600000025,-39.20980000000225,13.31663144000007,-25.89316856000218
29,-3.019806626980426e-14,9.99999999358181e-05,3.907985046680551e-14,0.0,0.0,0.0,-37.71580000000005,-8.938799999999866,2.842170943040401e-14,-4.263256414560601e-13,18.49970000000006,-4.494790079999999,-46.65450000000128,14.004909919999964,-32.64959008000086
30,-3.552713678800501e-15,-2.4868995751603507e-14,-2.4868995751603507e-14,0.0,0.0,0.0,-33.27170000000001,-10.99379999999929,0.00010000000001220144,-3.623767952376511e-13,21.73489999999993,-4.16447496,-44.2653999999993,17.570425039999943,-26.694974959999364
31,-2.6645352591003757e-14,9.592326932761353e-14,-9.999999996956888e-05,0.0,0.0,0.0,-32.93939999999997,-18.08600000000029,9.99999999891088e-05,9.999999998200337e-05,23.59109999999984,-4.515670080000003,-51.02530000000047,19.075429919999998,-31.94987008000092
32,-1.5987211554602254e-14,-2.1316282072803006e-14,-3.197442310920451e-14,0.0,0.0,0.0,-30.822799999999997,-14.516200000001504,-3.197442310920451e-14,-1.9184653865522705e-13,20.34289999999985,-4.380805440000007,-45.33900000000139,15.962094559999889,-29.376905440001728
33,1.7763568394002505e-14,1.2079226507921703e-13,-7.460698725481052e-14,0.0,0.0,0.0,-34.40869999999993,-19.088199999999382,-7.105427357601002e-15,-0.00010000000020227162,27.25719999999982,-4.613471279999996,-53.49699999999922,22.643728719999828,-30.853271279998708
34,-8.881784197001252e-15,-9.999999999621423e-05,-8.881784197001252e-15,0.0,0.0,0.0,-32.65960000000009,-10.688499999998996,-9.999999999799059e-05,9.237055564881302e-14,19.962899999999923,-4.4177428800000005,-43.34829999999815,15.545157119999795,-27.8031428799979
35,-3.907985046680551e-14,0.00010000000009569021,1.4210854715202004e-14,0.0,0.0,0.0,-34.239300000000036,-2.7855000000007166,-2.1316282072803006e-14,4.902744876744691e-13,10.609500000000091,-4.160466,-37.02469999999941,6.449034000000047,-30.575665999999593
36,2.3092638912203256e-14,1.2079226507921703e-13,1.7763568394002505e-14,0.0,0.0,0.0,-34.105900000000105,-6.5813999999998885,-3.019806626980426e-14,-4.263256414560601e-13,18.414499999999954,-4.280553360000002,-40.68729999999984,14.13394663999988,-26.553353359999726
37,-1.2434497875801753e-14,0.0,1.2434497875801753e-14,0.0,0.0,0.0,-33.61300000000008,-13.719499999999307,4.263256414560601e-14,-9.999999983989483e-05,22.096500000000166,-4.432085279999999,-47.3325999999985,17.664414720000288,-29.66818527999866
38,9.999999998555609e-05,-6.750155989720952e-14,8.881784197001252e-14,0.0,0.0,0.0,-33.860100000000024,-8.199700000000277,-5.329070518200751e-15,-9.999999943488547e-05,19.093000000000124,-4.0685976,-42.05979999999826,15.024402400000088,-27.035397599998397
39,1.7763568394002505e-14,7.460698725481052e-14,-1.7763568394002505e-14,0.0,0.0,0.0,-31.780800000000024,-8.55619999999896,-2.4868995751603507e-14,7.815970093361102e-14,17.586999999999883,-4.491007199999996,-40.33699999999921,13.09599279999976,-27.241007199999224
