Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,9.3013,27.5728,23.1468,0.0,0.0,0.0,-1.8676,117.0127,14.9452,-294.1292,-24.4037,3.7395072,-104.01800000000003,-20.664192800000002,-124.68219280000004
1,13.1136,16.0794,23.9141,0.0,0.0,0.0,-1.6483,126.1273,13.74,-300.6986,-29.1914,3.75064992,-109.37249999999997,-25.44075008,-134.81325008
2,13.1207,23.2911,19.8303,0.0,0.0,0.0,-2.6532,125.9601,14.0523,-304.5042,-27.3293,3.75673968,-110.90290000000002,-23.57256032,-134.47546032
3,8.739,21.1825,22.979,0.0,0.0,0.0,-2.3373,125.1026,15.0678,-303.5978,-27.7912,3.7761436799999997,-112.86420000000001,-24.01505632,-136.87925632000002
4,6.8102,23.5826,22.5071,0.0,0.0,0.0,-2.5849,123.2755,14.3197,-303.6412,-25.543,3.7560009599999997,-115.73100000000002,-21.786999039999998,-137.51799904000003
5,9.2108,21.9352,18.5237,0.0,0.0,0.0,-1.7641,127.9968,13.5531,-306.6701,-25.8239,3.71461032,-117.21459999999999,-22.10928968,-139.32388968
6,10.043,27.2597,19.4687,0.0,0.0,0.0,-0.746,120.9083,16.0236,-301.0538,-25.3063,3.7500566399999995,-108.09650000000005,-21.55624336,-129.65274336000004
7,6.2109,22.6168,18.4216,0.0,0.0,0.0,-0.41,125.2102,13.8195,-299.7374,-27.6987,3.72147264,-113.86839999999995,-23.97722736,-137.84562735999995
8,8.983,25.4028,18.5311,0.0,0.0,0.0,0.2646,122.1103,15.6744,-301.172,-25.1366,3.7081036800000002,-110.20580000000004,-21.42849632,-131.63429632000006
9,7.6995,17.9296,24.0611,0.0,0.0,0.0,-2.1175,116.4478,16.1854,-299.5061,-22.2942,3.71508912,-119.30020000000002,-18.57911088,-137.87931088000002
10,10.0264,28.6806,17.4405,0.0,0.0,0.0,-0.5243,121.5966,16.1703,-300.4236,-24.7081,3.7351245599999996,-107.03350000000003,-20.972975440000003,-128.00647544000003
11,7.4589,20.6632,19.2697,0.0,0.0,0.0,2.9893,125.1558,16.8019,-298.9277,-27.3731,3.6689486399999995,-106.58890000000002,-23.70415136,-130.29305136000002
