Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,396.5857,1040.6535,787.3272,0.0,0.0,0.0,-999.79,-8944.5675,466.8418,5332.6012,-1671.4865,52.02137376,-1920.3480999999992,-1619.46512624,-3539.813226239999
1,348.9285,1104.0166,798.8034,0.0,0.0,0.0,-946.6856,-8970.7828,473.1659,5384.0004,-1712.1775,52.597411199999996,-1808.553600000001,-1659.5800888,-3468.133688800001
2,417.9049,1027.2456,774.2572,0.0,0.0,0.0,-962.3872,-8978.6344,468.5541,5388.8354,-1731.0435,52.61979888,-1864.224400000001,-1678.42370112,-3542.648101120001
3,386.2913,1056.7522,793.8209,0.0,0.0,0.0,-952.0516,-8958.4508,478.5578,5401.2849,-1731.2704,53.6688108,-1793.7953000000016,-1677.6015892,-3471.396889200002
4,398.5298,993.779,772.3527,0.0,0.0,0.0,-957.7219,-8942.5667,470.8536,5383.2591,-1734.6731,54.3548232,-1881.5143999999991,-1680.3182768,-3561.8326767999993
5,385.01,1048.8707,786.0401,0.0,0.0,0.0,-957.7005,-9025.2864,469.0029,5388.4458,-1663.6679,53.760990959999994,-1905.6174,-1609.9069090399998,-3515.52430904
6,388.0383,1031.8436,785.7369,0.0,0.0,0.0,-942.3082,-9008.89,467.5733,5399.193,-1680.1148,54.76637592,-1878.8130999999994,-1625.34842408,-3504.1615240799997
7,381.0749,1006.0193,764.6219,0.0,0.0,0.0,-990.3822,-8977.5266,472.9234,5367.2469,-1653.808,53.47990728,-1976.0223999999998,-1600.32809272,-3576.3504927199997
8,365.9738,1066.1869,779.0223,0.0,0.0,0.0,-954.8015,-9000.1465,454.8588,5388.2814,-1703.2059,54.17260416,-1900.6248000000014,-1649.03329584,-3549.6580958400014
9,369.9342,1031.8007,774.3793,0.0,0.0,0.0,-986.3846,-8971.8344,471.5947,5450.0914,-1733.3039,52.243703999999994,-1860.4186999999993,-1681.0601960000001,-3541.478895999999
10,375.5975,1006.987,767.3202,0.0,0.0,0.0,-964.3415,-8985.235,482.265,5429.0292,-1708.4068,52.41743208,-1888.3775999999998,-1655.98936792,-3544.3669679199998
11,391.9532,1004.9535,772.4165,0.0,0.0,0.0,-969.8416,-8966.9976,463.8229,5380.8247,-1695.1242,53.66792304,-1922.8684000000003,-1641.45627696,-3564.3246769600005
12,359.3353,984.9917,795.0793,0.0,0.0,0.0,-967.7842,-8922.2539,456.8876,5430.5158,-1771.5049,52.7768388,-1863.228399999999,-1718.7280612,-3581.956461199999
