Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,383.4773,1079.111,792.0409,0.0,0.0,0.0,-1006.2289,-9023.506,478.9513,5183.6649,-1648.4696,51.238866959999996,-2112.4894999999997,-1597.23073304,-3709.7202330399996
1,407.415,1039.2308,785.0387,0.0,0.0,0.0,-999.3708,-9010.9662,486.7754,5184.9581,-1678.3687,51.4067292,-2106.9190000000017,-1626.9619708,-3733.8809708000017
2,390.0701,1074.7904,791.2454,0.0,0.0,0.0,-990.3529,-8904.3202,475.0072,5224.4769,-1809.8362,53.28632304,-1939.0830999999998,-1756.54987696,-3695.6329769599997
3,415.3068,1049.9281,775.4814,0.0,0.0,0.0,-1004.7688,-8905.1531,471.3707,5184.6602,-1790.8391,53.674118639999996,-2013.1746999999987,-1737.16498136,-3750.339681359999
4,400.8026,1039.47,783.9289,0.0,0.0,0.0,-1022.4253,-8956.0556,471.8499,5185.5299,-1705.9319,52.00612848,-2096.899599999999,-1653.9257715200001,-3750.825371519999
5,388.2596,1055.1132,780.7519,0.0,0.0,0.0,-1016.4679,-8885.3492,474.6961,5176.952,-1759.5874,52.36102512,-2026.0442999999996,-1707.2263748799999,-3733.2706748799997
6,390.1768,1044.7309,793.9927,0.0,0.0,0.0,-1007.8795,-9027.1333,468.2212,5217.1272,-1667.7961,49.77761472,-2120.764,-1618.01848528,-3738.78248528
7,406.3775,1094.011,765.8646,0.0,0.0,0.0,-1002.9927,-8873.8164,480.3139,5205.796,-1794.6357,52.42198896,-1924.4460999999992,-1742.2137110400001,-3666.659811039999
8,394.4941,1022.0737,788.0348,0.0,0.0,0.0,-1002.6808,-8857.9954,465.3919,5214.875,-1812.289,52.38833184,-1975.8067,-1759.90066816,-3735.70736816
9,375.5872,1047.9374,821.8808,0.0,0.0,0.0,-986.0679,-8934.541,467.6901,5173.6371,-1748.032,52.05961656,-2033.8763,-1695.97238344,-3729.84868344
