Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,378.0961,980.5071,785.8233,0.0,0.0,0.0,-926.1835,-9411.6955,475.1138,5390.7654,-1842.7519,61.60765823999999,-2327.573299999999,-1781.1442417599999,-4108.717541759999
1,387.9118,1052.0107,781.8625,0.0,0.0,0.0,-925.8659,-9328.7785,466.2009,5361.9592,-1910.7438,65.97397439999999,-2204.6993,-1844.7698255999999,-4049.4691256000006
2,381.2524,1011.7995,764.2462,0.0,0.0,0.0,-916.1467,-9380.9652,464.2979,5359.8332,-1869.0375,64.7168832,-2315.6827000000003,-1804.3206168,-4120.0033168
3,385.3854,997.6432,769.4109,0.0,0.0,0.0,-913.8094,-9339.4029,478.4682,5429.6509,-1963.3527,64.37772144,-2192.653699999999,-1898.97497856,-4091.628678559998
4,395.8171,1034.4884,764.8863,0.0,0.0,0.0,-922.5399,-9300.5459,475.85,5373.8286,-1958.832,64.26271872,-2178.215399999999,-1894.56928128,-4072.7846812799994
5,364.0164,1019.752,775.3166,0.0,0.0,0.0,-937.9471,-9289.8547,474.1901,5378.669,-1941.9393,62.82531288,-2215.8577000000005,-1879.11398712,-4094.9716871200003
6,390.7599,990.1273,769.6381,0.0,0.0,0.0,-926.804,-9420.8695,454.0863,5416.1797,-1855.7395,60.84287208,-2326.8822,-1794.89662792,-4121.7788279199995
7,387.8214,1033.7413,808.9441,0.0,0.0,0.0,-905.6999,-9291.0373,467.6725,5350.7372,-1939.5404,63.75203136,-2147.820700000001,-1875.78836864,-4023.609068640001
8,361.0108,1006.8408,784.3633,0.0,0.0,0.0,-918.6188,-9349.8585,489.4257,5389.1329,-1927.8355,64.9626876,-2237.703800000001,-1862.8728124,-4100.576612400001
9,362.8545,1034.6115,771.8452,0.0,0.0,0.0,-918.8704,-9361.1569,487.1527,5410.8162,-1917.1385,63.35215128,-2212.7472,-1853.78634872,-4066.53354872
10,388.9,1035.0451,778.0332,0.0,0.0,0.0,-887.6559,-9376.0421,471.564,5344.087,-1873.6263,62.578469520000006,-2246.0687,-1811.04783048,-4057.1165304799997
11,384.1603,1032.3357,788.8417,0.0,0.0,0.0,-922.6238,-9374.1394,477.198,5419.3863,-1916.7745,62.99085096,-2194.841199999999,-1853.78364904,-4048.6248490399985
12,396.2225,1016.5687,782.3064,0.0,0.0,0.0,-921.3261,-9335.1387,471.3551,5364.4128,-1896.1656,62.28150336,-2225.5993,-1833.88409664,-4059.48339664
13,386.3869,1023.4245,775.762,0.0,0.0,0.0,-922.7379,-9502.0955,481.009,5421.0749,-1790.6674,60.8655852,-2337.1760999999988,-1729.8018148,-4066.977914799999
14,422.6097,1073.0194,793.3313,0.0,0.0,0.0,-945.4769,-9413.6447,465.974,5363.6023,-1834.4229,62.00505864,-2240.5849000000007,-1772.41784136,-4013.002741360001
15,377.8615,993.812,785.1662,0.0,0.0,0.0,-950.7924,-9417.4944,471.0114,5401.2598,-1847.1942,61.995665519999996,-2339.1758999999993,-1785.1985344799998,-4124.374434479999
16,368.9032,993.9188,785.6402,0.0,0.0,0.0,-937.5959,-9399.2512,460.7582,5386.5413,-1848.8746,61.12388448,-2341.085400000001,-1787.75071552,-4128.836115520001
17,362.4073,1005.3846,764.6425,0.0,0.0,0.0,-955.6079,-9355.278,475.3378,5379.8453,-1890.847,62.512611119999995,-2323.2684,-1828.33438888,-4151.60278888
18,394.6033,1046.1143,765.6291,0.0,0.0,0.0,-934.8117,-9412.9042,469.3667,5363.3707,-1838.7271,61.28114471999999,-2308.631800000001,-1777.4459552800001,-4086.077755280001
