Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-5.3290705182007514e-14,1.0658141036401503e-14,-6.039613253960852e-14,0.0,0.0,0.0,-21.740200000000065,-31.034700000000896,9.999999997845066e-05,1.7053025658242404e-13,40.926600000000086,-4.987093679999995,-52.7748000000021,35.93950632000012,-16.835293680001968
1,-4.440892098500626e-14,-1.1723955140041653e-13,0.00010000000008147936,0.0,0.0,0.0,-34.56419999999998,-26.713899999999995,-1.4210854715202004e-14,9.999999969068085e-05,45.77009999999996,-5.941637279999998,-61.27789999999993,39.82846271999996,-21.449437280000197
2,-4.1744385725905886e-14,4.973799150320701e-14,-0.00010000000000687237,0.0,0.0,0.0,-28.566500000000044,-40.10569999999872,9.999999995180531e-05,-1.1368683772161603e-13,49.59460000000004,-5.276917440000001,-68.67219999999915,44.31768256000001,-24.354517439998915
3,1.7763568394002505e-15,-5.684341886080802e-14,2.1316282072803006e-14,0.0,0.0,0.0,-29.569199999999974,-41.08000000000065,-7.105427357601002e-15,0.0,58.34640000000002,-5.387084639999994,-70.64920000000095,52.959315359999984,-17.68988464000074
4,-1.865174681370263e-14,8.881784197001252e-14,-0.00010000000002818865,0.0,0.0,0.0,-21.966399999999975,-35.579300000000345,-4.796163466380676e-14,2.8421709430404007e-13,44.9213999999999,-5.3330155199999965,-57.54580000000033,39.588384479999895,-17.957415519999984
5,1.2434497875801753e-14,0.00010000000011345378,5.684341886080802e-14,0.0,0.0,0.0,-27.30729999999999,-25.86870000000046,3.907985046680551e-14,1.7053025658242404e-13,42.38830000000007,-4.7192659200000024,-53.17590000000013,37.66903408000002,-15.506865920000337
6,8.881784197001252e-15,-2.842170943040401e-14,9.999999996779252e-05,0.0,0.0,0.0,-26.90080000000001,-33.34329999999969,-2.1316282072803006e-14,-1.1368683772161603e-13,52.04749999999995,-5.755223520000009,-60.24399999999898,46.29227647999986,-13.951723519999106
7,-3.197442310920451e-14,1.8118839761882555e-13,-0.00010000000004595222,0.0,0.0,0.0,-32.920400000000065,-26.868000000000038,-2.3092638912203256e-14,2.8421709430404007e-13,42.05979999999998,-5.349191759999998,-59.78849999999889,36.71060824000003,-23.07789175999912
8,-0.00010000000001575415,9.99999999891088e-05,2.1316282072803006e-14,0.0,0.0,0.0,-30.445599999999956,-29.07550000000012,-2.4868995751603507e-14,5.115907697472721e-13,45.32210000000012,-5.800016880000003,-59.52109999999931,39.522083120000076,-19.999016879999004
9,1.2434497875801753e-14,-6.394884621840902e-14,6.394884621840902e-14,0.0,0.0,0.0,-32.38640000000003,-29.030499999999435,1.9539925233402755e-14,-1.7053025658242404e-13,42.20619999999987,-5.3677728000000045,-61.416899999999714,36.83842719999987,-24.578472799999616
10,2.6645352591003757e-14,3.552713678800501e-14,0.00010000000003529408,0.0,0.0,0.0,-24.625599999999935,-36.122099999999435,9.999999998200337e-05,9.999999940646376e-05,45.03870000000016,-5.295265920000005,-60.7474,39.7434340800002,-21.003965919999587
11,-5.329070518200751e-15,-0.0001000000000921375,9.592326932761353e-14,0.0,0.0,0.0,-27.166700000000066,-38.1111999999996,4.263256414560601e-14,-9.999999991805453e-05,50.34939999999989,-5.752974239999999,-65.27809999999948,44.596425759999896,-20.681674239999126
12,-9.999999995891073e-05,-9.592326932761353e-14,-7.815970093361102e-14,0.0,0.0,0.0,-28.50709999999997,-35.25549999999912,-1.2434497875801753e-14,-9.999999991805453e-05,51.53519999999999,-5.273919360000007,-63.76279999999983,46.261280639999995,-17.501519360000287
13,1.2434497875801753e-14,-7.105427357601002e-15,-9.999999989318553e-05,0.0,0.0,0.0,-28.92320000000002,-36.958600000001155,-0.00010000000000509601,1.1368683772161603e-13,53.09879999999988,-5.460050160000007,-65.88200000000111,47.6387498399999,-18.24325016000074
14,1.5987211554602254e-14,2.4868995751603507e-14,-2.1316282072803006e-14,0.0,0.0,0.0,-27.897999999999985,-28.035399999999925,-1.2434497875801753e-14,1.1368683772161603e-13,37.578799999999966,-5.468064479999998,-55.93340000000035,32.11073552000002,-23.822664479999858
15,-1.5987211554602254e-14,-4.973799150320701e-14,-2.1316282072803006e-14,0.0,0.0,0.0,-22.867299999999958,-28.25089999999912,1.2434497875801753e-14,9.999999980436769e-05,42.78130000000002,-5.749898400000003,-51.11810000000037,37.03140159999987,-14.086698400000273
16,3.907985046680551e-14,9.999999998555609e-05,-2.4868995751603507e-14,0.0,0.0,0.0,-32.800999999999966,-31.254199999999614,2.842170943040401e-14,-9.99999995201506e-05,45.72569999999993,-5.820765119999996,-64.05519999999873,39.9049348799999,-24.150265119998608
17,1.5987211554602254e-14,7.815970093361102e-14,7.105427357601002e-15,0.0,0.0,0.0,-29.439999999999923,-33.23920000000028,1.2434497875801753e-14,3.410605131648481e-13,44.706499999999885,-5.2887038399999975,-62.67920000000038,39.41779616000006,-23.261403840000995
18,-2.7533531010703882e-14,8.171241461241152e-14,5.3290705182007514e-14,0.0,0.0,0.0,-26.338300000000043,-32.74199999999979,0.00010000000003529408,-1.1368683772161603e-13,45.15449999999996,-5.093296560000002,-59.080199999999195,40.06120343999994,-19.01899655999881
