,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,413.7618,1041.7816,764.6297,0.0,0.0,0.0,-999.6616,-8942.318000000001,468.5781,5333.5623,-1584.5757,52.09914384,-1919.6660999999995,-1532.4765561600002,-3452.14265616
1,400.7435,1041.0123,776.7819999999999,0.0,0.0,0.0,-979.4468,-8911.8025,453.7094,5333.7681,-1648.986,50.95471032,-1885.2339999999995,-1598.03128968,-3483.26528968
2,381.2438,1070.6503,787.949,0.0,0.0,0.0,-995.9239,-8917.1643,470.5783,5397.4165,-1662.332,51.6445092,-1805.2503,-1610.6874908000002,-3415.9377908
3,391.9357,1000.3789999999999,761.6510000000001,0.0,0.0,0.0,-957.8432,-8908.4536,460.105,5373.0531,-1682.3162,53.27422704,-1879.1730000000016,-1629.04197296,-3508.214972960002
4,403.1538,1004.7373,768.4547,0.0,0.0,0.0,-947.2326,-8955.0779,471.4717,5367.4591,-1645.263,55.78093152,-1887.0339000000006,-1589.48206848,-3476.51596848
5,387.963,1004.0018,773.3173,0.0,0.0,0.0,-977.2749,-8914.1267,466.9216,5357.3725,-1651.004,52.7999544,-1901.8254000000006,-1598.2040455999997,-3500.029445600001
6,388.6224,1057.8706,779.6276,0.0,0.0,0.0,-954.3588,-8878.0859,457.0273,5337.0407,-1664.2399,52.01979119999999,-1812.2561000000005,-1612.2201088,-3424.476208800001
7,422.2323,1011.2225,763.0586,0.0,0.0,0.0,-967.4131,-8890.4897,458.531,5373.5769,-1680.7591,53.74623888,-1829.2815,-1627.01286112,-3456.2943611200008
8,426.5529,1032.1422,750.9465,0.0,0.0,0.0,-965.3057,-8897.9452,489.4061,5382.1341,-1667.2407,52.88635152,-1782.0690999999995,-1614.35434848,-3396.42344848
9,397.4877,1018.2428,793.3079,0.0,0.0,0.0,-966.2255,-8793.7898,470.0779,5381.4565,-1776.0656,55.8133272,-1699.4424999999994,-1720.2522728,-3419.6947727999986
