,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,8.5349,25.1243,27.0485,0.0,0.0,0.0,-2.4737,113.9455,14.0662,-294.0416,-23.3699,3.7008503999999993,-107.79590000000002,-19.6690496,-127.46494960000004
1,11.0038,20.4472,19.171,0.0,0.0,0.0,-1.7898,117.9356,14.2753,-295.9926,-24.083000000000002,3.7221767999999997,-114.9495,-20.3608232,-135.31032319999997
2,12.6233,23.0206,21.2192,0.0,0.0,0.0,-1.1338,121.181,15.8638,-301.7222,-24.834,3.74528016,-108.94809999999998,-21.08871984,-130.03681984
3,7.5296,23.5613,22.6858,0.0,0.0,0.0,-1.5181,118.4946,12.8964,-295.8243,-26.188000000000002,3.7994688,-112.1747,-22.3885312,-134.5632312
4,6.8451,23.3798,22.1808,0.0,0.0,0.0,-1.7002,127.958,15.7127,-305.7818,-25.8242,3.74628816,-111.40559999999996,-22.07791184,-133.48351183999995
5,7.1388,17.7805,24.1742,0.0,0.0,0.0,-1.8419,118.6467,14.2926,-299.6671,-24.5986,3.72867264,-119.4762,-20.86992736,-140.34612736
6,8.6476,26.793000000000003,20.9968,0.0,0.0,0.0,-0.8299,121.5493,14.2819,-297.6068,-27.0324,3.7498384799999993,-106.1681,-23.28256152,-129.45066152
7,12.2251,21.8591,24.5102,0.0,0.0,0.0,-1.8201,118.8435,12.6621,-298.5008,-26.2839,3.75508296,-110.2209,-22.52881704,-132.74971703999998
8,8.8831,17.8713,27.2997,0.0,0.0,0.0,-1.0561,127.4312,16.129,-303.9129,-27.4266,3.8038536,-107.35469999999998,-23.622746399999997,-130.97744640000002
9,11.2167,23.6606,24.3529,0.0,0.0,0.0,-1.3935,116.9688,13.7279,-297.3042,-23.6802,3.72482136,-108.77079999999998,-19.95537864,-128.72617863999997
10,12.9165,22.6754,21.7003,0.0,0.0,0.0,-0.802,121.6498,16.2828,-295.9771,-27.5651,3.7348812,-101.5543,-23.8302188,-125.3845188
11,12.0097,27.4265,24.8846,0.0,0.0,0.0,-2.484,122.4695,15.3606,-301.7496,-26.142,3.74157,-102.0827,-22.40043,-124.48313
12,8.2959,30.3009,25.6311,0.0,0.0,0.0,-2.4665,119.4413,14.8509,-301.2779,-24.3571,3.76317072,-105.2243,-20.59392928,-125.81822928
13,13.2409,16.8428,28.121,0.0,0.0,0.0,-3.787,120.4911,14.0279,-297.1768,-26.8566,3.72025944,-108.2401,-23.13634056,-131.37644056
14,10.8922,32.7409,21.1111,0.0,0.0,0.0,-2.0988,118.0912,14.7103,-296.7063,-24.9296,3.75209928,-101.2594,-21.17750072,-122.43690072
15,10.356,23.6806,22.6948,0.0,0.0,0.0,-1.1385,126.5831,14.4701,-303.8106,-29.0178,3.7883628,-107.16450000000003,-25.2294372,-132.39393720000004
16,9.3847,23.4629,28.2873,0.0,0.0,0.0,-0.4879,126.8119,14.1066,-304.7399,-27.0829,3.80438424,-103.1744,-23.27851576,-126.45291575999998
17,11.9982,15.7241,19.8768,0.0,0.0,0.0,-2.2964,119.9465,14.014000000000001,-298.4819,-25.2842,3.74377248,-119.21869999999998,-21.54042752,-140.75912752
18,9.0895,22.991999999999997,27.1823,0.0,0.0,0.0,-3.4853,114.6612,11.9486,-293.4066,-23.7349,3.73434336,-111.01830000000004,-20.00055664,-131.01885664000002
19,7.9851,22.1529,25.828000000000003,0.0,0.0,0.0,-0.6677,120.7786,13.8381,-298.3036,-26.2756,3.78766368,-108.38860000000004,-22.487936320000006,-130.87653632
20,13.1605,22.4461,24.6093,0.0,0.0,0.0,-2.8466,117.72,13.795,-298.3017,-24.9649,3.76680528,-109.4174,-21.19809472,-130.61549472
21,20.8086,24.4891,20.4992,0.0,0.0,0.0,-3.9089,123.1767,13.2785,-300.8882,-27.7148,3.77312256,-102.545,-23.94167744,-126.48667743999998
22,9.7116,27.4472,22.8118,0.0,0.0,0.0,0.5532,118.1294,15.935,-299.1983,-24.9719,3.74922648,-104.61010000000002,-21.22267352,-125.83277352000002
23,5.0071,23.2122,26.391,0.0,0.0,0.0,-2.5154,120.0987,14.1165,-293.0063,-28.0419,3.72776472,-106.6962,-24.31413528,-131.01033528
24,10.1395,26.9809,22.252,0.0,0.0,0.0,-2.1256,121.4986,14.081,-295.8913,-28.2285,3.745422,-103.06490000000002,-24.483078,-127.547978
25,5.9776,27.463,22.6327,0.0,0.0,0.0,-2.0004,123.3973,14.1538,-297.5294,-28.1642,3.78237456,-105.9054,-24.38182544,-130.28722544
26,8.2767,25.0915,23.4503,0.0,0.0,0.0,-0.7261,124.274,17.0593,-300.8205,-27.4907,3.71752488,-103.39479999999998,-23.77317512,-127.16797511999998
27,11.7761,20.5351,18.727999999999998,0.0,0.0,0.0,-0.3494,123.7895,13.9571,-299.103,-28.6926,3.74540328,-110.66660000000002,-24.94719672,-135.61379672
28,11.1666,18.6961,19.02,0.0,0.0,0.0,-2.5169,122.9383,15.7599,-298.5612,-26.5057,3.69779904,-113.4972,-22.80790096,-136.30510095999998
29,11.0758,24.0888,25.9529,0.0,0.0,0.0,-2.2032,114.8473,15.1968,-296.3962,-23.511,3.69744696,-107.43780000000004,-19.81355304,-127.25135304000004
30,12.9425,20.9466,19.1864,0.0,0.0,0.0,-2.61,118.7933,14.0315,-297.8394,-25.4013,3.77806392,-114.5491,-21.62323608,-136.17233608
31,11.0658,23.116999999999997,20.1132,0.0,0.0,0.0,-1.5508,124.2524,14.9783,-300.5953,-26.2289,3.7211976,-108.61940000000004,-22.507702399999996,-131.12710240000004
32,9.7187,25.8327,17.6111,0.0,0.0,0.0,-2.1611,122.68299999999999,13.2672,-298.4628,-28.4007,3.77499096,-111.5112,-24.62570904,-136.13690904
33,11.243,24.5638,18.7605,0.0,0.0,0.0,-2.2378,119.5625,16.0379,-297.4045,-24.4741,3.7222163999999998,-109.47459999999998,-20.7518836,-130.22648359999997
34,7.3968,23.3946,24.3842,0.0,0.0,0.0,-1.6072,118.1214,14.8736,-296.8712,-24.611,3.7424267999999996,-110.3078,-20.8685732,-131.17637319999997
35,7.3682,28.14,23.8671,0.0,0.0,0.0,0.2547,122.1516,13.6447,-297.5287,-27.5666,3.71768544,-102.10240000000002,-23.84891456,-125.95131456
36,11.1809,17.3894,21.3474,0.0,0.0,0.0,-0.1835,119.8378,13.5346,-297.8333,-25.7651,3.75933456,-114.7267,-22.00576544,-136.73246543999997
37,7.9216,20.7905,17.5485,0.0,0.0,0.0,-1.0034,121.5581,14.6698,-296.7833,-27.4823,3.76297992,-115.2982,-23.71932008,-139.01752008000003
38,10.9628,25.3728,20.1214,0.0,0.0,0.0,-1.9634,121.9652,12.8381,-297.5077,-28.3618,3.80965896,-108.2108,-24.55214104,-132.76294104
39,9.4647,29.2942,25.4082,0.0,0.0,0.0,-2.2848,126.3417,13.9485,-303.1521,-26.6044,3.7992635999999997,-100.9796,-22.8051364,-123.7847364
40,9.5422,26.6091,26.385,0.0,0.0,0.0,-1.4980000000000002,124.0266,15.3559,-300.006,-28.5815,3.74153904,-99.5852,-24.83996096,-124.42516096
41,13.3076,23.0394,21.1542,0.0,0.0,0.0,-1.9076,121.8456,13.1255,-295.5629,-28.6042,3.723174,-104.99820000000004,-24.881026000000002,-129.87922600000002
42,9.3396,25.0343,21.366,0.0,0.0,0.0,-1.2233,122.0987,14.1155,-297.0276,-28.1678,3.73632192,-106.29680000000002,-24.43147808,-130.72827808000002
43,7.7588,22.5523,19.1516,0.0,0.0,0.0,-1.8537,118.7577,12.4199,-296.7052,-24.9292,3.76193592,-117.9186,-21.16726408,-139.08586408
44,12.0009,25.6684,21.3898,0.0,0.0,0.0,0.0291,121.7831,16.25,-300.425,-25.4288,3.72887352,-103.3037,-21.69992648,-125.00362648
45,9.5912,24.2488,19.8656,0.0,0.0,0.0,-2.193,122.9562,13.4697,-297.8725,-28.7939,3.76368408,-109.93400000000004,-25.03021592,-134.96421592000004
46,8.197000000000001,24.6729,20.750999999999998,0.0,0.0,0.0,-1.8715,127.3796,12.9794,-303.5201,-27.601,3.78878472,-111.4117,-23.81221528,-135.22391528
47,8.4068,23.5015,18.9883,0.0,0.0,0.0,0.4668,122.1338,14.0218,-296.0259,-29.2709,3.75765696,-108.50689999999996,-25.513243040000006,-134.02014304
48,9.4857,24.5663,23.8509,0.0,0.0,0.0,-1.911,123.2462,14.4925,-298.2987,-26.9348,3.75097608,-104.5681,-23.18382392,-127.75192391999998
49,6.3185,24.6756,25.2345,0.0,0.0,0.0,-3.4295,122.9059,12.612,-297.1151,-28.5882,3.76841304,-108.79809999999998,-24.81978696,-133.61788695999996
50,9.5254,22.6018,21.6685,0.0,0.0,0.0,-0.9365,122.0357,12.9154,-297.2482,-27.293000000000003,3.76664616,-109.43789999999998,-23.52635384,-132.96425384
51,12.917,27.3739,23.7779,0.0,0.0,0.0,-2.9903,127.1507,15.6838,-307.7083,-26.5496,3.72773232,-103.79530000000004,-22.82186768,-126.61716768000002
52,12.5656,22.8976,24.7364,0.0,0.0,0.0,-3.5581,116.3947,12.8197,-297.9651,-24.7799,3.7595844,-112.1092,-21.020315600000004,-133.1295156
53,14.3358,22.1854,20.9307,0.0,0.0,0.0,0.8501,121.037,13.0247,-294.9315,-28.4428,3.74808672,-102.56780000000003,-24.69471328,-127.26251328000004
54,8.1411,22.4108,21.1039,0.0,0.0,0.0,-2.5636,121.2871,13.8333,-298.7167,-27.6225,3.77321616,-114.5041,-23.84928384,-138.35338384
55,6.1505,27.8197,18.6438,0.0,0.0,0.0,-1.3765,123.3616,13.0028,-297.8886,-28.6795,3.78893232,-110.2867,-24.89056768,-135.17726768
56,9.9947,21.7795,20.7564,0.0,0.0,0.0,-2.1703,119.4579,13.7461,-295.0218,-27.0625,3.7394532,-111.45749999999998,-23.3230468,-134.78054679999997
57,19.8295,18.0968,25.8947,0.0,0.0,0.0,-1.0774,123.8781,16.3038,-298.4471,-29.475,3.7231416,-95.52159999999998,-25.751858400000003,-121.27345839999997
58,10.3565,19.6896,22.7689,0.0,0.0,0.0,-1.1222,124.1257,15.4058,-298.6029,-27.3586,3.751162560000001,-107.37859999999998,-23.60743744,-130.98603743999996
