FRAMES,1,2,3,4,5,6,7,8,9,10
0,137,148,210,105,187,249,175,228,254,225
1,143,142,203,105,191,238,181,219,247,222
2,149,128,211,106,185,252,185,224,265,224
3,135,155,211,101,184,255,183,214,261,221
4,131,160,223,112,189,244,193,222,255,224
5,131,149,209,106,182,255,178,224,261,229
6,141,152,225,125,192,232,189,232,263,216
7,137,144,204,118,178,249,180,218,274,221
8,145,142,214,103,170,246,185,222,256,220
9,150,147,221,100,180,247,194,224,256,224
10,129,152,218,112,181,253,179,223,258,224
11,139,148,217,111,169,263,179,229,258,214
12,141,148,214,121,183,238,182,218,273,226
13,150,144,209,109,177,252,173,215,274,225
14,150,150,209,115,188,247,184,235,265,220
15,158,150,215,119,185,264,181,228,261,221
16,160,146,221,117,184,250,193,220,271,220
17,151,156,221,117,179,264,192,219,264,211
18,149,152,207,120,179,261,181,205,267,225
19,152,155,207,108,167,250,196,222,277,210
20,149,162,221,109,184,243,192,218,261,228
21,146,150,212,117,172,261,188,221,268,233
22,158,163,218,97,169,253,177,223,259,220
23,159,155,220,97,173,256,188,229,267,226
24,151,163,218,111,180,251,192,226,254,219
25,145,151,227,104,179,266,193,244,236,231
26,153,150,229,108,179,254,191,231,239,242
27,156,151,227,118,193,248,197,218,248,224
28,144,155,225,107,188,252,188,225,254,219
29,143,156,220,128,172,250,185,218,245,240
30,147,142,228,125,186,245,189,219,255,214
31,155,157,214,113,169,251,190,215,241,226
32,152,151,220,114,180,252,190,216,253,227
33,164,156,204,123,185,248,197,225,237,226
34,156,166,216,116,187,257,176,210,248,235
35,140,159,221,122,178,259,192,208,245,233
36,152,165,223,121,201,255,204,230,252,228
37,147,153,225,125,201,254,192,226,245,230
38,155,155,225,117,204,264,194,226,255,244
39,145,165,227,120,188,260,200,229,256,229
40,142,167,217,123,188,272,183,236,254,222
41,155,158,220,132,183,261,190,223,243,232
42,153,153,223,128,177,260,183,225,244,222
43,156,168,207,132,193,256,194,225,262,220
44,159,166,219,127,182,253,185,215,269,221
45,158,166,221,122,169,253,196,216,253,227
46,164,151,229,110,166,262,190,217,238,229
47,147,160,214,120,162,252,190,225,262,226
48,152,158,211,120,155,244,202,211,263,231
49,152,156,223,124,161,259,180,219,262,240
50,149,150,211,119,168,264,186,220,275,230
51,153,155,217,128,163,254,190,228,251,228
52,156,165,223,124,169,260,187,218,278,216
53,157,149,220,123,190,262,199,223,251,216
54,154,155,223,144,174,272,182,222,280,222
55,139,157,219,119,171,264,191,221,252,230
56,159,174,227,133,185,251,185,229,259,230
57,150,156,225,125,163,254,187,232,264,223
58,143,162,224,128,184,263,195,229,274,216
59,157,160,230,134,172,249,191,226,273,217
60,146,162,223,111,191,255,193,227,267,223
61,155,155,219,125,175,264,183,226,272,227
62,156,156,208,114,174,264,190,227,288,211
63,154,155,223,115,177,265,178,221,270,225
64,154,151,234,120,170,258,189,242,259,228
65,146,157,222,120,175,253,188,233,276,215
66,170,163,222,119,169,256,181,225,281,234
67,151,149,228,130,172,251,188,225,274,231
68,166,164,220,124,177,265,193,235,262,237
69,152,150,220,120,176,259,195,235,290,230
70,147,155,229,124,184,262,192,236,256,235
71,158,146,223,129,192,257,185,237,262,234
72,151,161,228,126,170,255,189,232,268,217
73,150,154,214,129,177,267,185,223,261,228
74,151,164,227,130,181,244,191,235,269,220
75,150,168,218,130,191,263,202,234,264,236
76,161,156,231,122,188,255,190,229,262,221
77,155,151,215,108,185,264,181,216,256,237
78,159,158,211,112,172,254,199,236,248,229
79,144,156,221,117,180,262,205,235,277,228
80,157,162,216,114,179,275,194,237,274,229
81,159,159,223,121,195,255,194,238,291,223
82,156,150,228,131,188,262,196,241,297,222
83,151,151,217,123,185,260,192,232,275,230
84,152,150,229,112,189,251,189,227,271,224
85,154,163,227,114,173,255,190,234,244,245
86,154,156,236,118,182,258,182,235,268,235
87,153,162,220,110,182,262,189,245,266,221
88,143,163,206,121,188,244,187,223,270,220
89,139,155,224,112,182,254,187,233,265,223
90,157,159,222,116,177,253,183,235,273,232
91,152,162,228,110,182,253,194,231,276,223
92,151,159,214,121,178,265,185,223,274,223
93,142,161,207,114,182,244,176,234,264,230
94,146,156,220,114,178,260,187,235,262,225
95,142,157,213,118,184,255,196,225,267,215
96,150,156,221,110,181,251,190,235,272,228
97,157,157,214,118,181,267,196,236,259,238
98,143,158,224,123,177,242,195,242,270,212
99,154,163,228,125,179,257,189,230,252,224
100,139,160,217,129,185,247,183,234,264,226
101,154,162,220,132,179,261,191,229,276,223
102,146,159,227,126,175,260,171,233,266,230
103,151,152,228,108,184,257,197,228,257,221
104,147,154,246,123,183,265,193,233,259,222
105,155,151,215,124,195,257,192,232,261,226
106,152,160,223,130,186,254,190,231,253,220
107,158,162,213,114,185,260,182,231,278,229
108,138,140,213,123,171,262,190,249,269,237
109,153,154,216,121,192,266,186,237,257,205
110,146,159,214,113,179,247,189,232,246,226
111,153,151,228,122,180,268,192,233,242,233
112,154,159,213,129,186,251,184,222,239,219
113,151,159,207,124,170,246,197,239,260,220
114,154,160,217,121,181,265,184,248,254,222
115,152,169,221,105,185,261,191,235,278,225
116,158,159,226,116,188,250,189,227,253,223
117,163,160,224,109,162,246,191,226,267,225
118,151,159,216,113,174,250,191,242,267,223
119,155,164,213,123,191,238,192,232,250,244
120,153,158,218,120,164,255,185,245,253,218
121,152,173,221,107,175,253,197,234,252,228
122,152,153,222,112,184,253,198,223,268,219
123,155,156,234,120,165,266,190,223,248,237
124,149,158,220,122,181,256,190,237,255,220
125,146,162,227,119,188,247,184,243,261,238
126,157,149,216,119,171,249,189,235,273,242
127,141,154,221,126,178,261,183,238,259,230
128,148,168,224,126,176,261,192,231,270,236
129,152,153,224,127,176,266,193,236,261,228
130,149,167,226,122,179,251,196,230,260,223
131,158,166,232,128,171,256,193,226,275,234
132,145,162,233,123,170,257,180,242,263,226
133,159,157,205,129,176,260,178,233,258,217
134,152,155,212,115,183,252,186,226,271,216
135,150,157,236,124,171,240,202,220,270,226
136,155,158,218,120,184,249,189,230,275,231
137,151,159,233,115,180,260,188,232,258,231
138,146,153,222,129,185,263,181,231,269,229
139,144,157,232,141,188,250,194,227,257,227
140,162,163,217,152,178,245,195,232,253,224
141,135,159,217,143,192,252,182,226,268,236
142,153,158,233,146,184,255,190,234,266,223
143,139,162,218,140,169,255,193,245,266,232
