,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,382.9961,1059.0791,845.9605,0.0,0.0,0.0,-1042.0242,-8430.4979,498.7062,5274.6804,-3531.7694,50.9347188,-1411.0998000000006,-3480.8346812,-4891.934481200001
1,424.8475,1061.9469,818.6113,0.0,0.0,0.0,-1004.9258,-8554.7641,481.5112,5310.2486,-3454.3422,52.41776184,-1462.5244000000002,-3401.92443816,-4864.44883816
2,390.9397,1009.5184,778.3367,0.0,0.0,0.0,-1007.6622,-8428.4968,490.2013,5321.2631,-3567.8431,52.1925516,-1445.8998000000008,-3515.6505484,-4961.550348400001
3,415.4041,1061.0667,819.8603,0.0,0.0,0.0,-1025.6059,-8693.4797,480.9646,5238.3921,-3191.0036,51.10288632,-1703.3977999999988,-3139.90071368,-4843.298513679999
4,433.207,1080.5091,788.8592,0.0,0.0,0.0,-1020.7516,-8376.3919,468.2232,5254.5424,-3498.6522,50.367978,-1371.8026,-3448.2842219999998,-4820.086821999998
5,397.7921,1089.1569,797.2313,0.0,0.0,0.0,-1045.5361,-8506.6219,474.0904,5275.4739,-3503.4828,51.72323688,-1518.4134000000006,-3451.75956312,-4970.172963120001
6,405.6941,1091.1854,813.3201,0.0,0.0,0.0,-1014.6138,-8455.9399,475.6644,5282.7145,-3542.6549,52.91822448,-1401.9752,-3489.73667552,-4891.71187552
7,424.9083,1029.0323,773.4151,0.0,0.0,0.0,-1012.0355,-8594.8334,491.269,5318.2689,-3420.2143,51.3363816,-1569.9752999999994,-3368.8779184,-4938.8532184
8,400.9626,1080.1082,811.9492,0.0,0.0,0.0,-1006.539,-8460.2152,485.9411,5236.9344,-3405.5651,50.71998888,-1450.8587000000007,-3354.84511112,-4805.703811120001
9,383.8042,1043.2851,818.3023,0.0,0.0,0.0,-1001.6468,-8395.7348,480.0673,5311.8556,-3646.8918,52.50695328000001,-1360.0671000000002,-3594.38484672,-4954.45194672
10,416.94800000000004,1092.9775,785.043,0.0,0.0,0.0,-1017.0942,-8572.479,475.1746,5295.3521,-3520.5728,52.05260808,-1524.0779999999993,-3468.52019192,-4992.5981919199985
11,396.5618,1106.7267,792.3301,0.0,0.0,0.0,-1000.8523,-8465.0528,472.9613,5307.0245,-3541.0207,52.03751832,-1390.3006999999998,-3488.98318168,-4879.28388168
12,416.1155,1019.7724,784.9439,0.0,0.0,0.0,-1000.1489,-8500.2301,473.0181,5301.9372,-3548.6258,52.80485112,-1504.5919000000006,-3495.82094888,-5000.41284888
13,379.4355,1104.0311,798.962,0.0,0.0,0.0,-1026.2509,-8554.5549,467.7465,5294.5801,-3416.6973,52.19359128,-1536.0505999999987,-3364.50370872,-4900.5543087199985
14,390.9527,1102.5517,819.2763,0.0,0.0,0.0,-1041.2454,-8473.4492,468.4199,5279.7164,-3535.8023,51.78103632,-1453.7775999999985,-3484.02126368,-4937.798863679999
15,404.3938,1037.6313,796.7251,0.0,0.0,0.0,-1006.1858,-8671.2739,467.7456,5257.5019999999995,-3334.4021,51.91985448,-1713.4618999999993,-3282.48224552,-4995.9441455199985
16,387.9681,1056.2184,808.8832,0.0,0.0,0.0,-1024.285,-8448.9411,477.5152,5278.0562,-3572.9507,52.78655808,-1464.585,-3520.16414192,-4984.749141920001
17,379.535,1083.3223,789.5901,0.0,0.0,0.0,-1002.8354,-8034.814,475.1326,5292.1621,-3936.595,52.03170072,-1017.9073000000008,-3884.56329928,-4902.47059928
18,410.6229,1056.9263,813.6862,0.0,0.0,0.0,-1000.6396,-8467.2848,475.8062,5286.7323,-3605.5344,52.44308639999999,-1424.1504999999993,-3553.0913136,-4977.2418136000015
19,382.3811,1064.6485,802.3078,0.0,0.0,0.0,-1015.1508,-8500.3322,471.5914,5299.1276,-3413.0606,50.84611488,-1495.4265999999998,-3362.21448512,-4857.64108512
20,385.4106,1093.0542,807.6804,0.0,0.0,0.0,-999.1347,-8470.5876,481.4001,5313.9676,-3429.3136,51.22108224,-1388.2094000000006,-3378.09251776,-4766.301917760001
21,380.1476,1041.4555,817.1824,0.0,0.0,0.0,-994.5012,-8296.1404,474.9013,5245.634,-3727.4559,53.00121672,-1331.3208000000013,-3674.45468328,-5005.775483280001
22,404.4834,1056.1605,803.2452,0.0,0.0,0.0,-1017.306,-8513.975,462.3574,5252.2096,-3405.5959,50.32081728,-1552.8249000000005,-3355.27508272,-4908.09998272
23,394.8505,1046.0365,799.8997,0.0,0.0,0.0,-1006.0162,-8225.7461,481.6546,5260.2007,-3736.4044,51.68459232,-1249.1202999999996,-3684.71980768,-4933.84010768
24,400.01,1078.6372,827.8109,0.0,0.0,0.0,-1029.5964,-8271.0957,492.9873,5292.1476,-3763.7345,50.70800664,-1209.0991000000004,-3713.02649336,-4922.12559336
25,374.6339,1020.2127,774.3745,0.0,0.0,0.0,-1035.8499,-8319.2209,500.223,5324.1392,-3656.9939,51.57889416,-1361.4875000000004,-3605.41500584,-4966.90250584
26,361.6716,1097.2037,810.4867,0.0,0.0,0.0,-1033.2263,-8231.9155,493.4505,5284.3102,-3742.8063,50.30374752,-1218.0190999999995,-3692.50255248,-4910.52165248
27,400.0026,1105.9255,779.4878,0.0,0.0,0.0,-1035.3937,-8483.0516,479.3189,5272.0721,-3515.9317,51.3129888,-1481.6384000000005,-3464.6187112,-4946.257111200001
28,395.1265,1067.6562,807.6793,0.0,0.0,0.0,-1026.9581,-8416.9605,476.9249,5307.3188,-3600.7802,51.79290192,-1389.2128999999993,-3548.98729808,-4938.20019808
29,391.6573,1022.3895,818.9045,0.0,0.0,0.0,-1023.0599,-8404.5511,467.3167,5306.8068,-3617.3211,51.86525832,-1420.5361999999993,-3565.45584168,-4985.99204168
30,398.7165,1051.2392,805.1895,0.0,0.0,0.0,-1037.4901,-8274.23,457.2825,5235.7473,-3721.973,52.74469944,-1363.5450999999996,-3669.22830056,-5032.77340056
31,370.4264,1054.5756,798.1784,0.0,0.0,0.0,-1009.7861,-8454.3131,483.3336,5273.0487,-3476.2911,50.505948,-1484.5364999999995,-3425.7851520000004,-4910.321651999999
32,405.9308,1070.2899,827.3916,0.0,0.0,0.0,-1027.2001,-8255.5906,491.2734,5261.113,-3713.2033,53.09194104,-1226.7919999999995,-3660.11135896,-4886.9033589599985
33,447.3294,1034.0156,802.1419999999999,0.0,0.0,0.0,-995.0781,-8613.171999999999,467.5165,5248.2235,-3395.25,52.71721776,-1609.0231000000006,-3342.53278224,-4951.555882240002
