Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,9.4269,21.5868,10.9558,0.0,0.0,0.0,-2.2303,2.9908,9.4794,-41.4511,-15.2339,25.8152,-25.5879,10.758299999999998,-15.0066,-4.248300000000004
1,8.7925,21.4446,9.3209,0.0,0.0,0.0,-1.9054,2.9348,8.7603,-41.9072,-15.099,25.6687,-25.6765,7.4405,-15.1068,-7.6663
2,5.3801,21.7123,7.6443,0.0,0.0,0.0,-1.07,2.3449,9.8293,-41.7867,-14.8276,25.6876,-25.6344,4.054200000000002,-14.7744,-10.720199999999998
3,6.246,21.6598,9.7087,0.0,0.0,0.0,-2.6177,3.0568,10.3705,-42.0474,-15.2757,25.7065,-25.5626,6.3767,-15.131800000000002,-8.755100000000002
4,5.1404,27.0079,8.5376,0.0,0.0,0.0,-2.5919,3.2567,9.8395,-43.3469,-15.1047,25.9759,-25.6489,7.843299999999999,-14.777700000000001,-6.9344
5,5.7111,22.7732,11.8572,0.0,0.0,0.0,-0.5414,3.2152,10.3623,-42.689,-15.0972,25.7113,-25.7765,10.688599999999994,-15.162399999999998,-4.473800000000004
6,8.106,25.3005,8.6144,0.0,0.0,0.0,-2.023,2.9868,10.5508,-42.1066,-15.2145,25.6168,-25.6814,11.428899999999999,-15.279099999999998,-3.8501999999999974
7,15.9368,25.03,5.5226,0.0,0.0,0.0,-1.6333,2.9866,8.0182,-42.3031,-15.0616,25.8483,-25.575,13.5578,-14.788300000000001,-1.2305000000000028
8,6.6977,21.1331,8.8528,0.0,0.0,0.0,-2.0023,2.707,10.4296,-41.874,-15.6718,25.7585,-25.317,5.943899999999999,-15.230299999999998,-9.2864
9,6.242,24.6919,6.9662,0.0,0.0,0.0,-1.181,2.5173,10.6209,-42.338,-14.7599,25.4703,-25.6037,7.519300000000001,-14.893299999999998,-7.373999999999999
10,11.4044,23.7116,8.8887,0.0,0.0,0.0,-1.4336,2.1215,10.5202,-42.0443,-14.93,25.6026,-25.5563,13.168500000000002,-14.883700000000001,-1.7151999999999994
11,3.4905,18.6005,12.3182,0.0,0.0,0.0,-2.5119,2.9016,11.8714,-42.3917,-15.2887,25.6735,-25.6294,4.278599999999997,-15.2446,-10.966000000000003
12,5.6634,22.2533,9.4012,0.0,0.0,0.0,-2.4451,2.3251,11.0519,-42.2172,-14.5455,25.7113,-25.5847,6.032599999999995,-14.4189,-8.386300000000006
13,9.5423,22.1004,8.8063,0.0,0.0,0.0,-2.5366,2.7145,10.806,-41.3566,-15.8216,25.7963,-25.3008,10.076299999999996,-15.3261,-5.249800000000004
14,3.9877,26.4577,8.4125,0.0,0.0,0.0,-1.927,2.8129,10.4256,-42.4327,-15.1414,25.6498,-25.6975,7.736699999999999,-15.189100000000003,-7.452400000000004
15,9.2346,21.6073,12.3387,0.0,0.0,0.0,-2.0585,2.9425,9.5725,-41.6188,-15.0644,25.8908,-25.4842,12.018299999999996,-14.657800000000002,-2.6395000000000053
16,7.1623,20.5057,6.0374,0.0,0.0,0.0,-1.4212,2.6069,10.4213,-42.3022,-14.8662,25.4136,-25.6767,3.0102000000000046,-15.1293,-12.119099999999996
17,5.6801,24.6097,11.3041,0.0,0.0,0.0,-2.1701,2.4592,9.5559,-42.2235,-14.2997,25.8294,-25.5994,9.215400000000002,-14.0697,-4.8542999999999985
