Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,2.531308496145357e-14,-7.815970093361102e-14,-9.999999995713438e-05,0.0,0.0,0.0,-26.21800000000007,-23.216300000000277,-2.842170943040401e-14,1.7053025658242404e-13,34.03879999999991,-20.924899999999933,34.3403,-49.43440000000084,47.45419999999986,-1.9802000000000675
1,1.4210854715202004e-14,8.881784197001252e-16,-0.00010000000001575415,0.0,0.0,0.0,-26.521999999999974,-21.830199999999763,-4.707345624410664e-14,4.973799150320701e-13,32.29880000000004,-21.23669999999985,34.0718,-48.35229999999884,45.13390000000008,-3.2183999999985318
2,-1.687538997430238e-14,-7.993605777301127e-14,5.417888360170764e-14,0.0,0.0,0.0,-26.649999999999967,-16.49239999999893,2.5757174171303632e-14,5.400124791776761e-13,25.460799999999974,-21.146899999999906,33.385800000000025,-43.14239999999831,37.699700000000206,-5.4426999999978705
3,1.1546319456101628e-14,1.4654943925052066e-13,-6.039613253960852e-14,0.0,0.0,0.0,-25.12709999999994,-20.60780000000006,0.0001000000000015433,-7.105427357601002e-14,28.62530000000008,-20.130999999999972,33.31399999999997,-45.73479999999952,41.80829999999985,-3.9264999999996633
4,3.8191672047105385e-14,7.105427357601002e-15,-9.999999997933884e-05,0.0,0.0,0.0,-24.541900000000048,-10.911999999999235,-1.1546319456101628e-14,-6.252776074688882e-13,21.748400000000125,-19.63029999999987,32.64669999999996,-35.45400000000053,34.764800000000214,-0.689200000000092
5,-8.881784197001252e-15,2.842170943040401e-14,0.00010000000002108322,0.0,0.0,0.0,-18.01789999999999,-17.3544000000008,1.4210854715202004e-14,3.552713678800501e-13,26.04529999999982,-20.679099999999917,32.50689999999998,-35.372200000000554,37.87309999999977,2.5008999999992128
6,-2.6645352591003757e-15,-1.7763568394002505e-15,-1.0480505352461478e-13,0.0,0.0,0.0,-26.483499999999964,-14.099299999998708,-3.552713678800501e-15,-4.263256414560601e-14,27.639500000000005,-19.80500000000012,34.973500000000016,-40.582799999999736,42.80799999999967,2.2252000000003846
7,-2.7533531010703882e-14,-9.237055564881302e-14,3.552713678800501e-15,0.0,0.0,0.0,-27.333300000000037,-20.679700000000043,-2.3092638912203256e-14,0.00010000000033016931,33.68039999999998,-20.286999999999914,35.462099999999964,-48.01289999999904,48.85549999999992,0.8426000000013261
8,3.552713678800501e-15,-8.704148513061227e-14,9.999999999443787e-05,0.0,0.0,0.0,-25.57039999999996,-10.90540000000038,2.7533531010703882e-14,2.5579538487363607e-13,27.30530000000007,-20.48540000000007,33.483799999999974,-36.47570000000043,40.303700000000084,3.827999999999207
9,4.218847493575595e-14,-1.865174681370263e-14,-7.105427357601002e-14,0.0,0.0,0.0,-27.192099999999943,-21.078099999999502,-9.769962616701378e-15,4.973799150320701e-13,28.672399999999982,-21.175300000000057,32.79400000000004,-48.27019999999929,40.29109999999997,-7.97909999999932
10,2.3092638912203256e-14,0.00010000000003351772,1.6697754290362354e-13,0.0,0.0,0.0,-25.237099999999995,-21.393200000000697,1.0658141036401503e-14,7.389644451905042e-13,30.26809999999999,-21.052399999999896,32.4555,-46.63020000000023,41.671200000000205,-4.959000000000472
11,-9.999999997312159e-05,-0.00010000000010901289,-5.684341886080802e-14,0.0,0.0,0.0,-25.923800000000004,-10.207700000000319,5.329070518200751e-15,-5.684341886080802e-14,19.468099999999982,-20.986300000000092,31.368500000000072,-36.13170000000023,29.850299999999848,-6.2814000000003745
12,2.353672812205332e-14,4.618527782440651e-14,-5.5067062021407764e-14,0.0,0.0,0.0,-24.91920000000003,-16.418500000001252,-2.1316282072803006e-14,-4.973799150320701e-13,23.11099999999999,-20.074399999999937,31.870799999999964,-41.3377000000019,34.9073999999999,-6.430300000002006
13,2.6645352591003757e-15,9.999999986209929e-05,2.6645352591003757e-14,0.0,0.0,0.0,-24.191300000000016,-16.84329999999958,-1.687538997430238e-14,-4.689582056016661e-13,26.06819999999982,-20.778299999999966,31.683600000000038,-41.03449999999973,36.973499999999895,-4.0609999999998365
14,0.00010000000003085319,-8.881784197001252e-14,0.00010000000003351772,0.0,0.0,0.0,-19.884599999999956,-19.920100000000076,9.769962616701378e-15,0.0,31.74229999999997,-20.527900000000102,32.30109999999996,-39.80449999999931,43.515499999999946,3.711000000000638
15,2.5757174171303632e-14,4.973799150320701e-14,9.592326932761353e-14,0.0,0.0,0.0,-26.182599999999976,-18.923000000000286,1.5987211554602254e-14,7.958078640513122e-13,23.92650000000007,-20.82559999999992,32.344999999999985,-45.105599999999,35.44590000000013,-9.65969999999841
16,-3.197442310920451e-14,-2.6645352591003757e-14,3.375077994860476e-14,0.0,0.0,0.0,-26.333200000000044,-13.802900000000449,-3.019806626980426e-14,-0.00010000000003174137,26.6632,-20.343700000000048,33.159899999999965,-40.13620000000149,39.479400000000034,-0.6568000000014536
