Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,386.1027,1011.8056,1668.6374,0.0,0.0,0.0,-971.3897,-8956.4997,481.7564,5362.1877,-1885.3539,1089.0536,-683.728,-1017.3995999999997,-1480.0283,-2497.4278999999997
1,375.9092,997.9794,1696.5301,0.0,0.0,0.0,-982.5277,-8939.8226,484.1937,5384.0215,-1912.0764,1085.1555,-669.6196,-983.7164000000002,-1496.5404999999998,-2480.2569000000003
2,390.5803,1015.2934,1701.8076,0.0,0.0,0.0,-998.3221,-8909.1301,459.8281,5419.3696,-1945.1788,1089.1198,-669.8575,-920.5731999999998,-1525.9164999999998,-2446.4896999999996
3,387.233,987.872,1680.4266,0.0,0.0,0.0,-973.23,-8873.8648,469.4514,5388.0063,-1994.751,1089.1859,-676.0367,-934.1054999999988,-1581.6018,-2515.707299999999
4,399.5697,1003.8643,1696.4533,0.0,0.0,0.0,-979.3351,-8899.3119,470.4226,5364.5166,-1941.1225,1085.8926,-675.297,-943.8205000000007,-1530.5269,-2474.3474000000006
5,384.4444,1049.1217,1693.018,0.0,0.0,0.0,-976.5177,-8865.0239,467.2006,5350.2408,-1968.6742,1084.5034,-668.882,-897.5161000000007,-1553.0528,-2450.5689000000007
6,401.4376,1007.4271,1670.0856,0.0,0.0,0.0,-985.0437,-8916.3127,467.6402,5369.2473,-1924.9675,1072.3129,-654.5905,-985.5186000000003,-1507.2451,-2492.7637000000004
7,388.6756,1041.8384,1697.0148,0.0,0.0,0.0,-993.2465,-8875.8317,474.1795,5341.5167,-1931.2157,1081.9803,-663.1205,-925.8532000000005,-1512.3559,-2438.2091
8,361.2393,1050.8984,1701.6142,0.0,0.0,0.0,-948.7692,-8973.9371,463.2292,5369.6526,-1890.7672,1087.4377,-670.8198,-976.0725999999986,-1474.1493,-2450.2218999999986
9,384.6196,1034.5181,1686.4209,0.0,0.0,0.0,-970.9116,-8910.7268,475.4282,5368.0537,-1940.9672,1096.7648,-680.3224,-932.5978999999988,-1524.5248000000001,-2457.122699999999
10,368.9207,1032.2187,1670.2128,0.0,0.0,0.0,-980.9144,-8882.0894,461.1575,5399.1915,-1971.6713,1086.5257,-670.5181,-931.3026000000009,-1555.6637,-2486.966300000001
11,376.5263,1020.4138,1688.1088,0.0,0.0,0.0,-961.0666,-8945.5251,478.3675,5426.2296,-1943.9139,1091.761,-673.141,-916.9457000000011,-1525.2939000000001,-2442.2396000000012
12,365.227,987.5902,1670.199,0.0,0.0,0.0,-951.101,-8894.3245,473.8526,5382.2313,-1932.1894,1092.2761,-675.134,-966.3254000000006,-1515.0473,-2481.372700000001
13,373.4311,1069.2134,1687.2916,0.0,0.0,0.0,-948.2377,-8810.6088,473.877,5369.7597,-2003.141,1102.912,-684.8668,-785.2737000000006,-1585.0958,-2370.3695000000007
14,383.3126,1047.0469,1700.6059,0.0,0.0,0.0,-944.9967,-8884.6549,477.2221,5354.9451,-1962.2394,1097.0105,-683.6068,-866.5190000000002,-1548.8356999999999,-2415.3547
