,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,3.9999,6.1235,9.4954,0.0,0.0,0.0,-1.3406,6.8578,7.0488,-83.3902,-12.8736,22.2951,-23.366999999999997,-51.20539999999999,-13.9455,-65.1509
1,7.3917,6.524,11.5998,0.0,0.0,0.0,-1.7666,8.1635,7.4164,-84.3145,-12.9919,22.4227,-23.3431,-44.98569999999999,-13.9123,-58.89799999999999
2,5.1459,7.9505,7.2054,0.0,0.0,0.0,-1.5408,7.7173,6.9965,-85.0447,-12.7578,22.3612,-23.159000000000002,-51.56990000000001,-13.555599999999998,-65.12550000000002
3,4.4019,6.1217,11.3535,0.0,0.0,0.0,-1.7871,6.695,8.1686,-82.4182,-13.5432,22.399,-23.4407,-47.4646,-14.5849,-62.0495
4,5.3633,10.7939,7.9502,0.0,0.0,0.0,-1.7609,6.5729,7.9654,-84.5129,-12.6556,22.1959,-23.2806,-47.6281,-13.740299999999998,-61.3684
5,9.7129,9.4632,8.2471,0.0,0.0,0.0,-1.5315,7.8576,7.122000000000001,-85.4072,-13.2493,22.4179,-22.9022,-44.53590000000001,-13.7336,-58.2695
6,4.3184,6.6241,9.3573,0.0,0.0,0.0,-1.8545,7.711,8.0521,-86.277,-12.6839,22.261999999999997,-23.2462,-52.0686,-13.6681,-65.7367
7,5.9632,10.2395,10.1277,0.0,0.0,0.0,-1.5968,7.6527,8.2048,-85.1735,-12.4276,22.2006,-23.5838,-44.5824,-13.8108,-58.39319999999999
8,5.7989,12.0239,7.1838,0.0,0.0,0.0,-1.1073,6.2321,7.5445,-83.8416,-12.3092,22.2384,-23.2124,-46.1657,-13.2832,-59.44890000000001
9,3.5886,5.7306,7.8155,0.0,0.0,0.0,-1.4843,7.8859,7.5528,-84.4431,-12.8698,22.1864,-23.2516,-53.354,-13.935,-67.289
10,4.1197,4.8485,9.3218,0.0,0.0,0.0,-1.4699,6.0255,7.0611,-81.6696,-12.8985,22.4605,-23.3246,-51.7629,-13.7626,-65.52550000000001
11,2.0754,7.7297,9.6832,0.0,0.0,0.0,-1.5934,7.1347,8.4959,-85.219,-12.8077,22.1959,-23.3321,-51.69349999999999,-13.9439,-65.6374
12,3.0966,6.9817,9.1687,0.0,0.0,0.0,-1.6219,6.6445,8.3264,-83.1176,-12.5548,22.1439,-23.2135,-50.52159999999999,-13.6244,-64.14599999999999
13,5.5095,5.1019,9.0941,0.0,0.0,0.0,-1.7407,8.1043,7.419,-83.98,-13.1943,22.4557,-23.0515,-50.49190000000001,-13.7901,-64.28200000000001
14,2.5736,6.0547,8.0514,0.0,0.0,0.0,-1.7614,7.1858,7.1895,-84.2527,-12.8382,22.3707,-23.1429,-54.95910000000001,-13.610400000000002,-68.5695
15,2.6566,8.1248,8.8094,0.0,0.0,0.0,-1.6069,6.5573,8.3181,-84.1934,-12.5563,22.2809,-23.1855,-51.33409999999999,-13.460900000000002,-64.795
16,4.7927,12.0694,8.0524,0.0,0.0,0.0,-0.7889,7.2757,7.7705,-85.4554,-12.6161,22.2053,-23.0778,-46.2836,-13.488599999999998,-59.7722
17,3.2223,6.9214,7.8515,0.0,0.0,0.0,-1.6301,7.7174,8.3831,-86.4759,-12.7875,22.1959,-23.2854,-54.0103,-13.876999999999995,-67.8873
18,3.7334,8.7369,8.3874,0.0,0.0,0.0,-1.6207,7.0078,7.6123,-85.3121,-12.6721,22.21,-22.9616,-51.455,-13.4237,-64.8787
19,5.2881,6.6669,12.9826,0.0,0.0,0.0,-1.3402,7.4026,8.5689,-82.9393,-13.2781,22.2053,-23.3668,-43.3704,-14.4396,-57.81
20,5.9255,6.9068,7.9521,0.0,0.0,0.0,-1.3501,6.8136,7.6363,-84.3141,-12.3328,22.2431,-23.1821,-50.4299,-13.2718,-63.7017
21,7.2628,5.0844,5.7575,0.0,0.0,0.0,-1.6323,7.4946,6.4104,-83.2739,-13.1522,22.4463,-23.4093,-52.8965,-14.115200000000002,-67.01169999999999
22,5.6546,9.0351,6.6873,0.0,0.0,0.0,-1.7355,6.7504,7.3859,-83.87100000000001,-13.11,22.2526,-23.4263,-50.0932,-14.2837,-64.37689999999999
23,7.8612,7.1343,8.6361,0.0,0.0,0.0,-1.6789,7.0788,10.2282,-84.8121,-12.9176,22.261999999999997,-23.3592,-45.5524,-14.0148,-59.5672
24,3.0361,9.1582,7.6833,0.0,0.0,0.0,-1.7034,6.949,7.2125,-82.8331,-13.1133,22.4794,-23.1338,-50.4974,-13.767700000000005,-64.2651
25,2.9671,7.3457,10.5615,0.0,0.0,0.0,-1.5741,7.0564,7.2234,-83.9126,-12.5227,22.2715,-23.2315,-50.3326,-13.4827,-63.81529999999999
26,2.3056,9.5159,7.8877,0.0,0.0,0.0,-1.6218,7.681,8.5551,-84.7452,-12.6127,22.1155,-23.4435,-50.4217,-13.9407,-64.36240000000001
27,4.0061,10.987,8.5434,0.0,0.0,0.0,-1.7317,8.0051,7.2545,-86.6565,-12.7341,22.3471,-23.4305,-49.5921,-13.817499999999995,-63.40959999999998
28,2.5551,8.4913,7.6689,0.0,0.0,0.0,-1.6131,7.6157,7.5641,-84.7652,-12.6177,22.3565,-23.4343,-52.4832,-13.6955,-66.17869999999999
29,6.3673,4.8565,7.9024,0.0,0.0,0.0,-1.2711,7.1564,6.2079,-82.545,-13.4234,22.5172,-23.2851,-51.3256,-14.191300000000002,-65.51689999999999
30,2.9711,6.5271,6.1188,0.0,0.0,0.0,-1.6851,7.2197,6.2806,-83.9296,-12.7002,22.4983,-23.2363,-56.49739999999999,-13.4382,-69.9356
31,8.5416,9.8953,6.6625,0.0,0.0,0.0,-1.6173,8.1607,7.4802,-86.1546,-12.7252,22.21,-23.4551,-47.0316,-13.9703,-61.0019
32,2.8846,9.5769,10.1521,0.0,0.0,0.0,-1.5503,7.3218,8.1823,-85.6979,-12.696,22.125,-23.2655,-49.13050000000001,-13.8365,-62.967
