,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,17.1958,51.5642,28.6519,0.0,0.0,0.0,-7.0064,31.1946,13.2364,-77.3587,-18.0266,49.3221,-45.0861,57.4778,-13.7906,43.6872
1,10.8952,44.0515,28.2735,0.0,0.0,0.0,-3.5605,29.4841,13.3552,-77.0314,-17.2197,49.4827,-45.4469,45.46759999999999,-13.183899999999996,32.2837
2,15.3226,43.4567,27.7099,0.0,0.0,0.0,-1.1334,29.2358,16.5788,-76.7432,-17.3178,48.8023,-46.5193,54.4272,-15.034799999999995,39.3924
3,13.6231,43.1393,27.2718,0.0,0.0,0.0,-3.7268,29.2997,13.9142,-77.1068,-17.6488,49.9741,-46.2829,46.41449999999999,-13.9576,32.45689999999999
4,8.5875,39.7136,31.2185,0.0,0.0,0.0,-3.9437,27.8004,15.2678,-77.5676,-16.8486,50.2151,-47.0883,41.076499999999974,-13.721799999999995,27.35469999999999
5,10.3295,48.4512,32.5905,0.0,0.0,0.0,-6.3294,31.6058,15.5776,-79.5973,-17.4534,50.3143,-45.8857,52.6279,-13.0248,39.6031
6,8.1709,34.5371,35.3603,0.0,0.0,0.0,2.8996,27.3537,17.1487,-76.94800000000001,-16.4772,49.7615,-46.4799,48.522300000000016,-13.1956,35.326700000000024
7,11.3537,41.3674,29.4068,0.0,0.0,0.0,-1.9280000000000002,28.3658,13.3755,-75.9035,-17.1631,49.6481,-45.5371,46.03770000000003,-13.052100000000005,32.985600000000034
8,11.157,41.3592,28.9977,0.0,0.0,0.0,-3.4874,27.5575,12.7378,-76.1838,-17.2012,50.1442,-46.5415,42.13799999999999,-13.5985,28.53949999999999
9,12.0078,48.01,31.9628,0.0,0.0,0.0,-6.1813,29.9383,13.1725,-76.3496,-18.0484,50.6829,-46.7506,52.56050000000001,-14.116100000000005,38.4444
10,11.0851,41.9922,37.9786,0.0,0.0,0.0,-3.0175,28.0979,13.5381,-75.3697,-17.891,50.6262,-47.0613,54.3047,-14.326100000000006,39.97859999999999
11,10.8514,39.1126,25.043000000000003,0.0,0.0,0.0,-4.8407,30.6383,13.8198,-77.822,-17.4324,50.1442,-46.515,36.80240000000001,-13.803200000000004,22.9992
12,14.7062,46.2597,29.1891,0.0,0.0,0.0,-4.2392,30.3181,14.8291,-77.5621,-18.0252,49.1992,-45.5461,53.500900000000016,-14.372100000000007,39.12880000000001
13,13.3149,47.7424,27.1451,0.0,0.0,0.0,-5.5907,29.6836,14.1305,-76.1301,-18.3504,50.7774,-46.6738,50.29570000000001,-14.2468,36.0489
14,11.7069,36.1755,33.2339,0.0,0.0,0.0,-3.6335,29.7527,15.7205,-75.5851,-18.2892,50.097,-46.4409,47.370900000000006,-14.6331,32.73780000000001
15,9.5597,45.553999999999995,30.2152,0.0,0.0,0.0,-4.8027,32.108000000000004,14.5916,-79.0325,-17.7081,50.1915,-46.0351,48.1933,-13.551700000000006,34.64159999999998
16,12.6191,42.6579,27.19,0.0,0.0,0.0,-4.8599,30.058000000000003,13.5508,-77.2889,-17.4779,50.5317,-46.4377,43.92699999999999,-13.383900000000004,30.543099999999992
17,13.1582,32.05,31.5557,0.0,0.0,0.0,-3.9682,28.1409,15.6699,-76.2708,-17.1576,50.5647,-47.0041,40.335700000000024,-13.597,26.738700000000016
18,9.9401,46.1852,24.6035,0.0,0.0,0.0,-3.7501,26.8564,15.0855,-74.5219,-17.7907,50.3805,-47.0372,44.39870000000001,-14.447400000000002,29.951300000000003
19,8.6895,43.4497,28.6793,0.0,0.0,0.0,-5.3163,31.2738,14.5682,-79.9172,-17.1642,49.4355,-45.8307,41.42700000000002,-13.559400000000005,27.867600000000014
20,8.5355,43.5337,25.8958,0.0,0.0,0.0,-1.4346,28.7193,15.6822,-77.27600000000001,-17.62,50.1537,-46.9503,43.6559,-14.416600000000004,29.2393
21,10.1365,44.9672,30.0955,0.0,0.0,0.0,-2.8035,29.8486,14.0623,-78.1486,-17.5795,50.233999999999995,-46.8149,48.158,-14.160400000000005,33.9976
22,13.3355,45.1228,27.5516,0.0,0.0,0.0,-3.5818,31.225,13.6433,-77.6656,-17.7827,50.0308,-46.114,49.6308,-13.865899999999995,35.76489999999999
23,14.5571,35.8402,30.9105,0.0,0.0,0.0,-2.3242,28.002,14.8277,-76.0548,-17.9537,50.6309,-46.478,45.7585,-13.800800000000002,31.9577
24,17.334,43.7581,32.2008,0.0,0.0,0.0,-6.1641,32.03,14.4578,-80.3804,-17.371,50.5742,-46.4972,53.23620000000001,-13.294000000000004,39.94220000000001
25,8.7484,39.7295,28.5643,0.0,0.0,0.0,-2.7674,27.6263,14.5583,-75.8923,-17.5719,50.2482,-46.3722,40.56710000000001,-13.695900000000002,26.87120000000001
26,19.4017,43.0101,29.746,0.0,0.0,0.0,-4.268,29.364,11.5923,-77.3839,-17.9523,50.7396,-46.7678,51.46220000000001,-13.9805,37.48170000000001
27,13.3855,43.4095,26.1899,0.0,0.0,0.0,-4.0797,27.8403,12.5153,-75.5718,-17.554000000000002,50.4041,-46.2799,43.68900000000001,-13.4298,30.25920000000001
28,14.1427,40.4834,30.5579,0.0,0.0,0.0,-3.9071,29.7417,11.8831,-75.5312,-18.4511,50.6403,-47.0008,47.37049999999999,-14.8116,32.558899999999994
29,11.6882,45.3502,30.4948,0.0,0.0,0.0,-4.4426,27.533,14.1189,-74.4563,-17.5279,50.3899,-46.1176,50.28620000000001,-13.255600000000006,37.0306
30,11.3408,38.056999999999995,24.1174,0.0,0.0,0.0,-1.0588,29.9787,13.8834,-77.2014,-18.3192,50.1631,-46.7217,39.11709999999999,-14.877799999999995,24.2393
31,13.4623,36.8583,34.1429,0.0,0.0,0.0,-2.6908,32.4069,15.907,-81.1848,-17.3269,48.7834,-45.1749,48.90180000000001,-13.7184,35.183400000000006
32,12.8864,49.3994,32.5238,0.0,0.0,0.0,-4.9972,29.6324,13.9376,-78.6368,-17.3251,50.5364,-46.2454,54.7456,-13.034099999999995,41.7115
33,8.4881,36.5684,36.4176,0.0,0.0,0.0,-3.8984,28.8495,16.8374,-78.59899999999999,-17.0705,50.1489,-46.0941,44.66359999999999,-13.015699999999995,31.647899999999996
34,9.4407,32.2932,32.2471,0.0,0.0,0.0,-4.2697,28.1593,14.1758,-76.4903,-16.977,50.5695,-46.3734,35.556099999999994,-12.780899999999995,22.77519999999999
35,20.7486,42.398999999999994,34.3077,0.0,0.0,0.0,-2.5551,31.3872,16.4442,-77.7989,-18.0488,50.097,-46.5024,64.93269999999998,-14.4542,50.47849999999999
36,9.9739,37.503,34.6765,0.0,0.0,0.0,-3.85,26.8203,14.029000000000002,-73.0662,-18.154,49.5583,-45.0299,46.08650000000002,-13.625599999999995,32.460900000000024
37,9.7127,41.8444,28.9987,0.0,0.0,0.0,-3.4459,30.4178,13.9674,-77.4818,-17.7865,49.9647,-45.3825,44.0133,-13.204299999999995,30.809000000000005
38,17.2157,44.5607,26.7105,0.0,0.0,0.0,-7.3566,30.572,15.1813,-76.7593,-18.2604,48.7409,-44.8135,50.12430000000001,-14.332999999999995,35.79130000000001
39,13.1615,39.1494,31.2695,0.0,0.0,0.0,-3.3493,31.5952,13.5094,-79.7634,-17.5819,49.2559,-45.0205,45.5723,-13.346500000000002,32.22579999999999
40,11.0118,44.0327,27.6007,0.0,0.0,0.0,-3.8656,32.2137,16.6627,-78.6844,-17.6266,48.1833,-44.7174,48.97160000000001,-14.160699999999995,34.81090000000002
41,8.7536,38.8369,29.3255,0.0,0.0,0.0,-3.2657,27.8009,14.1725,-75.8002,-17.5168,50.1395,-46.2185,39.8235,-13.595800000000004,26.22769999999999
42,9.1667,34.4128,32.0051,0.0,0.0,0.0,-5.3854,28.3716,13.4124,-76.5339,-17.1247,50.5695,-46.1633,35.449299999999994,-12.7185,22.730799999999995
43,6.7694,42.0012,30.1001,0.0,0.0,0.0,-4.5434,27.9725,14.0407,-75.494,-17.4712,49.993,-46.3465,40.84649999999999,-13.8247,27.021799999999992
44,9.8724,41.4149,36.0906,0.0,0.0,0.0,-6.6472,31.1665,15.1099,-78.2672,-16.893,49.0858,-44.8844,48.73990000000001,-12.6916,36.04830000000001
45,10.7678,36.8586,34.4583,0.0,0.0,0.0,-2.536,28.7052,15.456,-77.808,-16.7907,50.1253,-46.5272,45.9019,-13.1926,32.709300000000006
46,11.5317,40.4909,29.5614,0.0,0.0,0.0,-1.7395,26.8279,13.8438,-76.0604,-16.8795,50.4939,-46.0856,44.4558,-12.471200000000005,31.9846
47,14.1245,37.3585,29.5742,0.0,0.0,0.0,0.4708,28.3951,12.7838,-75.9639,-17.801,50.2482,-46.6319,46.743,-14.184700000000007,32.55829999999999
48,20.4711,33.4623,33.1641,0.0,0.0,0.0,-5.7679,29.0469,12.9105,-77.6425,-17.0614,50.3143,-46.0063,45.6445,-12.7534,32.8911
49,11.5561,34.492,40.6363,0.0,0.0,0.0,-3.5047,29.7714,13.5611,-78.2063,-17.6981,50.3569,-46.2134,48.3059,-13.5546,34.75129999999999
