,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,398.0952,1050.1585,1728.7075,0.0,0.0,0.0,-756.8954,-13300.6911,475.9917,5244.3603,-6568.7525,1688.9254,-682.2875,-5160.273299999999,-5562.1146,-10722.3879
1,409.4751,1009.7857,1695.9508,0.0,0.0,0.0,-787.554,-13200.1564,495.4206,5330.6544,-6621.5539,1700.9978,-687.8715,-5046.4238,-5608.4276,-10654.851399999998
2,393.6533,1079.8541,1714.2244,0.0,0.0,0.0,-778.9822,-13323.4138,474.139,5277.3172,-6471.0238,1704.3762,-687.0651,-5163.208,-5453.7127,-10616.9207
3,381.47900000000004,1027.621,1717.1341,0.0,0.0,0.0,-785.0364,-12744.7498,474.4963,5246.1623,-7003.3841,1741.1225,-718.4751,-4682.893499999998,-5980.7367,-10663.630199999998
4,408.6875,1033.3957,1667.3478,0.0,0.0,0.0,-765.5599,-12945.0784,478.7699,5313.8847,-6931.1678,1741.1083,-726.1073,-4808.552700000001,-5916.1668,-10724.7195
5,414.5117,1018.4444,1703.1559,0.0,0.0,0.0,-750.3879,-12776.7723,482.4973,5275.1524,-7021.7245,1739.0577,-709.7823,-4633.398500000002,-5992.4491,-10625.847600000003
6,387.0551,1013.5239,1691.6028,0.0,0.0,0.0,-759.1097,-12656.5358,484.5607,5304.4292,-7165.6414,1735.8211,-712.7271,-4534.473800000002,-6142.5474,-10677.0212
7,389.4868,1044.7692,1694.0677,0.0,0.0,0.0,-777.1674,-12855.735,482.6592,5306.7204,-6925.4766,1725.3646,-701.8606,-4715.199100000002,-5901.9726,-10617.1717
8,387.6839,1037.6933,1693.7598,0.0,0.0,0.0,-751.7862,-12572.1227,488.9399,5295.2589,-7212.8545,1742.3321,-715.8231,-4420.573100000001,-6186.3454999999985,-10606.9186
9,389.2952,1005.3645,1680.604,0.0,0.0,0.0,-811.1008,-12734.3747,484.87800000000004,5279.6547,-7026.0926,1739.7334,-706.1367,-4705.6791,-5992.4959,-10698.175
10,407.8171,1026.4529,1704.2443,0.0,0.0,0.0,-803.1378,-12878.2087,485.1007,5286.5888,-6935.2066,1744.2505,-719.3091,-4771.1426999999985,-5910.2652,-10681.407899999998
11,395.4899,1061.2293,1711.7102,0.0,0.0,0.0,-802.8232,-12793.4473,480.9054,5285.2738,-6934.3081,1736.2888,-712.9422,-4661.6619,-5910.9614999999985,-10572.6234
12,370.3021,1063.5044,1688.1764,0.0,0.0,0.0,-796.5983,-12721.7336,495.9495,5278.3349,-7050.4836,1726.1443,-713.0395,-4622.0646,-6037.3788,-10659.4434
13,426.6359,1050.1182,1707.6188,0.0,0.0,0.0,-740.6157,-12954.8992,472.8818,5280.3078,-6868.0312,1732.5986,-724.6449,-4757.952400000001,-5860.0775,-10618.0299
14,388.2335,1044.7111,1682.026,0.0,0.0,0.0,-739.5985,-13372.5163,471.3252,5313.7827,-6523.8489,1717.0864,-704.4622,-5212.0363,-5511.2247,-10723.261
15,412.4756,1039.5553,1695.9945,0.0,0.0,0.0,-733.7959,-13039.7228,476.4445,5311.5735,-6862.6196,1723.6022,-711.4951,-4837.4753,-5850.5125,-10687.9878
16,418.2078,1005.1333,1724.7827,0.0,0.0,0.0,-778.1413,-12855.2802,477.9235,5321.1913,-7028.8546,1737.4559,-715.2711,-4686.182899999998,-6006.6698,-10692.852699999998
17,381.1405,997.4839999999999,1708.1024,0.0,0.0,0.0,-761.8436,-12859.2955,485.2182,5273.7234,-6912.013000000001,1729.2486,-715.8234,-4775.4706000000015,-5898.5878,-10674.0584
18,391.0385,1058.9915,1700.1018,0.0,0.0,0.0,-770.6862,-13154.9036,485.4931,5322.7852,-6738.9721,1740.4894,-729.7078,-4967.179699999999,-5728.1905000000015,-10695.3702
19,433.8025,1069.2609,1732.5353,0.0,0.0,0.0,-754.5798,-12812.7576,470.4267,5303.5905,-7089.0031,1726.1348,-717.7436,-4557.7215000000015,-6080.6119,-10638.3334
20,407.3337,1016.2582,1712.3882,0.0,0.0,0.0,-766.8705,-12848.1769,486.8977,5320.3079,-6994.3722,1745.3845,-721.5687,-4671.861700000001,-5970.5564,-10642.4181
21,393.593,976.5918,1691.4288,0.0,0.0,0.0,-740.7303,-12780.6488,480.8648,5342.7418,-7051.1074,1740.5933,-715.4246,-4636.158900000002,-6025.9387000000015,-10662.097600000003
22,402.9327,1017.6233,1685.8004,0.0,0.0,0.0,-722.3817,-13240.0076,455.8096,5327.6444,-6669.7073,1736.5818,-726.0312,-5072.5789,-5659.156700000001,-10731.735599999998
23,395.8909,1021.4824,1720.7553,0.0,0.0,0.0,-800.9998,-12953.4398,482.5713,5344.8541,-6904.2278,1741.7982,-721.6339,-4788.885600000001,-5884.063499999998,-10672.949100000002
24,388.4237,1027.7854,1695.3936,0.0,0.0,0.0,-703.5348,-13034.3356,495.9463,5313.879,-6928.5703,1747.5958,-724.2849,-4816.442400000001,-5905.2594,-10721.7018
25,401.7664,1059.0061,1683.9762,0.0,0.0,0.0,-773.544,-12676.1553,486.7046,5288.7902,-7122.689,1754.7919,-728.9278,-4529.455799999999,-6096.824900000001,-10626.280699999998
26,400.7869,1061.7143,1693.1635,0.0,0.0,0.0,-751.0472,-12715.7754,488.6105,5294.2763,-7133.6568,1761.7613,-736.6779,-4528.271099999999,-6108.573399999998,-10636.8445
27,409.1403,1085.0622,1689.0868,0.0,0.0,0.0,-721.6771,-12518.8785,490.0348,5283.6715,-7334.9042,1742.9038,-736.5268,-4283.56,-6328.5272,-10612.087199999998
28,379.3844,1006.308,1688.9887,0.0,0.0,0.0,-746.2834,-12831.3981,498.5011,5304.0137,-7028.0683,1748.2998,-730.0419999999999,-4700.485600000001,-6009.810500000001,-10710.2961
29,408.8595,1017.3455,1708.1772,0.0,0.0,0.0,-741.6964,-12791.2634,474.4583,5285.8421,-7023.9312,1744.7655,-723.8426,-4638.2772,-6003.0083,-10641.2855
30,390.9889,1008.1784,1696.7637,0.0,0.0,0.0,-759.0952,-13086.4287,483.111,5331.6295,-6748.8333,1748.0588,-733.5977,-4934.852399999999,-5734.372200000002,-10669.224599999998
31,385.2973,1008.9598,1677.6746,0.0,0.0,0.0,-759.3534,-13058.0203,471.5323,5275.4007,-6723.0216,1738.8498,-725.1896,-4998.508999999998,-5709.3614,-10707.870399999998
32,412.8355,1046.1,1692.0176,0.0,0.0,0.0,-765.0507,-13277.6463,489.5882,5306.2635,-6529.6412,1738.0418,-723.6105,-5095.892200000001,-5515.2099,-10611.102100000002
33,374.1819,997.8554,1695.5682,0.0,0.0,0.0,-758.0736,-12837.2084,491.2719,5336.564,-6983.8615,1735.7974,-721.6871,-4699.8406,-5969.7512,-10669.591799999998
34,385.7268,1053.6476,1713.1413,0.0,0.0,0.0,-714.9758,-13144.1246,465.7045,5330.8221,-6784.125,1729.9999,-712.3277,-4910.058099999998,-5766.4528,-10676.510899999996
35,382.0048,1026.1703,1711.0891,0.0,0.0,0.0,-715.0127,-13194.5273,490.9851,5327.869000000001,-6742.3745,1762.5929,-754.4965,-4971.4217,-5734.2781,-10705.6998
36,393.7297,1013.3462,1703.8657,0.0,0.0,0.0,-773.3822,-12883.7014,499.57199999999995,5355.2693,-6980.5254,1747.7139,-728.1399,-4691.3007,-5960.951400000001,-10652.2521
37,369.9086,1051.7169999999999,1685.5214,0.0,0.0,0.0,-753.4580000000001,-13044.4974,477.9776,5289.7461,-6798.5189,1727.5192,-714.3729,-4923.0846999999985,-5785.3726000000015,-10708.457299999998
38,386.3967,1068.363,1713.0799,0.0,0.0,0.0,-717.3919999999999,-12997.6468,468.6603,5308.0502,-6858.0362,1744.1418,-725.5813,-4770.4887,-5839.475699999999,-10609.9644
39,392.7706,1000.143,1695.6993,0.0,0.0,0.0,-739.0912,-12827.7411,485.8047,5309.1921,-7081.9758,1727.7979999999998,-720.3081,-4683.222599999997,-6074.4859000000015,-10757.708499999997
40,372.2942,1017.7501,1700.3013,0.0,0.0,0.0,-759.4865,-12940.5048,480.295,5254.9817,-6884.2912,1751.0781,-732.316,-4874.3690000000015,-5865.5291,-10739.8981
41,392.2489,1017.9202,1697.2543,0.0,0.0,0.0,-726.1611,-13310.856000000002,494.4409,5299.7612,-6610.568,1727.4153,-716.5698,-5135.3916,-5599.722500000002,-10735.1141
