,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,393.1162,1034.8747,1703.7431,0.0,0.0,0.0,-961.8875,-10302.5924,486.2943,5381.2519999999995,-7077.1539,1473.8339999999998,-735.7186,-2265.1996,-6339.0385000000015,-8604.2381
1,369.9794,1016.0039999999999,1720.9129999999998,0.0,0.0,0.0,-948.5074,-10512.8353,487.3928,5367.8018,-6906.0478,1476.9052,-745.9527,-2499.2517,-6175.0953,-8674.347000000002
2,387.6929,999.2787,1701.5981,0.0,0.0,0.0,-956.3703,-9955.3533,472.3877,5332.1931,-7390.6292,1489.9226,-749.0746,-2018.5731000000005,-6649.7812,-8668.3543
3,392.7209,1082.9851,1697.5126,0.0,0.0,0.0,-941.9655,-10167.646,476.17199999999997,5369.3031,-7237.0559,1483.3832,-755.821,-2090.9178,-6509.4937,-8600.4115
4,376.0371,1026.1217,1713.9282,0.0,0.0,0.0,-955.2338,-10315.2347,481.1349,5359.7419,-7051.0784,1481.3326,-749.9524,-2313.504700000001,-6319.698200000002,-8633.202900000002
5,371.1793,1036.6966,1708.9418,0.0,0.0,0.0,-944.8324,-10156.6618,480.2289,5393.5134,-7251.5838,1492.389,-756.4591,-2110.9342,-6515.6539,-8626.5881
6,393.0816,1002.1437,1677.5911,0.0,0.0,0.0,-954.0344,-10242.7753,475.7286,5366.4372,-7128.8417,1495.7249,-761.6411,-2281.8274999999985,-6394.7579,-8676.585399999998
7,400.6885,1020.8136,1691.1202,0.0,0.0,0.0,-925.4576,-10281.065,493.9078,5368.0369,-7166.6644,1487.9476,-761.6387,-2231.9556,-6440.3555,-8672.311099999999
8,387.0475,1014.7124,1684.3667,0.0,0.0,0.0,-970.1723,-10304.6888,471.5123,5387.6882,-7093.0503,1494.7988,-753.8411,-2329.534,-6352.0926,-8681.626599999998
9,408.8789,1021.475,1713.0019,0.0,0.0,0.0,-961.5344,-10376.6594,467.476,5389.4055,-6994.8561,1504.7591,-769.1804,-2337.9565,-6259.2774,-8597.233900000001
10,384.6543,995.0029,1691.6897,0.0,0.0,0.0,-952.7860000000001,-10551.8794,476.4527,5398.8381,-6896.0378,1486.7002,-749.5232,-2558.027700000001,-6158.8608,-8716.888500000001
11,373.2482,1057.7562,1704.6883,0.0,0.0,0.0,-962.1828,-10377.2657,464.2281,5364.2879,-6968.2588,1477.94,-741.5699,-2375.2397999999985,-6231.8887,-8607.128499999999
12,391.666,1052.8374,1687.3945,0.0,0.0,0.0,-954.4099,-10386.9569,462.4311,5425.1157,-7064.7903,1495.1815,-760.6385,-2321.9221,-6330.2473,-8652.1694
13,395.4569,1019.7283,1684.8481,0.0,0.0,0.0,-926.4075,-10571.8786,471.3646,5368.7709,-6852.2299,1495.8429999999998,-766.5272,-2558.1173,-6122.9141,-8681.0314
14,372.8722,1013.1593,1697.7832,0.0,0.0,0.0,-943.3679,-10710.406,476.2801,5412.9712,-6739.0465,1487.9381,-761.7643,-2680.707900000001,-6012.8727,-8693.580600000001
15,374.8285,1048.5683,1687.4559,0.0,0.0,0.0,-957.7457,-10402.5661,473.1312,5370.4313,-6944.2047,1490.2392,-751.7657,-2405.8966,-6205.7312,-8611.6278
16,404.1866,997.2206,1688.3585,0.0,0.0,0.0,-935.8485,-10361.3032,460.0083,5401.3276,-7065.8746,1496.8211,-768.1159,-2346.0501000000004,-6337.1694,-8683.2195
17,381.1929,1029.5102,1712.047,0.0,0.0,0.0,-943.2746,-10177.6684,473.2836,5399.6861,-7213.5313,1509.1345,-779.3392,-2125.223200000001,-6483.736,-8608.9592
18,385.4536,1069.3238,1703.1802,0.0,0.0,0.0,-888.2243,-10609.2765,467.6987,5381.2162,-6829.0296,1510.2779,-782.4719,-2490.6283000000008,-6101.223599999998,-8591.8519
19,382.3763,1083.8671,1704.7726,0.0,0.0,0.0,-959.1077,-10326.2961,480.0022,5390.3264,-7039.3264,1499.0088,-754.4968,-2244.0592000000006,-6294.8144,-8538.873600000003
20,401.2391,998.6328,1688.5473,0.0,0.0,0.0,-957.3948,-10093.4253,480.6704,5323.8285,-7211.8267,1506.6633,-764.4188,-2157.902000000001,-6469.5822,-8627.484199999999
21,375.6549,1031.6971,1701.2469,0.0,0.0,0.0,-952.5418,-10255.7868,489.4464,5369.0087,-7109.2683,1503.1101,-766.6489,-2241.2746,-6372.8071,-8614.0817
22,403.1734,1021.6792,1683.7752,0.0,0.0,0.0,-925.485,-10327.1265,478.6303,5383.4016,-7081.965999999999,1497.6952,-761.301,-2281.9518000000007,-6345.5718000000015,-8627.5236
23,401.4617,1017.5621,1698.3986,0.0,0.0,0.0,-953.5094,-10200.7392,472.4856,5390.7798,-7192.2376,1490.6644,-759.3221,-2173.5607999999993,-6460.895300000001,-8634.4561
24,405.7224,1022.0746,1677.6541,0.0,0.0,0.0,-951.8012,-10215.2733,463.4743,5358.5964,-7131.857,1502.3257,-759.9908,-2239.5527,-6389.5221,-8629.0748
25,397.0889,1051.6871,1703.0682,0.0,0.0,0.0,-928.2689,-10509.543,454.1391,5376.4805,-6901.8659,1509.0967,-772.1599,-2455.3480999999992,-6164.9290999999985,-8620.2772
26,360.6966,1027.7448,1693.0081,0.0,0.0,0.0,-936.9449,-10621.6446,479.6518,5406.8352,-6799.6759,1503.2944,-771.7095,-2590.6529999999993,-6068.090999999999,-8658.744
27,370.4576,1052.0866,1673.5429,0.0,0.0,0.0,-949.7959,-10159.2992,479.9414,5372.1757,-7244.0364,1498.9568,-771.1888,-2160.890900000001,-6516.2684,-8677.1593
28,375.1611,1016.1097,1695.3029,0.0,0.0,0.0,-912.3888,-10242.3588,474.3172,5370.1883,-7148.0499,1502.9211,-766.9974,-2223.6684,-6412.1262000000015,-8635.794600000001
29,365.5393,1003.7818,1693.2423,0.0,0.0,0.0,-951.93,-10254.791,472.1016,5353.8479,-7106.6535,1507.8209,-769.095,-2318.208099999999,-6367.927600000001,-8686.1357
30,375.3128,1015.5133,1680.7349,0.0,0.0,0.0,-946.4704,-10398.2769,458.86199999999997,5371.6423,-6984.6936,1493.2112,-764.5644,-2442.6820000000007,-6256.0468,-8698.728799999999
31,396.1619,1022.6836,1687.0771,0.0,0.0,0.0,-936.1379,-10786.1513,470.856,5371.5955,-6600.1129,1499.0419,-772.3419,-2773.9150999999993,-5873.4129,-8647.327999999998
32,400.8644,1057.1251,1701.6063,0.0,0.0,0.0,-945.7252,-10804.6087,461.32099999999997,5418.416,-6622.5952,1498.3709,-772.4218,-2711.0011000000004,-5896.6461,-8607.647200000001
33,370.7316,1054.9334,1689.0610000000001,0.0,0.0,0.0,-933.8155,-10686.7523,469.0883,5355.5605,-6716.7951,1497.9646,-764.1917,-2681.1929999999998,-5983.0222,-8664.2152
34,397.9834,1014.5935,1701.8539,0.0,0.0,0.0,-918.2147,-10755.1073,465.2768,5356.9344,-6660.1035,1491.0424,-762.7668,-2736.6800000000007,-5931.8279,-8668.5079
35,405.9045,1030.6753,1684.6354,0.0,0.0,0.0,-905.8211,-10548.8397,470.1439,5394.0555,-6883.6373,1486.2938,-767.8904,-2469.2462000000005,-6165.233900000001,-8634.4801
36,414.5742,1025.5568,1708.5829,0.0,0.0,0.0,-951.9561,-10517.6764,479.7214,5345.7832,-6865.4423,1477.3163,-747.115,-2495.414000000001,-6135.241,-8630.654999999999
