,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,390.7864,1073.883,1699.0855,0.0,0.0,0.0,-981.2509,-9116.3284,473.3219,5446.723000000001,-1687.6592,1077.0143,-663.6563,-1013.7795000000007,-1274.3012,-2288.0807000000004
1,382.1503,990.5518,1714.2356,0.0,0.0,0.0,-966.6154,-9062.8278,457.0062,5434.3483,-1751.8004,1095.1772,-673.7999,-1051.1509999999996,-1330.4231,-2381.5741
2,401.63300000000004,1014.791,1720.7695,0.0,0.0,0.0,-971.9898,-9058.0615,472.2423,5452.0484,-1707.6963,1089.3088,-668.2673,-968.5671000000003,-1286.6548,-2255.2219000000005
3,389.6961,1014.1886,1684.8529999999998,0.0,0.0,0.0,-976.5727,-9082.5978,474.2865,5399.0206,-1631.6486,1090.7688,-674.1521,-1097.1256999999996,-1215.0319,-2312.1575999999995
4,410.6725,1052.6685,1708.3837,0.0,0.0,0.0,-965.933,-9000.914,458.5858,5356.1175,-1717.5473,1086.0910000000001,-675.8965,-980.4190000000008,-1307.3528,-2287.771800000001
5,393.8651,1017.1341,1698.0302,0.0,0.0,0.0,-977.5762,-9020.5102,468.3489,5401.7097,-1727.6637,1087.8487,-673.1264,-1018.9984000000003,-1312.9414000000004,-2331.939800000001
6,366.8504,1040.7141,1676.4841,0.0,0.0,0.0,-956.576,-9124.8412,486.8681,5381.0017,-1649.7849,1079.9107,-656.3728,-1129.4988000000012,-1226.2470000000005,-2355.745800000001
7,369.2044,1029.0696,1684.0767,0.0,0.0,0.0,-973.5217,-9180.1889,475.7666,5376.4811,-1604.1739,1079.7737,-658.5777,-1219.1121999999996,-1182.9779,-2402.0900999999994
8,388.3935,991.7161,1683.2335,0.0,0.0,0.0,-978.2769,-9008.4439,473.4736,5389.3918,-1710.5381,1090.1451,-664.1941,-1060.5122999999994,-1284.5871000000004,-2345.099399999999
9,396.8755,1029.5542,1692.0419,0.0,0.0,0.0,-967.1325,-8979.617,476.9742,5373.3717,-1738.5577,1087.0644,-661.3542,-977.9320000000017,-1312.8475,-2290.779500000002
10,403.1921,996.9855,1685.5955,0.0,0.0,0.0,-980.7883,-8940.5745,478.5823,5341.161999999999,-1714.1928,1086.2989,-656.7319,-1015.8454000000003,-1284.6258,-2300.4712
11,388.9422,1030.506,1717.2179,0.0,0.0,0.0,-984.227,-9017.9892,482.0444,5444.1111,-1763.6447,1087.759,-671.9917,-939.3945999999997,-1347.8774,-2287.2719999999995
12,390.9918,1003.7255,1708.1928,0.0,0.0,0.0,-943.2975,-9018.369,491.8609,5406.1677,-1766.0027,1091.624,-669.9034,-960.7278000000006,-1344.2821,-2305.0099000000005
13,377.8681,1004.0361,1689.0033,0.0,0.0,0.0,-964.4219,-9141.8047,479.5758,5406.0913,-1632.0508,1086.195,-666.1289,-1149.6520000000012,-1211.9847,-2361.636700000001
14,375.5043,992.1264,1684.0408,0.0,0.0,0.0,-961.4918,-9015.6416,477.48199999999997,5384.9073,-1693.0079999999998,1092.4273,-665.8345,-1063.0726000000013,-1266.4152,-2329.487800000001
15,391.0636,1009.09,1707.2135,0.0,0.0,0.0,-967.6105,-9091.8683,482.0053,5399.823,-1676.7208,1077.6758,-650.6773,-1070.2833999999993,-1249.7223,-2320.0056999999993
16,403.0211,1011.5739,1679.6875,0.0,0.0,0.0,-968.4547,-9115.9709,476.0095,5436.2565,-1680.0461,1080.0997,-658.3355,-1077.8770999999997,-1258.2819,-2336.159
17,394.12699999999995,1049.5647,1707.5267,0.0,0.0,0.0,-964.3992,-9112.7457,464.58099999999996,5404.2586,-1649.1146,1086.4360000000001,-664.6798,-1057.0868999999993,-1227.3584,-2284.4452999999994
18,379.2801,1026.8277,1706.9306,0.0,0.0,0.0,-958.9357,-9245.2936,493.211,5444.6379,-1581.112,1085.6658,-665.6893,-1153.3420000000015,-1161.1355,-2314.4775000000022
19,392.6281,1025.2160000000001,1723.76,0.0,0.0,0.0,-991.1344,-9238.7339,487.6033,5444.4796,-1563.8018,1070.5836,-655.8232,-1156.1813000000002,-1149.0414,-2305.2227000000007
20,368.783,1009.1643,1689.3005,0.0,0.0,0.0,-963.456,-9151.4068,482.1209,5427.6584,-1650.9365,1088.0944,-663.1377,-1137.8357000000005,-1225.9798,-2363.815500000001
21,389.3884,1006.9543,1705.5124,0.0,0.0,0.0,-978.7694,-9187.9085,492.0898,5403.9296,-1593.6860000000001,1078.8523,-661.2245,-1168.8033999999998,-1176.0582,-2344.8615999999993
