,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,410.3091,1086.4389,1732.395,0.0,0.0,0.0,-1036.5417,-9021.8185,499.5306,5303.8933,-1634.8509,1077.312,-640.0904,-1025.7932999999994,-1197.6293,-2223.4225999999994
1,380.8729,1060.0555,1749.1865,0.0,0.0,0.0,-1014.6942,-9010.6521,500.7479,5290.7704,-1716.8414,1086.4407,-649.122,-1043.7130999999981,-1279.5227,-2323.2357999999977
2,403.0142,1042.7354,1729.308,0.0,0.0,0.0,-1003.5518,-9046.9834,488.9665,5255.4499,-1632.1682,1094.9693,-651.4307,-1131.0612,-1188.6296000000002,-2319.6908000000008
3,406.3434,1126.1244,1724.7844,0.0,0.0,0.0,-1017.0414,-9039.5431,490.0861,5292.1963,-1692.7661,1094.2747,-654.7744,-1017.0499000000017,-1253.2658,-2270.315700000002
4,384.6225,1065.8354,1745.1467,0.0,0.0,0.0,-1023.7567,-9044.997,496.4027,5282.1743,-1628.651,1088.359,-652.9315,-1094.5721000000003,-1193.2235,-2287.795600000001
5,381.5065,1085.1478,1741.5323,0.0,0.0,0.0,-1022.7797,-9026.3699,495.8065,5313.9161,-1653.2534,1096.3348,-657.2605,-1031.2403999999997,-1214.1790999999996,-2245.4194999999995
6,401.2522,1036.6808,1712.9515,0.0,0.0,0.0,-1007.8198,-9034.303,492.8773,5289.4891,-1714.8814,1107.174,-662.0986,-1108.8719,-1269.806,-2378.677900000001
7,412.0415,1062.181,1720.527,0.0,0.0,0.0,-991.0617,-9119.6649,507.2832,5292.1334,-1672.8689,1099.9967,-662.4038,-1116.5605000000003,-1235.276,-2351.836500000001
8,398.2037,1056.0716,1713.3643,0.0,0.0,0.0,-1033.3951,-9009.4277,484.2501,5311.5044,-1688.0579,1099.9825,-652.7041,-1079.4287000000004,-1240.7795,-2320.2082
9,420.8853,1069.485,1744.9646,0.0,0.0,0.0,-1012.3512,-9027.4753,480.6485,5313.0559,-1679.8553,1110.5524,-671.0060000000001,-1010.7871999999996,-1240.3089,-2251.0961
10,395.7339,1036.9951,1729.6684,0.0,0.0,0.0,-1026.2473,-9075.3339,489.9908,5323.4684,-1618.8804,1092.0634,-657.1949,-1125.7246000000002,-1184.0119,-2309.7365000000004
11,384.097,1096.8688,1729.7313,0.0,0.0,0.0,-1031.6709,-9054.3748,478.0478,5286.4659,-1604.1618,1095.6308,-655.2081,-1110.834899999999,-1163.7391000000002,-2274.573999999999
