,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,378.6652,1015.1521,1708.0352,0.0,0.0,0.0,-970.8912,-9038.4863,486.0574,5378.0138,-1628.7704,1054.9675,-651.0453,-1043.4538000000011,-1224.8482,-2268.302000000001
1,381.7274,1072.3532,1693.9704,0.0,0.0,0.0,-974.9438,-9051.4251,483.6906,5377.344,-1587.5842,1050.9181,-651.9805,-1017.2833,-1188.6466,-2205.9299
2,389.3752,988.3839999999999,1671.1243,0.0,0.0,0.0,-984.5251,-9073.0075,477.1723,5393.4582,-1566.4309,1056.5551,-649.7054,-1138.0185999999997,-1159.5812,-2297.5998
3,400.9755,1038.3777,1702.8039,0.0,0.0,0.0,-966.8322,-9215.5567,464.1078,5373.3944,-1491.0366,1054.6273,-646.8716,-1202.7295999999988,-1083.2808999999997,-2286.0104999999985
4,392.3472,1025.151,1687.5273,0.0,0.0,0.0,-999.2959,-9108.6369,468.1396,5382.7143,-1508.7424,1050.559,-644.5184,-1152.0534000000007,-1102.7018000000003,-2254.755200000001
5,407.0795,1035.0835,1690.5404,0.0,0.0,0.0,-979.8228,-9210.7616,477.6054,5358.8182,-1444.642,1056.5645,-652.2653,-1221.4573999999993,-1040.3428,-2261.800199999999
6,391.9923,999.2803,1692.3528,0.0,0.0,0.0,-996.0931,-9066.507,467.1543,5393.3462,-1591.5258,1056.1723,-648.9058,-1118.4741999999997,-1184.2593,-2302.7334999999994
7,397.9358,1035.8165,1710.1362,0.0,0.0,0.0,-983.2066,-9072.9071,471.6331,5360.745,-1574.1418,1059.9949,-652.9966,-1079.8471000000009,-1167.1435,-2246.990600000001
8,393.9081,1011.7215,1681.8001,0.0,0.0,0.0,-978.4060000000001,-9235.7778,491.9606,5398.6166,-1479.2678,1049.7794,-644.8681,-1236.1768999999995,-1074.3565000000003,-2310.5334
9,403.9263,994.4807,1708.358,0.0,0.0,0.0,-966.9628,-9087.0287,471.1713,5375.8663,-1547.9108,1055.7849,-656.5328,-1100.188900000001,-1148.6587,-2248.847600000001
10,392.1862,1010.0277,1702.0888,0.0,0.0,0.0,-956.2873,-9144.9905,471.12699999999995,5388.6791,-1552.1908,1069.9504,-666.1444,-1137.168999999999,-1148.3848000000005,-2285.5537999999992
11,367.6529,981.0782,1699.1529,0.0,0.0,0.0,-999.8878,-9147.5031,480.1397,5381.1193,-1491.2805,1061.951,-659.9033,-1238.2479000000005,-1089.2328,-2327.4807
12,390.8097,1050.5378,1711.4520000000002,0.0,0.0,0.0,-936.4975,-9110.2102,480.6085,5379.0438,-1592.7712,1068.8401,-667.3159,-1034.2558999999992,-1191.247,-2225.5028999999995
13,386.7556,1004.6785,1689.795,0.0,0.0,0.0,-939.7028,-9149.686,471.6958,5393.2847,-1533.5199,1062.6267,-666.1077,-1143.1791999999996,-1137.0009,-2280.1801
14,384.5633,1055.8513,1713.7094,0.0,0.0,0.0,-941.0934,-9155.3486,463.4003,5387.5681,-1569.6748,1080.2557,-681.7478,-1091.3495999999986,-1171.1669000000004,-2262.5164999999984
15,383.85,997.0977,1709.1749,0.0,0.0,0.0,-948.5777,-9122.2458,479.1621,5381.313,-1596.2582,1075.9795,-676.5889999999999,-1120.2258000000004,-1196.8677000000002,-2317.0935000000004
16,345.6018,1018.7497,1702.8623,0.0,0.0,0.0,-939.9395,-9185.5771,484.226,5398.8155,-1563.4575,1068.4053,-663.0233,-1175.261300000001,-1158.0755,-2333.336800000001
17,391.7808,1047.3628,1666.441,0.0,0.0,0.0,-996.9235,-9033.2815,470.7732,5357.6513,-1655.4947,1068.3723,-655.325,-1096.1958999999988,-1242.4474,-2338.6432999999993
18,403.9378,1062.7367,1659.0229,0.0,0.0,0.0,-976.1336,-8968.6173,461.0934,5361.9685,-1670.1811,1058.6766,-654.1028,-995.9916000000003,-1265.6073,-2261.5989
19,375.6115,1043.8462,1667.961,0.0,0.0,0.0,-974.4817,-9023.9268,482.1302,5374.2135,-1657.9863,1070.5316,-651.8207,-1054.6461,-1239.2754,-2293.9215
20,375.1729,994.0886,1688.7272,0.0,0.0,0.0,-952.3033,-9097.7869,488.4283,5387.0414,-1586.0971,1056.6212,-650.9433,-1116.6317999999992,-1180.4191999999996,-2297.050999999999
21,389.9045,1087.1535,1694.2505,0.0,0.0,0.0,-973.9588,-9078.783000000001,473.5945,5381.5723,-1595.3978,1060.3256,-661.5443,-1026.2664999999988,-1196.6165,-2222.882999999999
22,379.2001,1018.6425,1721.3022,0.0,0.0,0.0,-958.8175,-9203.6472,478.3788,5399.2292,-1483.8477,1057.1032,-654.5537,-1165.7118999999993,-1081.2982000000004,-2247.0100999999995
23,397.7672,1002.8513,1688.4924,0.0,0.0,0.0,-930.9060000000001,-9225.3295,474.9143,5414.9638,-1491.832,1063.567,-651.578,-1177.2464999999984,-1079.843,-2257.089499999999
24,405.2327,1057.4678,1698.1528,0.0,0.0,0.0,-941.8561,-9209.0886,464.1318,5387.6517,-1523.5047,1055.5345,-649.4878,-1138.3078999999989,-1117.458,-2255.765899999999
25,408.333,1023.6486,1700.7465,0.0,0.0,0.0,-980.4385,-9030.1597,459.2058,5362.2923,-1612.5355,1052.8223,-646.3561,-1056.3720000000003,-1206.0693,-2262.4413000000004
26,403.2855,1036.8824,1697.9159,0.0,0.0,0.0,-986.372,-9178.5252,470.4582,5412.8255,-1558.1396,1064.6443,-652.5593,-1143.5297,-1146.0546,-2289.5843
27,384.4568,1073.4436,1671.4216,0.0,0.0,0.0,-978.3593,-9093.8531,467.4199,5384.0723,-1600.4175,1057.982,-650.2743,-1091.3982000000003,-1192.7098,-2284.108000000001
28,393.2721,1004.9769,1667.2672,0.0,0.0,0.0,-935.5192,-9016.3519,466.7405,5405.2411,-1678.4406,1077.3498,-669.4661,-1014.3732999999993,-1270.5569,-2284.9301999999993
29,382.9467,1018.8614,1686.4638,0.0,0.0,0.0,-966.5754,-9023.2788,495.7769,5414.0204,-1680.8235,1068.6605,-662.3827,-991.785,-1274.5457,-2266.3307
30,381.1165,1019.8476,1681.5333,0.0,0.0,0.0,-956.206,-9146.4125,482.1484,5399.7291,-1599.6748,1062.088,-654.8188,-1138.2436000000007,-1192.4056,-2330.6492000000007
31,394.916,1008.2177,1706.7593,0.0,0.0,0.0,-972.9934,-9152.5339,478.9585,5418.8626,-1554.7407,1054.7737,-649.9718,-1117.8131999999996,-1149.9388,-2267.752
32,403.3014,1051.3885,1685.9799,0.0,0.0,0.0,-948.9442,-9110.604,462.3263,5357.2842,-1601.2683,1064.8144,-653.2219,-1099.2678999999996,-1189.6758,-2288.9437
33,397.9499,1036.006,1732.1364,0.0,0.0,0.0,-975.8509,-9060.7463,480.457,5355.7305,-1673.4279999999999,1063.5433,-658.6914,-1034.3174,-1268.5761000000002,-2302.8935
34,408.7797,1012.8073,1699.2307,0.0,0.0,0.0,-978.0133,-9113.3085,473.1765,5405.706999999999,-1562.164,1058.2939,-648.7545,-1091.6205999999993,-1152.6246,-2244.2451999999994
35,365.5629,1012.9411,1684.8528,0.0,0.0,0.0,-956.135,-9175.2411,485.5483,5422.5289,-1605.7756,1067.7533,-651.0481,-1159.9420999999993,-1189.0703999999996,-2349.012499999999
36,354.0646,1014.9814,1681.8533,0.0,0.0,0.0,-950.6784,-9015.0146,483.0455,5411.5959,-1721.108,1066.3358,-656.4376,-1020.1522999999997,-1311.2098,-2331.3621
37,412.9418,972.1536,1672.3628,0.0,0.0,0.0,-932.2057,-9101.2586,489.6644,5405.4130000000005,-1644.0097,1066.8319,-657.6783,-1080.9286999999997,-1234.8561000000002,-2315.7847999999994
