,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,410.3122,1086.4389,1732.395,0.0,0.0,0.0,-1018.6328,-9234.3061,499.5306,5303.8933,-1616.6889,1103.0018,-636.1184,-1220.3688999999995,-1149.8055,-2370.1743999999994
1,380.8785,1060.0555,1749.1865,0.0,0.0,0.0,-1004.2406,-9228.5416,500.7479,5290.7704,-1700.1403,1112.0927,-644.1363,-1251.1434,-1232.1839,-2483.3273
2,403.0211,1042.7354,1729.308,0.0,0.0,0.0,-1004.4843,-9279.9611,488.9665,5255.4499,-1619.0877,1113.17,-640.7281,-1364.9645,-1146.6458,-2511.6103000000007
3,406.3482,1126.1244,1724.7844,0.0,0.0,0.0,-1003.6002,-9254.3682,490.0861,5292.1963,-1670.3331,1114.5025,-648.9129,-1218.4289999999999,-1204.7435,-2423.1725
4,384.6302,1065.8354,1745.1467,0.0,0.0,0.0,-1000.7988,-9343.4755,496.4027,5282.1743,-1612.9544,1120.1205,-646.9232,-1370.0850000000012,-1139.7571,-2509.8421000000008
5,381.5158,1085.1478,1741.5323,0.0,0.0,0.0,-1003.1641,-9355.0023,495.8065,5313.9161,-1617.0621,1129.7973,-651.339,-1340.2479000000005,-1138.6038000000005,-2478.851700000001
6,401.2595,1036.6808,1712.9515,0.0,0.0,0.0,-981.8163,-9247.3847,492.8773,5289.4891,-1714.4111,1126.3811,-659.2544,-1295.9427999999998,-1247.2844,-2543.2272000000007
7,412.0489,1062.181,1720.527,0.0,0.0,0.0,-979.2227,-9252.767,507.2832,5292.1334,-1725.7363,1130.6997,-663.2408,-1237.8162000000002,-1258.2774000000004,-2496.0936
8,398.2098,1056.0716,1713.3643,0.0,0.0,0.0,-1010.4889,-9327.529,484.2501,5311.5044,-1673.9538,1133.3788,-648.8628,-1374.6176999999998,-1189.4378000000004,-2564.0555
9,420.8914,1069.485,1744.9646,0.0,0.0,0.0,-1005.9237,-9300.6409,480.6485,5313.0559,-1701.3912,1139.167,-661.9103,-1277.5191999999995,-1224.1345,-2501.6537
10,395.7455,1036.9951,1729.6684,0.0,0.0,0.0,-1002.8453,-9412.26,489.9908,5323.4684,-1622.9663,1132.2921,-657.779,-1439.2371000000005,-1148.4532000000004,-2587.6903
11,384.1079,1096.8688,1729.7313,0.0,0.0,0.0,-1009.9808,-9388.7271,478.0478,5286.4659,-1625.9511,1136.3509,-652.9089,-1423.4862000000005,-1142.5091000000002,-2565.9953000000005
12,406.3775,1099.0971,1716.5835,0.0,0.0,0.0,-994.1298,-9494.4723,477.2601,5347.5536,-1575.7966,1127.6143,-654.7044,-1441.7302999999995,-1102.8867,-2544.6169999999993
13,408.7799,1067.4707,1711.9931,0.0,0.0,0.0,-951.5626,-9485.7591,485.4951,5292.6407,-1605.539,1147.9507,-668.5922,-1470.9421999999995,-1126.1805,-2597.122699999999
14,384.585,1049.3348,1731.0171,0.0,0.0,0.0,-994.5834,-9499.4115,492.0006,5337.3861,-1547.8645,1136.7761,-658.2706,-1499.6713,-1069.359,-2569.0302999999994
15,384.3932,1094.1224,1717.6711,0.0,0.0,0.0,-996.4864,-9449.4002,487.7228,5291.3988,-1528.3716,1125.1999,-650.3679,-1470.5783,-1053.5395999999996,-2524.1179
16,416.8111,1039.8786,1715.5485,0.0,0.0,0.0,-981.0991,-9355.1444,473.5591,5324.0386,-1654.0866,1140.9766,-663.7878,-1366.4075999999984,-1176.8978000000004,-2543.3053999999993
17,394.3572,1061.5603,1743.6028,0.0,0.0,0.0,-984.2263,-9216.7281,488.9535,5323.4153,-1738.3503,1142.1248,-671.1408,-1189.0653000000011,-1267.3663,-2456.431600000001
18,395.3997,1115.509,1727.7837,0.0,0.0,0.0,-945.0941,-9447.1831,482.7842,5306.6943,-1590.8923,1142.8194,-674.2756,-1364.1063000000004,-1122.3485,-2486.4548000000004
19,391.0695,1127.3167,1733.4519,0.0,0.0,0.0,-1015.3639999999999,-9330.6079,494.5704,5310.4092,-1592.9076,1128.2333,-648.3296,-1289.1542000000018,-1113.0039,-2402.158100000001
20,409.7804,1042.1665,1714.4431,0.0,0.0,0.0,-987.6735,-9307.8586,496.3526,5246.5525,-1612.2569,1139.4363,-654.0593,-1386.2369999999994,-1126.8799,-2513.1168999999995
21,385.7982,1076.6643,1731.3423,0.0,0.0,0.0,-984.2518,-9334.3347,503.5087,5290.8601,-1678.3962,1140.8207,-658.1086,-1330.4128999999996,-1195.6841,-2526.097
22,416.5138,1066.802,1711.3268,0.0,0.0,0.0,-951.8473,-9428.201,492.2736,5305.736,-1602.2549,1124.9352,-654.9031,-1387.396099999999,-1132.2228,-2519.618899999999
23,416.0265,1053.4023,1729.3091,0.0,0.0,0.0,-989.3296,-9279.8097,487.3133,5314.725,-1731.4386,1130.3785,-656.6163,-1268.3630999999996,-1257.6763999999996,-2526.0394999999994
24,423.0614,1065.8327,1709.855,0.0,0.0,0.0,-1005.9022,-9223.5301,477.9321,5278.215999999999,-1708.7056,1133.5395,-650.1296,-1274.5350999999991,-1225.2957,-2499.8307999999993
25,405.841,1091.4166,1731.6325,0.0,0.0,0.0,-964.3453,-9208.8033,468.6974,5300.5882,-1741.3863,1139.6017,-666.2507,-1174.9728999999998,-1268.0353,-2443.0082
26,380.1021,1070.7548,1722.7541,0.0,0.0,0.0,-1000.9717,-9178.9185,491.2441,5329.4512,-1703.5179,1133.0906,-666.2241,-1185.5838999999996,-1236.6514000000002,-2422.2352999999994
27,383.8502,1095.4962,1699.7329,0.0,0.0,0.0,-983.7213,-9330.1698,492.4566,5296.6039,-1668.4015,1133.9175,-661.1068,-1345.7513,-1195.5908,-2541.3421
28,389.3086,1056.5931,1725.8608,0.0,0.0,0.0,-956.653,-9336.0091,486.2003,5294.6571,-1678.5246,1134.768,-656.6582,-1340.042199999999,-1200.4148,-2540.4569999999985
29,377.2348,1049.132,1723.7372,0.0,0.0,0.0,-982.7323,-9421.5949,486.2206,5279.3916,-1616.3956,1145.8434,-663.0326,-1488.6110000000006,-1133.5848,-2622.1958000000004
30,386.6606,1053.5702,1704.8523,0.0,0.0,0.0,-961.0478,-9425.795,472.7454,5294.4409,-1633.5943,1135.5712,-657.84,-1474.5734000000011,-1155.8631,-2630.4365000000007
31,409.6286,1059.5419,1721.2199,0.0,0.0,0.0,-991.3689999999999,-9179.7544,486.76300000000003,5290.4107,-1720.1789,1127.8931,-663.8803,-1203.5593,-1256.1661,-2459.7254
32,413.7561,1106.5245,1734.1301,0.0,0.0,0.0,-996.2824,-9502.8252,475.2586,5339.7793,-1528.2039,1136.0154,-663.2956,-1429.6589999999987,-1055.4841,-2485.143099999999
33,379.2256,1091.5018,1725.4786,0.0,0.0,0.0,-961.9069,-9494.6535,485.9258,5276.9615,-1557.7146,1135.5287,-662.1696,-1497.4670999999996,-1084.3555,-2581.8226
34,407.4297,1046.8868,1734.1011,0.0,0.0,0.0,-964.9541,-9263.569,479.4526,5280.4441,-1750.9419,1136.2233,-662.4769,-1280.2088000000006,-1277.1954999999996,-2557.4043
35,426.6601,1073.0743,1718.943,0.0,0.0,0.0,-937.1583,-9455.2934,486.5881,5316.2565,-1602.9371,1140.5325,-669.6912,-1370.9297000000004,-1132.0958,-2503.025500000001
36,424.5551,1063.0598,1743.2594,0.0,0.0,0.0,-992.8347,-9246.4667,493.7504,5272.717,-1749.0509,1124.4391,-645.7405,-1241.9597000000012,-1270.3523,-2512.312000000001
37,402.5409,1082.2973,1700.7415,0.0,0.0,0.0,-988.7779,-9114.6159,478.4621,5245.2249,-1801.8305,1130.4021,-661.1882,-1194.1271000000004,-1332.6166,-2526.743700000001
38,417.8212,1094.7878,1724.9088,0.0,0.0,0.0,-997.1474,-9202.0857,478.4357,5285.158,-1690.7753,1123.9855,-655.8847,-1198.1215999999995,-1222.6745,-2420.7961
39,398.5449,1100.7234,1714.5966,0.0,0.0,0.0,-997.5024,-9132.5592,482.2277,5210.6912,-1761.3302,1131.1817,-652.867,-1223.277799999998,-1283.0155,-2506.2932999999985
40,405.2468,1105.6759,1708.3802,0.0,0.0,0.0,-961.2394,-9298.1364,517.1889,5270.1013,-1670.7120000000002,1121.9396,-662.9810000000001,-1252.7826999999988,-1211.7534,-2464.536099999999
41,390.5349,1081.2084,1707.465,0.0,0.0,0.0,-989.0891,-9190.5993,486.4995,5279.6946,-1771.4724,1129.098,-655.9889,-1234.286,-1298.3633,-2532.6493
42,429.1914,1082.1935,1725.3988,0.0,0.0,0.0,-973.8088,-9255.1889,480.2175,5249.1465,-1617.8392,1129.1547,-654.6699,-1262.8499999999995,-1143.3543999999995,-2406.204399999999
43,410.9494,1089.5189,1686.4564,0.0,0.0,0.0,-982.2977,-9420.2189,489.7397,5251.7082,-1604.1,1134.2246,-650.4803,-1474.1439999999993,-1120.3557,-2594.4996999999994
44,391.811,1091.8812,1694.432,0.0,0.0,0.0,-993.6522,-9406.3335,491.3786,5264.0618,-1567.8713,1117.3564,-648.3851,-1466.4211000000007,-1098.9,-2565.3211
45,380.0422,1053.7343,1709.4138,0.0,0.0,0.0,-981.7468,-9467.9711,507.69300000000004,5299.3601,-1621.6911,1132.8402,-645.4906,-1499.4745000000007,-1134.3415,-2633.8160000000007
46,413.6083,1075.1868,1710.0245,0.0,0.0,0.0,-995.0859,-9375.2886,474.3181,5296.4062,-1646.1378,1134.7160000000001,-648.3983,-1400.8305999999993,-1159.8201,-2560.6506999999992
47,407.1852,1051.0153,1720.9623,0.0,0.0,0.0,-969.9134,-9245.3736,493.4323,5308.1937,-1764.6885,1139.1433,-658.2771,-1234.4982,-1283.8223,-2518.3205000000007
