Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,412.3681,1067.8233,830.1367,0.0,0.0,0.0,-1001.3535,-8901.5423,483.3986,5050.8034,-1693.0386,1068.9298,-655.8224,-2058.3656999999994,-1279.9312000000002,-3338.2968999999994
1,400.3285,1034.9179,793.2003,0.0,0.0,0.0,-1015.3279,-8948.991,489.0407,5088.5339,-1638.8487,1060.2217,-649.016,-2158.2976,-1227.643,-3385.9406
2,388.2842,1043.3621,823.3524,0.0,0.0,0.0,-1013.8633,-9016.3813,479.3058,5082.7576,-1610.3751,1062.7212,-653.0823,-2213.182499999999,-1200.7362,-3413.9186999999993
3,389.316,1013.7201,802.0776,0.0,0.0,0.0,-1004.3136,-8924.6195,481.2149,5062.9627,-1660.2174,1077.0143,-662.208,-2179.6418000000003,-1245.4110999999998,-3425.0529
4,409.4627,1038.9055,799.3663,0.0,0.0,0.0,-1038.9217,-8854.372,467.7985,5060.8043,-1683.0247,1065.8869,-652.2901,-2116.9564,-1269.4279000000001,-3386.3843
5,369.561,1056.716,783.1769,0.0,0.0,0.0,-1004.0015,-8990.677,489.5174,5067.5166,-1594.2805,1066.2413,-649.6661,-2228.1906,-1177.7053,-3405.8959
6,405.0955,1081.9085,778.8933,0.0,0.0,0.0,-1031.8864,-8846.5876,498.3021,5074.3531,-1726.3514,1066.7469,-656.8635,-2039.9215000000013,-1316.4679999999998,-3356.389500000001
7,427.0761,1076.835,786.2769,0.0,0.0,0.0,-1028.7752,-8801.3269,487.2016,5071.3305,-1759.2663,1066.6382,-659.8925,-1981.3819999999996,-1352.5205999999998,-3333.9025999999994
8,403.276,1111.2472,822.1078,0.0,0.0,0.0,-1013.1914,-8846.1612,498.6519,5044.794,-1733.7995,1063.2031,-653.9016,-1979.275700000001,-1324.498,-3303.7737000000016
9,411.6515,1081.6382,792.4181,0.0,0.0,0.0,-1023.525,-8912.9054,486.7321,5079.3382,-1695.0854,1069.1566,-655.9851,-2084.652299999999,-1281.9139,-3366.5661999999984
10,387.3155,1091.6603,782.5811,0.0,0.0,0.0,-1011.7082,-8926.185,467.5377,5070.1959,-1694.0437,1058.4073,-648.5151,-2138.6026999999995,-1284.1515,-3422.7542
11,397.8883,1045.4535,781.4556,0.0,0.0,0.0,-1022.7307,-8758.6116,473.2817,5039.5825,-1803.6489,1066.0618,-656.9751,-2043.680699999999,-1394.5621999999998,-3438.2428999999993
12,373.2072,1043.5715,810.1176,0.0,0.0,0.0,-1016.1482,-8860.7541,491.6131,5076.3078,-1727.5892,1067.4887,-662.7626,-2082.0851000000002,-1322.8630999999998,-3404.9482
13,425.8726,1079.3484,794.782,0.0,0.0,0.0,-985.9665,-8843.3863,478.8334,5066.3563,-1781.0955,1082.3394,-667.509,-1984.1601,-1366.2650999999998,-3350.4251999999997
14,402.8915,1069.4097,807.8482,0.0,0.0,0.0,-1019.6416,-8709.1456,474.5613,5012.7515,-1827.6974,1083.0009,-671.8799,-1961.3249999999998,-1416.5764,-3377.9013999999997
15,390.9994,1040.0431,817.095,0.0,0.0,0.0,-1012.5728,-8782.8237,482.1402,5032.0898,-1764.4619,1071.6845,-662.5168,-2033.0290000000014,-1355.2941999999998,-3388.323200000001
16,403.6001,1001.5658,806.3355,0.0,0.0,0.0,-1015.2683,-8833.0822,479.3498,5102.4868,-1778.7508,1071.4624,-657.3806,-2055.0125000000007,-1364.669,-3419.6815000000006
17,391.1911,1026.2229,774.7623,0.0,0.0,0.0,-1023.2027,-8816.8595,467.8921,5086.7053,-1775.0732,1068.2069,-655.4813,-2093.2885000000006,-1362.3476,-3455.6361
18,401.3154,1045.2912,773.1468,0.0,0.0,0.0,-1022.9714,-8799.5227,479.2965,5069.7325,-1757.3757,1072.2373,-661.3215,-2053.7117,-1346.4599,-3400.1715999999997
19,399.1834,1059.6608,801.8269,0.0,0.0,0.0,-1014.4029,-8763.7834,469.9245,5049.5949,-1805.7934,1080.5344,-671.6557,-1997.9957999999997,-1396.9147,-3394.9105
20,401.1518,1072.5616,795.8152,0.0,0.0,0.0,-991.9634,-8710.2451,484.8775,5009.5581,-1818.1237,1083.6057,-673.6128,-1938.2443000000003,-1408.1308,-3346.3751
21,387.1602,1071.4561,819.153,0.0,0.0,0.0,-1028.3284,-8937.6344,478.6632,5074.154,-1629.9669,1068.4573,-657.9873,-2135.376300000001,-1219.4968999999999,-3354.873200000001
22,381.0012,1059.2918,793.4996,0.0,0.0,0.0,-995.2101,-8744.6577,481.5977,5069.3787,-1813.5434,1084.201,-674.5631,-1955.0987999999998,-1403.9054999999998,-3359.0042999999996
