Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,377.7414,1052.0267,781.2841,0.0,0.0,0.0,-944.8577,-9217.3834,469.8339,5349.6411,-1809.3512,1078.772,-652.8295,-2131.7139000000016,-1383.4087000000002,-3515.1226000000015
1,400.0702,1012.066,770.0612,0.0,0.0,0.0,-938.9843,-9219.6333,478.5433,5354.0319,-1832.2154,1079.665,-667.5255,-2143.8449999999993,-1420.0759,-3563.920899999999
2,383.9481,1047.5711,779.7241,0.0,0.0,0.0,-939.0909,-9120.8168,467.264,5393.9005,-1968.5578,1087.3621,-660.7101,-1987.4999000000007,-1541.9058,-3529.405700000001
3,406.5628,1019.1386,763.9538,0.0,0.0,0.0,-949.457,-9132.8159,463.91,5360.5722,-1924.409,1086.1997,-659.8149,-2068.1354999999994,-1498.0242000000003,-3566.1596999999997
4,395.4393,1008.4652,770.762,0.0,0.0,0.0,-962.9104,-9186.5671,462.9333,5357.3918,-1857.6136,1085.6563,-664.005,-2154.4858999999997,-1435.9622999999997,-3590.4481999999994
5,381.3411,1028.9677,767.8859,0.0,0.0,0.0,-961.2646,-9101.9099,467.0436,5345.0859,-1910.4529,1081.8952,-659.5231,-2072.850300000001,-1488.0808000000002,-3560.931100000001
6,382.6403,1021.9545,778.5223,0.0,0.0,0.0,-955.7018,-9226.1882,459.7568,5383.4459,-1829.0548,1069.7378,-650.7319,-2155.570200000001,-1410.0488999999998,-3565.619100000001
7,401.6414,1067.8053,756.1735,0.0,0.0,0.0,-952.4928,-9088.0259,471.139,5373.5065,-1937.6476,1086.6769,-667.7736,-1970.2530000000006,-1518.7443,-3488.997300000001
8,389.7637,991.7003,776.4424,0.0,0.0,0.0,-948.2238,-9065.6445,457.0703,5380.8687,-1967.1779,1082.9253,-660.5652,-2018.0229,-1544.8177999999998,-3562.8406999999997
9,369.52,1023.3738,815.5222,0.0,0.0,0.0,-936.8035,-9096.791,458.749,5340.337,-1916.7874,1088.1417,-662.2939,-2026.0924999999997,-1490.9396000000002,-3517.0321
