Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,13.4275,38.9197,40.6286,0.0,0.0,0.0,-5.8938,28.3712,12.1374,-75.9084,-18.1621,49.0339,-45.8808,51.682199999999995,-15.008999999999997,36.6732
1,11.3819,32.8479,42.3561,0.0,0.0,0.0,-5.06,30.1736,12.1011,-76.5718,-18.4851,49.0149,-45.7237,47.22880000000001,-15.193900000000003,32.0349
2,9.2011,41.7867,41.0512,0.0,0.0,0.0,-6.5377,30.6826,13.4897,-78.1826,-18.1709,48.2117,-44.778,51.49100000000003,-14.737199999999998,36.753800000000034
3,13.0024,45.3751,44.0522,0.0,0.0,0.0,-6.2183,30.1437,11.3546,-76.9891,-18.53,49.1189,-45.4368,60.720600000000005,-14.847900000000003,45.8727
4,12.4735,38.5643,41.3731,0.0,0.0,0.0,-5.0345,32.8543,10.3299,-78.6695,-19.3804,48.7409,-45.5136,51.89110000000002,-16.153099999999995,35.73800000000003
5,13.713,44.3438,42.2626,0.0,0.0,0.0,-6.9661,29.7454,10.4875,-78.2302,-17.6277,48.9016,-45.3186,55.35600000000002,-14.044700000000002,41.31130000000002
6,11.7879,43.9763,38.7734,0.0,0.0,0.0,-6.3403,33.7642,13.1922,-79.5633,-19.4591,48.1644,-45.217,55.59040000000002,-16.511699999999998,39.07870000000001
7,18.3993,41.9261,39.6115,0.0,0.0,0.0,-3.4255,31.6317,10.9715,-77.6525,-19.0488,49.3315,-46.4183,61.46209999999999,-16.135600000000004,45.326499999999996
8,7.6679,37.3541,37.9944,0.0,0.0,0.0,-2.3929,29.1945,11.4745,-76.0562,-18.5963,48.3865,-44.9679,45.236300000000014,-15.177700000000002,30.058600000000013
9,11.4245,43.7047,45.393,0.0,0.0,0.0,-6.3345,29.8485,14.409,-77.2927,-18.2471,48.6984,-45.2182,61.1525,-14.766900000000003,46.385600000000004
10,11.1331,48.3766,39.0669,0.0,0.0,0.0,-5.1966,34.3469,13.2292,-80.072,-19.4164,47.6589,-44.428,60.88409999999999,-16.185499999999994,44.6986
11,10.3564,36.9341,40.046,0.0,0.0,0.0,-5.4147,29.2552,12.9863,-75.4035,-18.3803,48.6322,-45.379,48.75980000000001,-15.127099999999999,33.63270000000002
12,11.4627,49.0511,32.6133,0.0,0.0,0.0,-2.5709,28.6947,11.6955,-74.0068,-19.2062,47.7534,-45.338,56.93960000000001,-16.7908,40.148800000000016
13,18.3383,36.6387,37.9595,0.0,0.0,0.0,-2.3731,32.0698,13.4172,-78.5711,-18.6439,48.6842,-45.6249,57.479299999999995,-15.584599999999998,41.8947
14,19.5187,44.2685,33.2467,0.0,0.0,0.0,-5.9193,32.6402,10.62,-79.0888,-19.5328,48.911,-45.0091,55.28599999999999,-15.630899999999997,39.6551
15,10.0819,45.2621,29.0275,0.0,0.0,0.0,-3.0897,29.4515,10.6924,-74.2629,-20.3703,47.673,-45.1677,47.162800000000004,-17.865000000000002,29.297800000000002
16,7.8992,39.018,42.4532,0.0,0.0,0.0,-6.3068,31.6354,12.93,-78.1429,-18.7106,48.481,-44.9497,49.48610000000002,-15.179299999999998,34.30680000000002
17,11.03,36.5219,41.4721,0.0,0.0,0.0,-5.975,29.1433,11.1982,-75.0049,-18.9698,48.3629,-45.5845,48.3856,-16.191399999999994,32.1942
