Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-3.019806626980426e-14,-8.526512829121202e-14,-1.4210854715202004e-14,0.0,0.0,0.0,-24.430800000000016,-43.73130000000015,0.0,-2.8421709430404007e-13,64.93210000000008,-34.90139999999998,48.50180000000002,-68.16210000000046,78.53250000000011,10.370399999999648
1,-9.999999995535802e-05,-3.552713678800501e-14,-3.907985046680551e-14,0.0,0.0,0.0,-32.59509999999995,-32.81580000000021,8.881784197001252e-15,2.8421709430404007e-13,56.37110000000001,-34.4667,47.57150000000006,-65.41099999999958,69.47590000000007,4.06490000000025
2,0.0,0.00010000000000331966,-3.552713678800501e-14,0.0,0.0,0.0,-30.484200000000072,-36.54549999999993,9.99999999766743e-05,-2.8421709430404007e-13,61.89429999999997,-34.42889999999998,48.01820000000002,-67.02950000000058,75.48360000000002,8.454099999998789
3,-2.4868995751603507e-14,3.552713678800501e-15,0.00010000000001753051,0.0,0.0,0.0,-29.32390000000001,-33.19559999999893,-2.3092638912203256e-14,-9.999999974752427e-05,59.36609999999999,-32.88379999999999,47.61380000000002,-62.51949999999849,74.09610000000013,11.576600000001207
4,8.881784197001252e-15,7.105427357601002e-14,3.552713678800501e-14,0.0,0.0,0.0,-25.96690000000007,-39.630400000000265,1.2434497875801753e-14,0.0,65.18919999999987,-34.769099999999945,50.40980000000003,-65.59730000000101,80.82990000000007,15.23259999999948
5,0.00010000000003707044,-0.00010000000007792664,0.00010000000004950493,0.0,0.0,0.0,-26.332499999999968,-39.239800000000386,2.842170943040401e-14,-2.8421709430404007e-13,55.64599999999993,-33.488499999999895,47.5326,-65.57220000000078,69.69010000000003,4.117899999999253
6,7.105427357601002e-15,6.750155989720952e-14,-9.947598300641403e-14,0.0,0.0,0.0,-29.317300000000028,-25.659000000000503,-1.0658141036401503e-14,3.410605131648481e-13,52.457999999999984,-32.349899999999934,44.315899999999914,-54.976300000001686,64.42399999999985,9.447699999998179
7,-9.999999999354969e-05,1.0658141036401503e-14,9.999999998555609e-05,0.0,0.0,0.0,-38.86420000000007,-29.930999999999145,5.329070518200751e-15,0.00010000000020227162,55.81650000000005,-34.82569999999988,51.10999999999999,-68.79509999999789,72.10080000000005,3.3057000000019343
8,3.552713678800501e-15,7.105427357601002e-14,3.907985046680551e-14,0.0,0.0,0.0,-29.011899999999997,-23.076399999999637,0.00010000000002285958,-4.547473508864641e-13,46.6911,-33.62559999999992,47.61280000000004,-52.08819999999983,60.678300000000235,8.590100000000177
9,0.00010000000003262954,1.6342482922482304e-13,1.0658141036401503e-14,0.0,0.0,0.0,-29.782400000000003,-23.980999999999852,-0.00010000000001753051,3.979039320256561e-13,47.299900000000086,-32.58129999999986,47.06690000000005,-53.76339999999857,61.785500000000276,8.022100000001274
