Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,401.0616,1065.9596,800.738,0.0,0.0,0.0,-1011.647,-9190.4399,474.835,5331.1911,-1775.4845,1075.8519,-636.2363,-2128.3016,-1335.8689000000002,-3464.1704999999997
1,384.2158,1035.1148,795.4517,0.0,0.0,0.0,-994.9562,-9162.9286,460.6049,5336.3674,-1828.4243,1075.5684,-636.5504,-2146.1301999999987,-1389.4062999999996,-3535.5364999999983
2,386.4343,1061.093,798.9454,0.0,0.0,0.0,-1030.8487,-9240.0837,466.7814,5328.6813,-1735.8566,1073.5367,-636.4604,-2228.9969999999994,-1298.7803,-3527.7772999999993
3,388.3937,1054.0631,811.5882,0.0,0.0,0.0,-994.3365,-9194.2446,491.0957,5399.5959,-1835.1166,1083.9412,-648.0031,-2043.8444999999992,-1399.1785,-3443.0229999999992
4,397.3439,1065.7773,781.1804,0.0,0.0,0.0,-985.2728,-9225.9878,464.5426,5339.4196,-1758.8901,1096.1695,-652.1526,-2162.996800000001,-1314.8732,-3477.870000000001
5,411.7902,1047.5346,806.2158,0.0,0.0,0.0,-995.3056,-9264.4358,468.5546,5338.5052,-1713.6174,1080.8794,-642.6064,-2187.1409999999996,-1275.3444,-3462.4854
6,376.6481,1119.8119,783.161,0.0,0.0,0.0,-970.7982,-9334.625,478.4357,5338.8751,-1663.7611,1079.254,-644.1005,-2208.4914,-1228.6076,-3437.0989999999997
7,435.4746,1053.7855,793.8408,0.0,0.0,0.0,-977.5101,-9199.1767,471.6743,5305.5732,-1765.7969,1092.1863,-654.7109,-2116.3384000000005,-1328.3215,-3444.6599000000006
8,432.9144,1020.2587,795.0271,0.0,0.0,0.0,-975.5061,-9220.5678,480.3119,5342.9093,-1771.2437,1086.7951,-647.4616,-2124.6525,-1331.9101999999998,-3456.5627
9,400.6314,1081.1361,787.7058,0.0,0.0,0.0,-1005.9182,-9092.8903,471.9993,5331.3343,-1858.8791,1093.0699,-658.6981,-2026.0015999999987,-1424.5073000000002,-3450.508899999999
10,395.3252,1032.3069,773.7883,0.0,0.0,0.0,-998.6958,-9102.4281,471.495,5324.5819,-1868.4873,1088.9922,-652.2964,-2103.6265999999996,-1431.7915,-3535.4181
11,378.6948,995.5248,774.1908,0.0,0.0,0.0,-984.6631,-9125.7532,473.2327,5321.1139,-1822.3141,1093.9015,-659.9597,-2167.6592999999993,-1388.3723,-3556.0315999999993
12,392.6097,1030.5137,774.4179,0.0,0.0,0.0,-965.0323,-9169.2917,469.721,5332.9327,-1827.4068,1094.2275,-662.345,-2134.129,-1395.5243,-3529.6533
13,391.5374,1069.5012,757.8201,0.0,0.0,0.0,-981.028,-9117.9608,486.9452,5329.4908,-1859.0145,1097.0389,-656.9102,-2063.6941000000015,-1418.8858,-3482.5799000000015
14,376.6936,1069.3351,802.4177,0.0,0.0,0.0,-957.3912,-9086.0347,487.4466,5350.4458,-1921.9561,1103.3893,-673.0254,-1957.0870999999997,-1491.5922,-3448.6793000000002
