,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,17.0234,32.6851,29.3938,0.0,0.0,0.0,-4.1772,29.410999999999998,8.7372,-86.9086,-20.1451,41.6061,-39.6954,26.1647,-18.2344,7.9302999999999955
1,14.3716,37.7769,23.8041,0.0,0.0,0.0,-2.146,28.5714,7.5923,-85.3076,-20.6667,41.6061,-39.6042,24.66269999999999,-18.6648,5.997899999999987
2,13.1731,27.7931,25.9545,0.0,0.0,0.0,-3.4891,28.8786,9.6409,-88.1438,-20.0473,41.3982,-39.1888,13.807299999999998,-17.837899999999994,-4.0306
3,9.3226,35.2934,33.7548,0.0,0.0,0.0,-3.6418,28.8583,9.3761,-89.6914,-18.293,41.2281,-39.4311,23.27199999999999,-16.496000000000002,6.775999999999988
4,12.8999,38.8075,28.264,0.0,0.0,0.0,-3.8562,33.5444,9.4927,-90.0089,-23.609,40.8265,-39.7254,29.14340000000001,-22.5079,6.635500000000015
5,11.7824,38.5844,24.4941,0.0,0.0,0.0,-3.1839,30.3171,6.4756,-87.3915,-22.28,41.6014,-39.4074,21.078200000000013,-20.086000000000006,0.9922000000000041
6,14.411,34.6327,22.1145,0.0,0.0,0.0,-4.7042,28.1467,7.925,-86.8098,-19.2627,41.4408,-39.4327,15.71589999999999,-17.254599999999993,-1.5387000000000055
7,9.6674,41.8942,25.1967,0.0,0.0,0.0,-4.0787,32.3225,9.4035,-88.9358,-19.8813,41.1053,-39.6737,25.469799999999974,-18.4497,7.020099999999986
8,12.8258,36.0521,27.9531,0.0,0.0,0.0,-5.7719,27.0538,6.4874,-84.6632,-19.5195,41.7951,-39.3756,19.937099999999987,-17.1,2.8370999999999853
9,11.7981,40.0403,27.680999999999997,0.0,0.0,0.0,-4.1172,30.5948,8.8274,-86.7934,-20.4536,41.3463,-39.654,28.03100000000001,-18.761300000000006,9.2697
10,9.642000000000001,40.5298,25.1836,0.0,0.0,0.0,-4.9779,27.7188,6.8319,-85.5603,-20.2937,41.6298,-39.7866,19.367900000000006,-18.4505,0.9174000000000078
11,9.886000000000001,34.9565,25.0559,0.0,0.0,0.0,-3.0183,31.775,8.7207,-88.6068,-21.805,40.3729,-38.3659,18.768999999999988,-19.798,-1.0290000000000106
12,11.6845,34.5639,30.0359,0.0,0.0,0.0,-4.1028,28.4997,8.8298,-89.2732,-19.2608,41.3038,-39.5293,20.237800000000007,-17.486299999999996,2.7515000000000143
13,9.9347,34.7712,27.2763,0.0,0.0,0.0,-3.6013,31.6423,8.8668,-90.1756,-20.1739,41.2376,-39.8434,18.7144,-18.7797,-0.06530000000000769
14,12.7854,40.0931,30.7506,0.0,0.0,0.0,-5.3083,30.406,6.1558,-90.2744,-19.0974,41.5495,-39.7933,24.6082,-17.3412,7.266999999999997
15,8.844,33.7244,24.8873,0.0,0.0,0.0,-4.401,33.2004,6.8237,-87.7393,-22.4222,41.2612,-39.324,15.339500000000017,-20.485,-5.145499999999983
16,8.9576,33.1649,29.4019,0.0,0.0,0.0,-3.2784,30.4613,9.4467,-88.2249,-20.187,41.0297,-39.8245,19.929099999999988,-18.981800000000003,0.9472999999999844
17,11.8237,33.6403,28.0009,0.0,0.0,0.0,-3.4526,29.0683,10.1233,-89.0955,-19.0871,41.3652,-39.3329,20.108400000000003,-17.0548,3.053600000000003
18,10.2266,37.1057,24.4055,0.0,0.0,0.0,-5.0494,29.5076,5.8309,-89.3121,-19.8849,41.7432,-40.1367,12.714799999999983,-18.278399999999994,-5.563600000000014
19,9.2243,42.0279,33.2438,0.0,0.0,0.0,-4.6049,22.3529,7.6179,-82.6509,-22.3856,40.9116,-39.0924,27.211000000000034,-20.5664,6.644600000000025
20,10.9144,48.8518,23.4477,0.0,0.0,0.0,-4.5045,20.6731,7.8555,-82.1528,-20.182000000000002,40.9494,-39.1856,25.0852,-18.4182,6.6669999999999945
21,7.1673,38.8972,29.5953,0.0,0.0,0.0,-3.6201,27.6478,8.3174,-87.7288,-19.4027,41.4313,-39.6094,20.276099999999982,-17.5808,2.6952999999999823
22,10.8573,34.6954,30.9692,0.0,0.0,0.0,-4.2403,28.136999999999997,6.0215,-88.0492,-18.8204,41.3226,-38.9261,18.3909,-16.423899999999996,1.9670000000000056
23,12.4418,34.5868,25.6775,0.0,0.0,0.0,0.7355,30.3878,8.1487,-89.2871,-20.9171,41.351000000000006,-39.874,22.691000000000006,-19.440100000000005,3.2508999999999943
24,6.7911,39.4197,27.3134,0.0,0.0,0.0,-3.5122,32.3171,8.2312,-90.4054,-19.5345,41.3038,-39.5909,20.15490000000001,-17.821599999999997,2.3333000000000155
25,10.9843,39.3207,26.6723,0.0,0.0,0.0,-4.8671,25.2635,8.8351,-83.1699,-19.7148,41.214,-39.327,23.03890000000001,-17.8278,5.211100000000017
26,9.9074,39.5952,23.0943,0.0,0.0,0.0,-4.5653,30.2425,6.7384,-88.1951,-20.1243,41.1809,-39.4881,16.817400000000006,-18.431500000000003,-1.6140999999999934
27,9.1526,35.9764,24.7767,0.0,0.0,0.0,-2.3547,33.8264,6.8617,-90.589,-20.4759,41.3793,-39.6805,17.650099999999995,-18.7771,-1.1270000000000024
28,11.6467,33.4137,28.0695,0.0,0.0,0.0,-2.2396,34.7973,9.9296,-90.5358,-22.5087,40.8974,-39.544000000000004,25.0814,-21.1553,3.926100000000005
29,11.3054,40.4054,25.0253,0.0,0.0,0.0,-3.5987,33.4814,7.7231,-90.7403,-21.4932,41.3793,-39.1505,23.60159999999999,-19.2644,4.337199999999989
30,9.6259,38.425,26.7985,0.0,0.0,0.0,-3.3572,24.0347,9.6249,-86.5439,-18.472,41.2754,-39.2981,18.6079,-16.4947,2.113199999999999
31,9.3964,34.5789,27.7307,0.0,0.0,0.0,-5.5341,30.6725,9.3244,-89.79899999999999,-20.9028,41.1903,-39.4482,16.369799999999984,-19.1607,-2.790900000000015
32,9.3675,33.2078,22.9104,0.0,0.0,0.0,-4.5819,31.7831,9.4505,-89.2789,-20.8678,41.1951,-39.2681,12.858500000000005,-18.9408,-6.0822999999999965
33,12.2882,39.7979,28.4558,0.0,0.0,0.0,-3.4783,32.0666,6.7725,-89.6121,-19.2203,41.4219,-39.582,26.2906,-17.3804,8.910199999999996
34,19.0644,34.1137,30.1809,0.0,0.0,0.0,-4.7992,28.4905,5.4666,-87.8948,-20.0613,41.592,-39.5099,24.622100000000003,-17.979200000000006,6.642899999999997
35,13.5458,37.4991,26.9374,0.0,0.0,0.0,-3.9949,28.3399,7.0166,-86.2402,-21.2605,41.6109,-39.3771,23.10369999999999,-19.0267,4.076999999999991
36,9.2788,43.3334,29.3953,0.0,0.0,0.0,-4.4496,27.2519,6.9452,-87.3536,-19.0972,41.0439,-39.4198,24.401399999999995,-17.473100000000002,6.928299999999991
37,13.4087,33.905,31.8454,0.0,0.0,0.0,-4.053999999999999,29.1944,7.5803,-88.6604,-19.8184,41.5447,-39.3854,23.219399999999997,-17.6591,5.560299999999992
38,10.1686,33.4164,33.2639,0.0,0.0,0.0,-5.7821,31.6752,9.0501,-87.8375,-21.409000000000002,41.7715,-39.3279,23.9546,-18.965399999999995,4.989200000000004
39,7.5126,34.3582,27.9301,0.0,0.0,0.0,0.0518,29.355,6.888999999999999,-87.5645,-19.8911,41.8329,-39.0864,18.532200000000003,-17.144599999999997,1.3876000000000062
40,8.9216,36.376,29.9047,0.0,0.0,0.0,1.9228,24.6325,8.6777,-89.4569,-18.0356,41.1715,-39.1518,20.978399999999993,-16.0159,4.962499999999999
41,9.1094,38.0513,27.807,0.0,0.0,0.0,-2.1264,31.6527,7.771,-87.1222,-22.7244,41.3321,-39.0594,25.14279999999998,-20.4517,4.6910999999999765
42,11.3691,42.8213,28.9438,0.0,0.0,0.0,-3.9819,24.9645,6.3809,-90.9645,-16.623,41.4313,-39.3133,19.533199999999994,-14.505,5.028199999999998
43,11.6257,37.3401,28.2013,0.0,0.0,0.0,-3.6555,29.5697,7.1441,-87.9717,-21.3877,41.7243,-38.8996,22.253699999999995,-18.563,3.6907
44,10.1329,43.9955,27.8857,0.0,0.0,0.0,-5.0638,30.1131,9.0114,-89.2374,-20.7357,41.6676,-39.3339,26.8374,-18.402,8.435400000000001
45,11.0126,41.7273,29.4949,0.0,0.0,0.0,-4.5284,31.198,6.1319,-90.2903,-21.7013,41.7951,-39.4732,24.74600000000001,-19.3794,5.3666000000000125
46,7.9001,34.5636,28.5988,0.0,0.0,0.0,-5.0346,30.8364,8.2001,-88.5202,-19.9965,41.592,-39.4253,16.544200000000004,-17.829800000000006,-1.2855999999999952
47,10.5377,35.5488,30.8057,0.0,0.0,0.0,-3.6857,32.7121,8.9276,-89.9683,-20.5645,41.2565,-39.2342,24.8779,-18.5422,6.335700000000003
48,10.5735,33.059,28.3409,0.0,0.0,0.0,-1.0704,30.313000000000002,8.5912,-87.5916,-20.6051,41.5353,-39.5684,22.215599999999995,-18.6382,3.577399999999997
49,11.9931,36.0628,29.0258,0.0,0.0,0.0,-2.9999,30.9195,6.9254,-88.5448,-22.0757,41.7904,-39.2677,23.3819,-19.553,3.828899999999997
50,12.2692,33.6282,25.3822,0.0,0.0,0.0,-4.4304,30.5442,7.4788,-88.9841,-20.1514,41.5872,-39.8952,15.888099999999996,-18.4594,-2.5713000000000084
51,9.8443,40.255,30.4844,0.0,0.0,0.0,-2.8211,22.3858,8.132,-85.0889,-17.6664,41.4597,-39.1457,23.191500000000005,-15.3524,7.839100000000008
52,5.7266,38.9024,24.7237,0.0,0.0,0.0,-2.2587,24.093000000000004,10.3136,-86.2077,-18.1159,40.9635,-39.8237,15.292899999999989,-16.9761,-1.6832000000000136
53,14.5436,29.3574,28.9888,0.0,0.0,0.0,-1.8436,25.451,10.2372,-89.449,-17.9868,41.1148,-39.3609,17.285399999999996,-16.232899999999994,1.0524999999999949
54,12.4872,36.9523,28.5467,0.0,0.0,0.0,-4.1653,33.9995,7.546,-92.43,-21.4042,41.5589,-39.2829,22.936399999999992,-19.1282,3.8082
55,11.5174,31.1527,29.7487,0.0,0.0,0.0,-5.8627,30.4711,7.625,-88.5321,-21.3327,41.7243,-39.1355,16.120099999999994,-18.7439,-2.62380000000001
56,7.8389999999999995,35.1944,32.0744,0.0,0.0,0.0,-3.3117,27.1911,8.4626,-85.4091,-21.3542,41.6392,-39.1432,22.0407,-18.8582,3.1825000000000045
57,11.5197,47.9557,34.9436,0.0,0.0,0.0,-4.1776,32.7958,8.5415,-91.3195,-22.0771,41.0864,-39.0155,40.25920000000002,-20.006200000000007,20.25300000000001
58,8.9711,37.9353,28.0213,0.0,0.0,0.0,-5.0186,32.4341,8.1779,-88.4907,-20.5465,41.3557,-39.1777,22.030399999999986,-18.368500000000004,3.6618999999999815
59,19.82,36.7286,27.3585,0.0,0.0,0.0,-3.9753,31.1428,8.2687,-92.1323,-18.768,41.4455,-39.6527,27.211,-16.9752,10.235799999999998
60,10.7083,42.1592,29.0619,0.0,0.0,0.0,-5.5052,24.6211,8.8867,-88.38,-17.4779,41.7054,-39.4114,21.55200000000001,-15.183900000000005,6.368099999999997
61,13.0558,33.843,27.4412,0.0,0.0,0.0,-3.6238,28.608,6.9296,-87.6753,-20.0853,41.8518,-39.6247,18.578500000000005,-17.8582,0.7203000000000017
62,11.8283,33.911,26.8956,0.0,0.0,0.0,-4.8692,28.0514,9.8225,-86.5113,-20.4391,41.351000000000006,-39.2262,19.1283,-18.3143,0.8140000000000001
63,10.645999999999999,35.2797,29.4484,0.0,0.0,0.0,-5.292999999999999,31.9392,8.4329,-89.8651,-21.987,41.2707,-38.8528,20.5881,-19.5691,1.0189999999999912
64,10.7194,36.5799,28.8137,0.0,0.0,0.0,-4.8696,31.6182,6.3671,-87.1691,-22.991999999999997,41.8566,-39.5837,22.05959999999999,-20.7191,1.3404999999999845
65,12.4818,36.8531,30.0274,0.0,0.0,0.0,-4.4968,34.0595,8.4028,-88.0727,-23.0774,41.1384,-39.8521,29.2551,-21.791100000000004,7.463999999999991
66,8.6097,37.1486,25.2302,0.0,0.0,0.0,-2.8495,27.2643,8.3546,-86.4014,-20.3453,41.4928,-39.3838,17.35650000000001,-18.2363,-0.8797999999999888
67,11.6469,42.7657,28.5129,0.0,0.0,0.0,-5.8412,27.8706,6.4977,-86.3199,-20.055999999999997,42.1448,-39.4076,25.132699999999986,-17.318800000000007,7.8138999999999745
68,12.3769,36.4697,28.2532,0.0,0.0,0.0,-3.4659,27.3707,7.814,-86.7543,-20.322,41.7432,-39.4599,22.064300000000006,-18.038699999999995,4.025600000000004
69,10.8944,34.3272,28.5701,0.0,0.0,0.0,-0.4607,35.2701,9.7962,-90.5126,-21.4274,40.9399,-39.494,27.88469999999998,-19.9815,7.903199999999983
70,14.2827,35.8067,22.2655,0.0,0.0,0.0,-0.0292,31.3457,7.625,-90.9819,-19.8864,41.2612,-39.4756,20.314500000000013,-18.1008,2.213700000000017
71,9.1008,37.2881,26.1314,0.0,0.0,0.0,-1.551,30.299,7.5113,-88.1186,-22.0038,41.5258,-39.687,20.660999999999987,-20.165,0.495999999999988
72,9.2655,37.7163,24.6994,0.0,0.0,0.0,-4.4685,33.9521,7.9628,-89.7844,-22.6233,40.9399,-38.8901,19.34319999999998,-20.5735,-1.2303000000000142
73,8.3567,42.8428,32.4579,0.0,0.0,0.0,-2.4683,26.0664,8.7895,-87.0336,-19.4578,41.7385,-39.4275,29.011399999999995,-17.1468,11.864599999999996
74,12.3344,44.0518,30.1645,0.0,0.0,0.0,-4.1314,32.1289,8.3424,-90.1045,-20.9767,41.3652,-39.7296,32.786100000000005,-19.3411,13.445000000000007
75,11.7338,34.5126,28.3351,0.0,0.0,0.0,-3.4519,30.6799,7.7401,-89.4386,-19.6114,41.6298,-39.2444,20.11100000000002,-17.225999999999996,2.8850000000000198
76,14.3261,33.4682,30.2173,0.0,0.0,0.0,-2.4996,31.660999999999998,8.1689,-90.0424,-21.0358,41.2801,-39.5685,25.29950000000001,-19.3242,5.975300000000003
77,16.1529,36.9686,29.6122,0.0,0.0,0.0,-3.6146,27.2306,6.6423,-89.2932,-19.291,41.6156,-39.2938,23.69880000000001,-16.969199999999994,6.729600000000013
78,14.3277,39.0181,28.1312,0.0,0.0,0.0,-2.6772,29.4872,8.0539,-91.7321,-19.1332,41.3463,-39.1858,24.6088,-16.9727,7.636099999999999
79,11.0979,36.4307,26.1979,0.0,0.0,0.0,-3.8633,29.0935,7.7539,-86.6534,-21.4491,40.9777,-39.106,20.057200000000012,-19.577400000000004,0.4798000000000045
80,9.506,41.4104,29.1316,0.0,0.0,0.0,-2.9293,27.5474,8.4733,-85.3094,-20.7224,41.6818,-39.1827,27.83,-18.223299999999995,9.606700000000004
81,8.0333,33.9453,30.7209,0.0,0.0,0.0,-4.2512,34.4098,8.4089,-91.3026,-21.1725,41.2518,-38.9717,19.96440000000001,-18.892399999999995,1.0720000000000172
82,17.1191,38.4482,26.0261,0.0,0.0,0.0,-1.726,27.5735,7.9344,-88.1025,-19.4908,41.3746,-39.4528,27.27279999999999,-17.569000000000006,9.703799999999989
83,10.6837,37.3038,27.6729,0.0,0.0,0.0,-3.8002,27.0744,8.1212,-87.3989,-20.0622,41.7904,-39.1374,19.656900000000007,-17.409200000000002,2.2477000000000094
84,6.0057,36.1354,28.8134,0.0,0.0,0.0,-4.3907,28.9833,7.337999999999999,-87.8618,-20.5484,41.7432,-39.4599,15.023299999999994,-18.2651,-3.241800000000005
85,9.0359,37.1007,28.839000000000002,0.0,0.0,0.0,-3.5701,26.1203,7.8482,-83.0439,-20.3214,41.9416,-39.4601,22.330100000000016,-17.839899999999997,4.490200000000017
86,12.159,35.853,23.9074,0.0,0.0,0.0,-2.1859,30.2411,8.2046,-89.2251,-20.7303,41.3274,-39.4117,18.9541,-18.814600000000006,0.13949999999999108
87,13.7671,39.4346,26.2841,0.0,0.0,0.0,-2.9947,30.2883,7.956,-88.0178,-21.43,41.677,-39.4829,26.71760000000002,-19.2359,7.481700000000018
88,13.4374,32.5932,30.1867,0.0,0.0,0.0,-3.7076,31.3984,9.7809,-90.1071,-20.5339,41.214,-39.4449,23.581900000000005,-18.7648,4.817100000000004
89,9.9528,34.2377,29.2768,0.0,0.0,0.0,-4.8096,32.633,8.8909,-89.7212,-21.4888,41.4786,-38.9395,20.460399999999996,-18.949700000000004,1.5106999999999928
