Frame #,Translational,Rotational,Vibrational,Total
0,16.27272885,16.35740345,1436.7180643999998,1469.34849485
1,16.27272885,16.3726091,1444.9663841499998,1477.6117221
2,16.27272885,16.3672424,1434.7881394499998,1467.42840885
3,16.27272885,16.367540549999998,1443.4449246999998,1476.0854922499996
4,16.27272885,16.34965155,1436.9339249999998,1469.5563054
5,16.27272885,16.36515535,1434.7502744,1467.3881586
6,16.27272885,16.35978865,1436.2079297499997,1468.8407453999996
7,16.27272885,16.353825649999997,1430.5505334999998,1463.1773861499998
8,16.27272885,16.37648505,1437.7681486999998,1470.4173626
9,16.27272885,16.35322935,1425.4945057999996,1458.1207621499998
10,16.27272885,16.35740345,1438.45061405,1471.0810444999997
11,16.27272885,16.3630683,1429.41130235,1462.0473976499998
12,16.27272885,16.380361,1447.4562348,1480.10932465
13,16.27272885,16.356807149999998,1427.5171554,1460.1466913999998
14,16.27272885,16.370820199999997,1429.6548909,1462.29843995
15,16.27272885,16.3690313,1437.2249193999999,1469.86667955
16,16.27272885,16.355018249999997,1425.5398245999997,1458.16786985
17,16.27272885,16.354123799999996,1433.9243989,1466.55125155
18,16.27272885,16.375888749999998,1440.5355769999999,1473.18449275
19,16.27272885,16.383342499999998,1432.23776435,1464.8941338500001
20,16.27272885,16.36694425,1428.0866219,1460.726295
21,16.27272885,16.37767765,1429.86091255,1462.51131905
22,16.27272885,16.374398,1425.1921817,1457.8396067
23,16.27272885,16.362472,1433.6644121,1466.29961295
24,16.27272885,16.3767832,1440.66050185,1473.3100138999998
25,16.27272885,16.3726091,1437.4527059999998,1470.09804395
26,16.27272885,16.370820199999997,1437.0707758499998,1469.7143248999998
27,16.27272885,16.354123799999996,1428.4432093,1461.0703600999998
28,16.27272885,16.36575165,1446.48516025,1479.12364075
29,16.27272885,16.3630683,1437.8587862999998,1470.4945834499997
30,16.27272885,16.36992575,1436.6870567999997,1469.3297114
31,16.27272885,16.37171465,1427.3427376500001,1459.9871811499997
32,16.27272885,16.362472,1431.769967,1464.4051678499998
33,16.27272885,16.3696276,1444.1080103,1476.7503667499998
34,16.27272885,16.3714165,1425.35705865,1458.001204
35,16.27272885,16.3648572,1434.6846813999998,1467.32226745
36,16.27272885,16.35322935,1434.7741264,1467.4000846
37,16.27272885,16.366347949999998,1432.73865635,1465.3780313
38,16.27272885,16.37887025,1437.3420923499998,1469.99369145
39,16.27272885,16.370522049999998,1437.76009865,1470.4033495499998
40,16.27272885,16.36575165,1435.1128247999998,1467.7513052999998
41,16.27272885,16.3636646,1436.5481189,1469.1845123499997
42,16.27272885,16.3648572,1426.5970644999998,1459.2346505499997
43,16.27272885,16.372310949999996,1444.9440229,1477.5890626999999
44,16.27272885,16.373205399999996,1425.56039695,1458.2063311999998
45,16.27272885,16.360086799999998,1432.5359143499998,1465.1687299999996
46,16.27272885,16.372907249999997,1434.0782442999996,1466.7238803999999
47,16.27272885,16.37111835,1435.1861697,1467.8300169
48,16.27272885,16.366347949999998,1430.5779632999997,1463.2170401
49,16.27272885,16.3648572,1428.0717144,1460.70930045
50,16.27272885,16.37409985,1443.97831505,1476.6251437499998
51,16.27272885,16.3648572,1435.9422781,1468.5798641499998
